date,region,channel,product,units,unit_price,amount
2025-02-10,West,Retail,Bean subscription,5,586.5,2932.5
2025-02-10,Centre,Wholesale,Espresso machine,25,8990.0,224750.0
2025-11-10,South,Wholesale,Filter kettle,11,1161.0,12771.0
2025-09-15,South,Online,Bean subscription,9,690.0,6210.0
2025-08-04,West,Wholesale,Coffee grinder,27,2205.0,59535.0
2025-03-10,Centre,Retail,Espresso machine,16,8091.0,129456.0
2025-10-06,Centre,Online,Filter kettle,13,1161.0,15093.0
2025-10-27,North,Online,Filter kettle,24,1290.0,30960.0
2025-06-23,Centre,Wholesale,Bean subscription,47,690.0,32430.0
2025-07-07,South,Wholesale,Travel mug,19,349.0,6631.0
2025-03-10,South,Retail,Bean subscription,8,586.5,4692.0
2025-11-10,Centre,Wholesale,Bean subscription,26,690.0,17940.0
2025-12-08,North,Online,Bean subscription,7,586.5,4105.5
2025-01-13,South,Wholesale,Filter kettle,6,1290.0,7740.0
2025-10-13,South,Wholesale,Travel mug,12,314.1,3769.2000000000003
2025-07-21,North,Online,Travel mug,9,349.0,3141.0
2025-11-03,West,Retail,Bean subscription,13,690.0,8970.0
2025-04-21,West,Retail,Espresso machine,3,8091.0,24273.0
2025-07-14,Centre,Wholesale,Espresso machine,23,8990.0,206770.0
2025-07-07,Centre,Online,Bean subscription,10,621.0,6210.0
2025-12-01,North,Online,Bean subscription,25,690.0,17250.0
2025-10-13,West,Wholesale,Bean subscription,24,621.0,14904.0
2025-09-22,North,Wholesale,Filter kettle,34,1290.0,43860.0
2025-12-15,Centre,Online,Filter kettle,28,1290.0,36120.0
2025-06-02,South,Online,Coffee grinder,10,2205.0,22050.0
2025-03-17,South,Online,Espresso machine,10,8990.0,89900.0
2025-10-13,South,Online,Coffee grinder,7,2450.0,17150.0
2025-11-17,North,Online,Filter kettle,27,1096.5,29605.5
2025-07-28,North,Retail,Filter kettle,3,1290.0,3870.0
2025-03-10,North,Wholesale,Travel mug,13,349.0,4537.0
2025-11-24,West,Retail,Travel mug,14,296.65,4153.099999999999
2025-10-27,North,Retail,Bean subscription,18,690.0,12420.0
2025-06-30,West,Online,Espresso machine,13,8990.0,116870.0
2025-03-10,West,Wholesale,Espresso machine,20,8990.0,179800.0
2025-11-17,North,Wholesale,Filter kettle,28,1290.0,36120.0
2025-08-11,West,Retail,Filter kettle,7,1161.0,8127.0
2025-09-15,West,Wholesale,Espresso machine,25,8990.0,224750.0
2025-12-01,Centre,Retail,Filter kettle,13,1161.0,15093.0
2025-12-08,North,Wholesale,Espresso machine,57,8091.0,461187.0
2025-09-01,South,Online,Travel mug,10,349.0,3490.0
2025-03-03,South,Retail,Bean subscription,5,690.0,3450.0
2025-06-09,South,Online,Travel mug,12,296.65,3559.7999999999997
2025-06-16,West,Online,Coffee grinder,11,2450.0,26950.0
2025-11-03,North,Retail,Bean subscription,7,690.0,4830.0
2025-05-12,North,Retail,Bean subscription,10,690.0,6900.0
2025-05-26,North,Online,Coffee grinder,4,2450.0,9800.0
2025-09-08,Centre,Online,Espresso machine,17,7641.5,129905.5
2025-08-25,Centre,Wholesale,Bean subscription,26,690.0,17940.0
2025-09-15,Centre,Wholesale,Travel mug,37,296.65,10976.05
2025-12-01,South,Retail,Filter kettle,14,1290.0,18060.0
2025-03-17,Centre,Wholesale,Espresso machine,33,8990.0,296670.0
2025-12-29,Centre,Wholesale,Travel mug,64,296.65,18985.6
2025-12-22,North,Online,Travel mug,26,314.1,8166.6
2025-06-30,West,Retail,Travel mug,11,314.1,3455.1000000000004
2025-06-16,Centre,Wholesale,Espresso machine,34,8990.0,305660.0
2025-08-11,Centre,Wholesale,Bean subscription,29,690.0,20010.0
2025-07-14,North,Online,Filter kettle,11,1290.0,14190.0
2025-07-28,North,Retail,Travel mug,12,349.0,4188.0
2025-03-10,North,Wholesale,Bean subscription,38,690.0,26220.0
2025-12-22,Centre,Retail,Travel mug,30,314.1,9423.0
2025-05-12,North,Retail,Bean subscription,12,621.0,7452.0
2025-12-08,Centre,Online,Espresso machine,37,8990.0,332630.0
2025-12-29,North,Wholesale,Filter kettle,32,1290.0,41280.0
2025-04-21,Centre,Retail,Espresso machine,13,7641.5,99339.5
2025-03-03,West,Retail,Espresso machine,5,8990.0,44950.0
2025-01-20,West,Online,Filter kettle,4,1096.5,4386.0
2025-05-19,North,Wholesale,Coffee grinder,21,2205.0,46305.0
2025-12-15,North,Retail,Bean subscription,23,621.0,14283.0
2025-04-14,North,Retail,Filter kettle,10,1290.0,12900.0
2025-04-07,Centre,Retail,Coffee grinder,14,2082.5,29155.0
2025-09-22,Centre,Retail,Travel mug,18,349.0,6282.0
2025-05-19,Centre,Wholesale,Filter kettle,40,1290.0,51600.0
2025-08-11,South,Retail,Espresso machine,6,8990.0,53940.0
2025-05-26,West,Retail,Espresso machine,6,8091.0,48546.0
2025-10-20,North,Online,Filter kettle,7,1290.0,9030.0
2025-07-07,North,Retail,Coffee grinder,10,2450.0,24500.0
2025-07-28,Centre,Retail,Travel mug,17,349.0,5933.0
2025-08-18,North,Retail,Coffee grinder,9,2450.0,22050.0
2025-01-27,West,Wholesale,Travel mug,10,349.0,3490.0
2025-05-19,South,Wholesale,Bean subscription,12,621.0,7452.0
2025-06-09,Centre,Online,Travel mug,7,314.1,2198.7000000000003
2025-09-08,North,Retail,Espresso machine,13,8990.0,116870.0
2025-11-24,West,Wholesale,Filter kettle,34,1161.0,39474.0
2025-11-24,South,Wholesale,Travel mug,15,349.0,5235.0
2025-12-15,West,Online,Travel mug,16,349.0,5584.0
2025-03-24,South,Wholesale,Travel mug,18,349.0,6282.0
2025-10-13,West,Online,Coffee grinder,16,2450.0,39200.0
2025-05-12,West,Wholesale,Coffee grinder,27,2450.0,66150.0
2025-09-15,Centre,Wholesale,Espresso machine,32,8990.0,287680.0
2025-03-31,West,Online,Travel mug,11,349.0,3839.0
2025-01-20,North,Retail,Espresso machine,5,8091.0,40455.0
2025-06-23,West,Online,Espresso machine,8,8990.0,71920.0
2025-10-06,West,Retail,Travel mug,11,296.65,3263.1499999999996
2025-01-27,South,Wholesale,Travel mug,11,349.0,3839.0
2025-05-05,West,Wholesale,Espresso machine,22,8990.0,197780.0
2025-02-10,North,Wholesale,Espresso machine,21,8990.0,188790.0
2025-07-07,North,Wholesale,Filter kettle,25,1290.0,32250.0
2025-05-19,West,Retail,Travel mug,6,296.65,1779.8999999999999
2025-10-20,West,Wholesale,Travel mug,18,349.0,6282.0
2025-06-16,South,Retail,Espresso machine,9,8990.0,80910.0
2025-03-31,North,Online,Bean subscription,13,621.0,8073.0
2025-04-14,Centre,Online,Espresso machine,11,8990.0,98890.0
2025-09-08,South,Online,Filter kettle,9,1290.0,11610.0
2025-11-17,North,Retail,Filter kettle,14,1096.5,15351.0
2025-08-04,Centre,Online,Travel mug,23,349.0,8027.0
2025-10-13,Centre,Online,Espresso machine,16,8990.0,143840.0
2025-05-05,South,Online,Bean subscription,5,586.5,2932.5
2025-02-17,West,Wholesale,Coffee grinder,16,2082.5,33320.0
2025-01-13,South,Retail,Filter kettle,3,1290.0,3870.0
2025-06-30,North,Retail,Filter kettle,16,1290.0,20640.0
2025-02-24,North,Retail,Bean subscription,8,586.5,4692.0
2025-11-10,South,Retail,Espresso machine,7,8990.0,62930.0
2025-09-01,North,Wholesale,Travel mug,28,314.1,8794.800000000001
2025-08-04,South,Online,Travel mug,8,314.1,2512.8
2025-08-04,West,Online,Filter kettle,12,1290.0,15480.0
2025-03-31,West,Wholesale,Travel mug,11,296.65,3263.1499999999996
2025-02-24,West,Retail,Bean subscription,6,690.0,4140.0
2025-04-14,West,Retail,Coffee grinder,9,2450.0,22050.0
2025-12-15,Centre,Wholesale,Coffee grinder,48,2450.0,117600.0
2025-06-30,North,Online,Espresso machine,16,7641.5,122264.0
2025-03-31,North,Online,Travel mug,14,349.0,4886.0
2025-01-06,Centre,Online,Bean subscription,12,621.0,7452.0
2025-09-15,North,Online,Coffee grinder,11,2450.0,26950.0
2025-08-18,West,Wholesale,Travel mug,12,349.0,4188.0
2025-10-27,North,Retail,Espresso machine,12,7641.5,91698.0
2025-02-17,North,Retail,Espresso machine,9,8990.0,80910.0
2025-07-28,South,Wholesale,Filter kettle,19,1290.0,24510.0
2025-05-05,West,Retail,Travel mug,6,349.0,2094.0
2025-06-09,West,Online,Coffee grinder,10,2450.0,24500.0
2025-04-07,Centre,Wholesale,Travel mug,27,349.0,9423.0
2025-08-25,South,Wholesale,Travel mug,11,349.0,3839.0
2025-10-06,West,Retail,Filter kettle,8,1096.5,8772.0
2025-12-15,West,Online,Espresso machine,10,8091.0,80910.0
2025-08-11,North,Retail,Espresso machine,12,7641.5,91698.0
2025-11-17,Centre,Retail,Filter kettle,18,1290.0,23220.0
2025-12-22,West,Retail,Filter kettle,22,1096.5,24123.0
2025-02-10,South,Online,Coffee grinder,7,2450.0,17150.0
2025-11-10,North,Wholesale,Travel mug,29,349.0,10121.0
2025-03-03,North,Online,Espresso machine,11,8091.0,89001.0
2025-10-27,South,Retail,Travel mug,9,349.0,3141.0
2025-07-07,West,Retail,Coffee grinder,5,2450.0,12250.0
2025-10-06,Centre,Wholesale,Coffee grinder,38,2082.5,79135.0
2025-08-18,West,Wholesale,Espresso machine,19,8990.0,170810.0
2025-02-03,South,Wholesale,Filter kettle,6,1290.0,7740.0
2025-09-22,South,Wholesale,Filter kettle,21,1290.0,27090.0
2025-02-03,West,Retail,Filter kettle,8,1290.0,10320.0
2025-03-03,West,Retail,Espresso machine,8,8990.0,71920.0
2025-05-26,West,Retail,Travel mug,7,296.65,2076.5499999999997
2025-06-23,North,Retail,Bean subscription,9,690.0,6210.0
2025-09-08,West,Wholesale,Travel mug,7,349.0,2443.0
2025-11-10,West,Retail,Espresso machine,18,8990.0,161820.0
2025-03-31,South,Retail,Filter kettle,4,1096.5,4386.0
2025-05-05,Centre,Retail,Coffee grinder,19,2450.0,46550.0
2025-01-13,North,Retail,Filter kettle,11,1161.0,12771.0
2025-03-31,Centre,Retail,Travel mug,10,349.0,3490.0
2025-12-15,North,Wholesale,Espresso machine,46,8091.0,372186.0
2025-06-16,North,Wholesale,Filter kettle,26,1290.0,33540.0
2025-04-14,West,Wholesale,Espresso machine,9,8990.0,80910.0
2025-12-01,West,Wholesale,Filter kettle,15,1290.0,19350.0
2025-04-14,Centre,Retail,Coffee grinder,14,2082.5,29155.0
2025-02-03,Centre,Retail,Filter kettle,11,1161.0,12771.0
2025-02-24,Centre,Online,Coffee grinder,12,2450.0,29400.0
2025-01-20,West,Retail,Espresso machine,6,8091.0,48546.0
2025-07-28,West,Retail,Travel mug,9,296.65,2669.85
2025-08-25,West,Retail,Filter kettle,8,1290.0,10320.0
2025-09-15,South,Wholesale,Espresso machine,12,8990.0,107880.0
2025-04-07,South,Online,Bean subscription,11,690.0,7590.0
2025-08-18,South,Retail,Travel mug,5,296.65,1483.25
2025-02-17,Centre,Wholesale,Filter kettle,24,1290.0,30960.0
2025-01-13,Centre,Online,Filter kettle,11,1290.0,14190.0
2025-06-23,North,Wholesale,Bean subscription,25,690.0,17250.0
2025-06-09,North,Online,Bean subscription,15,621.0,9315.0
2025-09-29,North,Online,Filter kettle,12,1161.0,13932.0
2025-08-11,North,Online,Filter kettle,9,1290.0,11610.0
2025-05-05,North,Wholesale,Travel mug,31,349.0,10819.0
2025-09-01,West,Online,Travel mug,10,349.0,3490.0
2025-03-10,North,Wholesale,Coffee grinder,12,2082.5,24990.0
2025-02-10,South,Retail,Filter kettle,7,1161.0,8127.0
2025-05-05,North,Retail,Espresso machine,14,8990.0,125860.0
2025-05-12,Centre,Online,Coffee grinder,12,2450.0,29400.0
2025-06-02,South,Wholesale,Espresso machine,7,8990.0,62930.0
2025-11-17,South,Wholesale,Coffee grinder,29,2450.0,71050.0
2025-01-06,South,Wholesale,Coffee grinder,10,2450.0,24500.0
2025-10-20,South,Online,Coffee grinder,12,2450.0,29400.0
2025-06-30,Centre,Online,Travel mug,18,314.1,5653.8
2025-10-06,North,Retail,Espresso machine,17,8990.0,152830.0
2025-09-22,North,Online,Coffee grinder,20,2450.0,49000.0
2025-09-22,West,Wholesale,Travel mug,13,349.0,4537.0
2025-09-29,South,Wholesale,Bean subscription,14,690.0,9660.0
2025-03-17,South,Wholesale,Bean subscription,19,621.0,11799.0
2025-05-19,North,Wholesale,Espresso machine,25,8091.0,202275.0
2025-10-06,South,Retail,Travel mug,3,314.1,942.3000000000001
2025-07-21,West,Retail,Espresso machine,10,7641.5,76415.0
2025-07-14,Centre,Retail,Filter kettle,16,1161.0,18576.0
2025-05-12,Centre,Online,Filter kettle,13,1290.0,16770.0
2025-06-23,South,Online,Coffee grinder,10,2205.0,22050.0
2025-04-28,South,Retail,Filter kettle,8,1161.0,9288.0
2025-09-01,North,Online,Espresso machine,11,8990.0,98890.0
2025-04-21,West,Online,Travel mug,12,314.1,3769.2000000000003
2025-09-29,West,Wholesale,Espresso machine,11,8990.0,98890.0
2025-09-29,Centre,Retail,Travel mug,12,349.0,4188.0
2025-12-08,West,Online,Travel mug,19,349.0,6631.0
2025-06-09,North,Wholesale,Filter kettle,22,1096.5,24123.0
2025-09-29,South,Online,Filter kettle,14,1096.5,15351.0
2025-02-24,North,Retail,Filter kettle,5,1161.0,5805.0
2025-03-03,Centre,Wholesale,Coffee grinder,19,2082.5,39567.5
2025-04-21,South,Online,Bean subscription,10,621.0,6210.0
2025-02-03,North,Wholesale,Filter kettle,16,1290.0,20640.0
2025-12-01,North,Retail,Travel mug,24,349.0,8376.0
2025-01-20,South,Wholesale,Coffee grinder,13,2205.0,28665.0
2025-11-17,South,Retail,Bean subscription,8,690.0,5520.0
2025-01-27,North,Wholesale,Espresso machine,21,8091.0,169911.0
2025-12-15,South,Online,Filter kettle,16,1290.0,20640.0
2025-05-19,West,Wholesale,Filter kettle,18,1290.0,23220.0
2025-12-22,North,Retail,Espresso machine,26,8091.0,210366.0
2025-04-07,West,Online,Espresso machine,10,7641.5,76415.0
2025-04-14,South,Retail,Bean subscription,8,690.0,5520.0
2025-03-17,North,Online,Espresso machine,16,8990.0,143840.0
2025-03-24,Centre,Wholesale,Travel mug,33,349.0,11517.0
2025-09-01,West,Online,Bean subscription,5,690.0,3450.0
2025-02-10,West,Retail,Espresso machine,9,8990.0,80910.0
2025-01-27,Centre,Retail,Bean subscription,9,690.0,6210.0
2025-11-03,West,Online,Travel mug,21,296.65,6229.65
2025-01-13,North,Retail,Espresso machine,8,8990.0,71920.0
2025-10-27,North,Online,Bean subscription,16,621.0,9936.0
2025-03-24,North,Online,Espresso machine,13,8091.0,105183.0
2025-12-15,South,Online,Bean subscription,11,621.0,6831.0
2025-12-08,North,Wholesale,Bean subscription,44,621.0,27324.0
2025-12-29,North,Wholesale,Travel mug,38,314.1,11935.800000000001
2025-06-23,North,Wholesale,Filter kettle,32,1290.0,41280.0
2025-07-21,South,Wholesale,Filter kettle,16,1096.5,17544.0
2025-05-26,North,Wholesale,Travel mug,21,349.0,7329.0
2025-12-29,West,Wholesale,Espresso machine,39,7641.5,298018.5
2025-05-12,West,Wholesale,Travel mug,21,349.0,7329.0
2025-01-06,Centre,Retail,Filter kettle,7,1161.0,8127.0
2025-07-14,South,Wholesale,Bean subscription,17,690.0,11730.0
2025-04-28,North,Retail,Filter kettle,15,1096.5,16447.5
2025-11-24,North,Wholesale,Filter kettle,56,1161.0,65016.0
2025-02-24,South,Wholesale,Coffee grinder,9,2450.0,22050.0
2025-04-07,West,Wholesale,Bean subscription,11,621.0,6831.0
2025-10-20,Centre,Retail,Coffee grinder,7,2450.0,17150.0
2025-08-04,South,Online,Espresso machine,8,8091.0,64728.0
2025-08-18,Centre,Online,Espresso machine,16,7641.5,122264.0
2025-09-15,West,Wholesale,Coffee grinder,25,2450.0,61250.0
2025-06-02,North,Online,Travel mug,17,296.65,5043.049999999999
2025-12-08,South,Online,Filter kettle,19,1290.0,24510.0
2025-05-19,Centre,Retail,Coffee grinder,8,2450.0,19600.0
2025-03-24,Centre,Wholesale,Bean subscription,29,586.5,17008.5
2025-12-01,South,Wholesale,Espresso machine,20,8990.0,179800.0
2025-02-03,South,Online,Filter kettle,5,1161.0,5805.0
2025-11-17,West,Wholesale,Filter kettle,20,1096.5,21930.0
2025-01-20,Centre,Online,Bean subscription,16,621.0,9936.0
2025-09-15,North,Online,Filter kettle,21,1096.5,23026.5
2025-07-21,Centre,Online,Coffee grinder,14,2450.0,34300.0
2025-06-02,Centre,Wholesale,Bean subscription,44,690.0,30360.0
2025-04-28,West,Wholesale,Bean subscription,17,690.0,11730.0
2025-08-04,North,Wholesale,Travel mug,21,296.65,6229.65
2025-03-24,West,Retail,Travel mug,6,296.65,1779.8999999999999
2025-08-04,North,Retail,Espresso machine,8,8990.0,71920.0
2025-01-06,North,Wholesale,Filter kettle,17,1290.0,21930.0
2025-01-06,South,Retail,Bean subscription,7,690.0,4830.0
2025-02-10,Centre,Retail,Travel mug,10,349.0,3490.0
2025-01-06,West,Retail,Espresso machine,5,8990.0,44950.0
2025-04-21,North,Retail,Bean subscription,12,690.0,8280.0
2025-01-13,Centre,Wholesale,Espresso machine,17,8990.0,152830.0
2025-12-22,South,Online,Filter kettle,21,1161.0,24381.0
