date,region,channel,product,units,unit_price
2025-03-31,North,Online,Bean subscription,13,$ 621.00
2025-04-14,Centre,Online,Espresso machine,11,"$ 8,990.00"
2025-09-08,South,Online,Filter kettle,9,"$ 1,290.00"
2025-11-17, North,Retail,Filter kettle,14,"$ 1,096.50"
2025-08-04,Centre,Online,Travel mug,23,$ 349.00
2025-10-13,Centre,Online,Espresso machine,16,"$ 8,990.00"
2025-05-05,South,Online,Bean subscription,5,$ 586.50
2025-02-17,West,Wholesale,Coffee grinder,16,"$ 2,082.50"
2025-01-13,South,Retail,Filter kettle,3,"$ 1,290.00"
2025-06-30,North,Retail,Filter kettle,16,"$ 1,290.00"
2025-02-24,NORTH,Retail,Bean subscription,8,$ 586.50
2025-11-10,South,Retail,Espresso machine,7,"$ 8,990.00"
2025-09-01,North,Wholesale,Travel mug,28,$ 314.10
2025-08-04,South,Online,Travel mug,8,$ 314.10
2025-08-04,West,Online,Filter kettle,12,"$ 1,290.00"
2025-03-31,West,Wholesale,Travel mug,11,$ 296.65
2025-02-24,West,Retail,Bean subscription,6,$ 690.00
2025-04-14,West,Retail,Coffee grinder,9,"$ 2,450.00"
2025-12-15,Centre,Wholesale,Coffee grinder,48,"$ 2,450.00"
2025-06-30,North,Online,Espresso machine,16,"$ 7,641.50"
2025-03-31,North,Online,Travel mug,14,$ 349.00
2025-01-06,Centre,Online,Bean subscription,12,$ 621.00
2025-09-15,North,Online,Coffee grinder,11,"$ 2,450.00"
2025-08-18,West,Wholesale,Travel mug,12,$ 349.00
2025-10-27,north,Retail,Espresso machine,12,"$ 7,641.50"
2025-02-17,North ,Retail,Espresso machine,9,"$ 8,990.00"
2025-07-28,South,Wholesale,Filter kettle,19,"$ 1,290.00"
2025-05-05,West,Retail,Travel mug,6,$ 349.00
2025-06-09,West,Online,Coffee grinder,10,"$ 2,450.00"
2025-04-07,Centre,Wholesale,Travel mug,27,$ 349.00
2025-08-25,South,Wholesale,Travel mug,11,$ 349.00
2025-10-06,West,Retail,Filter kettle,8,"$ 1,096.50"
2025-12-15,West,Online,Espresso machine,10,"$ 8,091.00"
2025-08-11,North,Retail,Espresso machine,12,"$ 7,641.50"
2025-11-17,Centre,Retail,Filter kettle,18,"$ 1,290.00"
2025-12-22,West,Retail,Filter kettle,22,"$ 1,096.50"
2025-06-16,West,Online,Coffee grinder,11,"$ 2,450.00"
2025-02-10,South,Online,Coffee grinder,7,"$ 2,450.00"
2025-11-10,North,Wholesale,Travel mug,29,$ 349.00
2025-03-03,North,Online,Espresso machine,11,"$ 8,091.00"
2025-10-27,South,Retail,Travel mug,9,$ 349.00
2025-06-30,North,Online,Espresso machine,16,"$ 7,641.50"
2025-07-07,West,Retail,Coffee grinder,5,"$ 2,450.00"
2025-10-06,Centre,Wholesale,Coffee grinder,38,"$ 2,082.50"
2025-08-18,West,Wholesale,Espresso machine,19,"$ 8,990.00"
2025-02-03,South,Wholesale,Filter kettle,6,"$ 1,290.00"
2025-09-22,South,Wholesale,Filter kettle,21,"$ 1,290.00"
2025-02-03,West,Retail,Filter kettle,8,"$ 1,290.00"
2025-03-03,West,Retail,Espresso machine,8,"$ 8,990.00"
2025-05-26,West,Retail,Travel mug,7,$ 296.65
2025-06-23,North,Retail,Bean subscription,9,$ 690.00
2025-09-08,West,Wholesale,Travel mug,7,$ 349.00
2025-11-10,West,Retail,Espresso machine,18,"$ 8,990.00"
2025-03-31,South,Retail,Filter kettle,4,"$ 1,096.50"
2025-05-05,Centre,Retail,Coffee grinder,19,"$ 2,450.00"
2025-01-13,NORTH,Retail,Filter kettle,11,"$ 1,161.00"
2025-03-31,Centre,Retail,Travel mug,10,$ 349.00
2025-12-15,North,Wholesale,Espresso machine,46,"$ 8,091.00"
2025-06-16,North,Wholesale,Filter kettle,26,"$ 1,290.00"
2025-04-14,West,Wholesale,Espresso machine,9,"$ 8,990.00"
2025-12-01,West,Wholesale,Filter kettle,15,"$ 1,290.00"
2025-04-14,Centre,Retail,Coffee grinder,14,"$ 2,082.50"
2025-02-03,Centre,Retail,Filter kettle,11,"$ 1,161.00"
2025-02-24,Centre,Online,Coffee grinder,12,"$ 2,450.00"
2025-01-20,West,Retail,Espresso machine,6,"$ 8,091.00"
2025-07-28,West,Retail,Travel mug,9,$ 296.65
2025-08-25,West,Retail,Filter kettle,8,"$ 1,290.00"
2025-03-31,North,Online,Bean subscription,13,$ 621.00
2025-08-11,North,Retail,Espresso machine,12,"$ 7,641.50"
2025-09-15,South,Wholesale,Espresso machine,12,"$ 8,990.00"
2025-04-07,South,Online,Bean subscription,11,$ 690.00
2025-08-18,South,Retail,Travel mug,5,$ 296.65
2025-02-17,Centre,Wholesale,Filter kettle,24,"$ 1,290.00"
2025-01-13,Centre,Online,Filter kettle,11,"$ 1,290.00"
2025-06-23,NORTH,Wholesale,Bean subscription,25,$ 690.00
2025-06-09,North,Online,Bean subscription,15,$ 621.00
2025-09-29, North,Online,Filter kettle,12,"$ 1,161.00"
2025-08-11,North,Online,Filter kettle,9,"$ 1,290.00"
2025-05-05,North,Wholesale,Travel mug,31,$ 349.00
2025-04-28,Centre,Retail,Filter kettle,,"$ 1,096.50"
2025-09-01,West,Online,Travel mug,10,$ 349.00
2025-03-10,North,Wholesale,Coffee grinder,12,"$ 2,082.50"
2025-02-10,South,Retail,Filter kettle,7,"$ 1,161.00"
2025-05-05,North,Retail,Espresso machine,14,"$ 8,990.00"
2025-05-12,Centre,Online,Coffee grinder,12,"$ 2,450.00"
2025-06-02,South,Wholesale,Espresso machine,7,"$ 8,990.00"
2025-11-17,South,Wholesale,Coffee grinder,29,"$ 2,450.00"
2025-01-06,South,Wholesale,Coffee grinder,10,"$ 2,450.00"
2025-10-20,South,Online,Coffee grinder,12,"$ 2,450.00"
2025-06-30,Centre,Online,Travel mug,18,$ 314.10
2025-10-06,North ,Retail,Espresso machine,17,"$ 8,990.00"
2025-09-22,North,Online,Coffee grinder,20,"$ 2,450.00"
2025-09-22,West,Wholesale,Travel mug,13,$ 349.00
2025-09-29,South,Wholesale,Bean subscription,14,$ 690.00
2025-05-05,North,Wholesale,Travel mug,31,$ 349.00
2025-03-17,South,Wholesale,Bean subscription,19,$ 621.00
2025-05-19,North,Wholesale,Espresso machine,25,"$ 8,091.00"
2025-10-06,South,Retail,Travel mug,3,$ 314.10
2025-07-21,West,Retail,Espresso machine,10,"$ 7,641.50"
2025-07-14,Centre,Retail,Filter kettle,16,"$ 1,161.00"
2025-05-12,Centre,Online,Filter kettle,13,"$ 1,290.00"
2025-09-22,West,Retail,Filter kettle,,"$ 1,290.00"
2025-08-25,West,Retail,Filter kettle,8,"$ 1,290.00"
2025-06-23,South,Online,Coffee grinder,10,"$ 2,205.00"
2025-04-28,South,Retail,Filter kettle,8,"$ 1,161.00"
2025-09-01,North,Online,Espresso machine,11,"$ 8,990.00"
2025-04-21,West,Online,Travel mug,12,$ 314.10
2025-09-29,West,Wholesale,Espresso machine,11,"$ 8,990.00"
2025-09-29,Centre,Retail,Travel mug,12,$ 349.00
2025-12-08,West,Online,Travel mug,19,$ 349.00
2025-06-09,north,Wholesale,Filter kettle,22,"$ 1,096.50"
2025-09-29,South,Online,Filter kettle,14,"$ 1,096.50"
2025-02-24,north,Retail,Filter kettle,5,"$ 1,161.00"
2025-03-03,Centre,Wholesale,Coffee grinder,19,"$ 2,082.50"
2025-04-21,South,Online,Bean subscription,10,$ 621.00
2025-02-03,North,Wholesale,Filter kettle,16,"$ 1,290.00"
2025-12-01,North,Retail,Travel mug,24,$ 349.00
2025-01-20,South,Wholesale,Coffee grinder,13,"$ 2,205.00"
2025-11-17,South,Retail,Bean subscription,8,$ 690.00
2025-01-27,North,Wholesale,Espresso machine,21,"$ 8,091.00"
2025-12-15,South,Online,Filter kettle,16,"$ 1,290.00"
2025-05-19,West,Wholesale,Filter kettle,18,"$ 1,290.00"
2025-12-22, North,Retail,Espresso machine,26,"$ 8,091.00"
2025-04-07,West,Online,Espresso machine,10,"$ 7,641.50"
2025-04-14,South,Retail,Bean subscription,8,$ 690.00
2025-03-17,North,Online,Espresso machine,16,"$ 8,990.00"
2025-03-24,Centre,Wholesale,Travel mug,33,$ 349.00
2025-09-01,West,Online,Bean subscription,5,$ 690.00
2025-02-10,West,Retail,Espresso machine,9,"$ 8,990.00"
2025-01-27,Centre,Retail,Bean subscription,9,$ 690.00
2025-11-03,West,Online,Travel mug,21,$ 296.65
2025-01-13,North,Retail,Espresso machine,8,"$ 8,990.00"
2025-10-27,North,Online,Bean subscription,16,$ 621.00
2025-03-24,North,Online,Espresso machine,13,"$ 8,091.00"
2025-12-15,South,Online,Bean subscription,11,$ 621.00
2025-12-08,NORTH,Wholesale,Bean subscription,44,$ 621.00
2025-12-29,North,Wholesale,Travel mug,38,$ 314.10
2025-06-23,North,Wholesale,Filter kettle,32,"$ 1,290.00"
2025-07-21,South,Wholesale,Filter kettle,16,"$ 1,096.50"
2025-05-26,North ,Wholesale,Travel mug,21,$ 349.00
2025-12-29,West,Wholesale,Espresso machine,39,"$ 7,641.50"
2025-05-12,West,Wholesale,Travel mug,21,$ 349.00
2025-01-06,Centre,Retail,Filter kettle,7,"$ 1,161.00"
2025-07-14,South,Wholesale,Bean subscription,17,$ 690.00
2025-04-28,North,Retail,Filter kettle,15,"$ 1,096.50"
2025-11-24,North,Wholesale,Filter kettle,56,"$ 1,161.00"
2025-02-24,South,Wholesale,Coffee grinder,9,"$ 2,450.00"
2025-04-07,West,Wholesale,Bean subscription,11,$ 621.00
2025-10-20,Centre,Retail,Coffee grinder,7,"$ 2,450.00"
2025-08-04,South,Online,Espresso machine,8,"$ 8,091.00"
2025-08-18,Centre,Online,Espresso machine,16,"$ 7,641.50"
2025-01-27,West,Wholesale,Travel mug,10,$ 349.00
2025-09-15,West,Wholesale,Coffee grinder,25,"$ 2,450.00"
2025-06-02,North,Online,Travel mug,17,$ 296.65
2025-12-08,South,Online,Filter kettle,19,"$ 1,290.00"
2025-05-19,Centre,Retail,Coffee grinder,8,"$ 2,450.00"
2025-03-24,Centre,Wholesale,Bean subscription,29,$ 586.50
2025-12-01,South,Wholesale,Espresso machine,20,"$ 8,990.00"
2025-02-03,South,Online,Filter kettle,5,"$ 1,161.00"
2025-11-17,West,Wholesale,Filter kettle,20,"$ 1,096.50"
2025-01-20,Centre,Online,Bean subscription,16,$ 621.00
2025-09-15,North,Online,Filter kettle,21,"$ 1,096.50"
2025-07-21,Centre,Online,Coffee grinder,14,"$ 2,450.00"
2025-06-02,Centre,Wholesale,Bean subscription,44,$ 690.00
2025-04-28,West,Wholesale,Bean subscription,17,$ 690.00
2025-08-04,North,Wholesale,Travel mug,21,$ 296.65
2025-03-24,West,Retail,Travel mug,6,$ 296.65
2025-08-04,North,Retail,Espresso machine,8,"$ 8,990.00"
2025-01-06,North,Wholesale,Filter kettle,17,"$ 1,290.00"
2025-01-06,South,Retail,Bean subscription,7,$ 690.00
2025-02-10,Centre,Retail,Travel mug,10,$ 349.00
2025-01-06,West,Retail,Espresso machine,5,"$ 8,990.00"
2025-04-21,North,Retail,Bean subscription,12,$ 690.00
2025-01-13,Centre,Wholesale,Espresso machine,17,"$ 8,990.00"
2025-12-22,South,Online,Filter kettle,21,"$ 1,161.00"
