Order No.,Date,Time,Table,Waiter,Type,Product,Category,Price,Cost,Tip,Client Tye
5,2014-03-25,21:21,2,Valentina,Beverages,Corona,Beer,30,24.9,0.16,Recurrent
5,2014-03-25,21:21,2,Valentina,Beverages,Minerva,Beer,40,32.4,0.16,Recurrent
5,2014-03-25,21:21,2,Valentina,Food,Lasagna Ratatouille,Pasta,75,54.75,0.16,Recurrent
5,2014-03-25,21:21,2,Valentina,Food,Camarones al Coco,Salads,84,68.88,0.16,Recurrent
5,2014-03-25,21:21,2,Valentina,Food,Italiana,Pizza,123,88.56,0.16,Recurrent
5,2014-03-25,21:21,2,Valentina,Food,Espárragos Envueltos,Entrees,78,63.18,0.16,Recurrent
5,2014-03-25,21:21,2,Valentina,Food,Salmón Ahumado,Pizza,135,105.3,0.16,Recurrent
5,2014-03-25,21:21,2,Valentina,Food,Pay de Temporada,Desserts,42,33.6,0.16,Recurrent
5,2014-03-25,21:21,2,Valentina,Food,Vacío,Main course,164,132.84,0.16,Recurrent
5,2014-03-25,21:21,2,Valentina,Food,Pera Rostizada,Salads,89,75.65,0.16,Recurrent
6,2014-06-03,20:38,5,Omar,Beverages,Victoria,Beer,30,21.3,0.06,New
6,2014-06-03,20:38,5,Omar,Beverages,Pacifico,Beer,30,21.9,0.06,New
6,2014-06-03,20:38,5,Omar,Beverages,Café americano,Non-alcoholic beverages,18,12.6,0.06,New
6,2014-06-03,20:38,5,Omar,Beverages,Tisana,Non-alcoholic beverages,25,18,0.06,New
6,2014-06-03,20:38,5,Omar,Beverages,Capuccino,Non-alcoholic beverages,30,21.6,0.06,New
6,2014-06-03,20:38,5,Omar,Beverages,Modelo,Beer,30,23.7,0.06,New
6,2014-06-03,20:38,5,Omar,Food,Italiana,Pizza,123,88.56,0.06,New
6,2014-06-03,20:38,5,Omar,Food,Salmón al Pesto,Main course,174,121.8,0.06,New
6,2014-06-03,20:38,5,Omar,Food,Espárragos Envueltos,Entrees,78,63.18,0.06,New
6,2014-06-03,20:38,5,Omar,Food,Pasta Alfredo,Pasta,67,55.61,0.06,New
6,2014-06-03,20:38,5,Omar,Food,Quesadillas Gobernador,Tacos,78,60.06,0.06,New
6,2014-06-03,20:38,5,Omar,Food,Rollos Prímula,Entrees,73,52.56,0.06,New
7,2014-08-14,16:33,4,Joel,Beverages,Capuccino,Non-alcoholic beverages,30,21.6,0.17,New
7,2014-08-14,16:33,4,Joel,Beverages,Café americano,Non-alcoholic beverages,18,12.6,0.17,New
7,2014-08-14,16:33,4,Joel,Beverages,Te helado,Non-alcoholic beverages,25,18.5,0.17,New
7,2014-08-14,16:33,4,Joel,Food,Salmón,Salads,84,63,0.17,New
7,2014-08-14,16:33,4,Joel,Food,Italiana,Pizza,123,88.56,0.17,New
8,2014-08-31,21:36,6,Valentina,Beverages,Victoria,Beer,30,21.3,0.08,New
8,2014-08-31,21:36,6,Valentina,Beverages,Te helado,Non-alcoholic beverages,25,18.5,0.08,New
8,2014-08-31,21:36,6,Valentina,Beverages,Café americano,Non-alcoholic beverages,18,12.6,0.08,New
8,2014-08-31,21:36,6,Valentina,Beverages,Naranjada,Non-alcoholic beverages,25,18.25,0.08,New
8,2014-08-31,21:36,6,Valentina,Beverages,Limonada,Non-alcoholic beverages,25,20,0.08,New
8,2014-08-31,21:36,6,Valentina,Beverages,Indio,Beer,25,21.25,0.08,New
8,2014-08-31,21:36,6,Valentina,Beverages,Prímula Espresso,Non-alcoholic beverages,25,17.75,0.08,New
8,2014-08-31,21:36,6,Valentina,Beverages,Tisana,Non-alcoholic beverages,25,18,0.08,New
8,2014-08-31,21:36,6,Valentina,Food,Salmón,Salads,84,63,0.08,New
8,2014-08-31,21:36,6,Valentina,Food,Pasta 4 Quesos,Pasta,69,53.13,0.08,New
8,2014-08-31,21:36,6,Valentina,Food,Rollos Prímula,Entrees,73,52.56,0.08,New
8,2014-08-31,21:36,6,Valentina,Food,Atún Encostrado,Main course,178,145.96,0.08,New
8,2014-08-31,21:36,6,Valentina,Food,Margarita,Pizza,105,73.5,0.08,New
8,2014-08-31,21:36,6,Valentina,Food,Arrachera del Chef,Main course,135,95.85,0.08,New
8,2014-08-31,21:36,6,Valentina,Food,Margret de Pato,Main course,198,150.48,0.08,New
9,2014-11-27,15:50,2,Saul,Beverages,Naranjada,Non-alcoholic beverages,25,18.25,0.13,New
9,2014-11-27,15:50,2,Saul,Beverages,Minerva,Beer,40,32.4,0.13,New
9,2014-11-27,15:50,2,Saul,Beverages,Prímula Espresso,Non-alcoholic beverages,25,17.75,0.13,New
9,2014-11-27,15:50,2,Saul,Beverages,Corona,Beer,30,24.9,0.13,New
9,2014-11-27,15:50,2,Saul,Beverages,Tecate,Beer,25,18,0.13,New
9,2014-11-27,15:50,2,Saul,Beverages,Espresso,Non-alcoholic beverages,20,14.6,0.13,New
9,2014-11-27,15:50,2,Saul,Food,Quesadillas Gobernador,Tacos,78,60.06,0.13,New
9,2014-11-27,15:50,2,Saul,Food,Strudel de Manzana,Desserts,45,31.5,0.13,New
9,2014-11-27,15:50,2,Saul,Food,Pannacotta Vainilla y Café,Desserts,40,32.4,0.13,New
9,2014-11-27,15:50,2,Saul,Food,Salmón,Salads,84,63,0.13,New
9,2014-11-27,15:50,2,Saul,Food,Salmón al Pesto,Main course,174,121.8,0.13,New
10,2014-12-28,17:31,14,Joel,Beverages,Corona,Beer,30,24.9,0.16,New
10,2014-12-28,17:31,14,Joel,Beverages,Victoria,Beer,30,21.3,0.16,New
10,2014-12-28,17:31,14,Joel,Beverages,Espresso,Non-alcoholic beverages,20,14.6,0.16,New
10,2014-12-28,17:31,14,Joel,Beverages,Refresco,Non-alcoholic beverages,20,16,0.16,New
10,2014-12-28,17:31,14,Joel,Beverages,Prímula Espresso,Non-alcoholic beverages,25,17.75,0.16,New
10,2014-12-28,17:31,14,Joel,Beverages,Indio,Beer,25,21.25,0.16,New
10,2014-12-28,17:31,14,Joel,Beverages,Limonada,Non-alcoholic beverages,25,20,0.16,New
10,2014-12-28,17:31,14,Joel,Beverages,Naranjada,Non-alcoholic beverages,25,18.25,0.16,New
10,2014-12-28,17:31,14,Joel,Food,Pasta de Tomate Deshidratado,Pasta,65,54.6,0.16,New
10,2014-12-28,17:31,14,Joel,Food,Pannacotta Vainilla y Café,Desserts,40,32.4,0.16,New
10,2014-12-28,17:31,14,Joel,Food,Brochetas Hawaiianas,Entrees,74,56.98,0.16,New
10,2014-12-28,17:31,14,Joel,Food,Pesto & Camarón,Pizza,125,105,0.16,New
10,2014-12-28,17:31,14,Joel,Food,Ensalada Prímula,Salads,80,68,0.16,New
10,2014-12-28,17:31,14,Joel,Food,Tiramisú,Desserts,42,31.5,0.16,New
11,2014-11-12,15:36,9,Alejandro,Beverages,Pacifico,Beer,30,21.9,0.07,New
11,2014-11-12,15:36,9,Alejandro,Beverages,Capuccino,Non-alcoholic beverages,30,21.6,0.07,New
11,2014-11-12,15:36,9,Alejandro,Beverages,Naranjada,Non-alcoholic beverages,25,18.25,0.07,New
11,2014-11-12,15:36,9,Alejandro,Beverages,Refresco,Non-alcoholic beverages,20,16,0.07,New
11,2014-11-12,15:36,9,Alejandro,Beverages,Te helado,Non-alcoholic beverages,25,18.5,0.07,New
11,2014-11-12,15:36,9,Alejandro,Food,Salmón,Salads,84,63,0.07,New
11,2014-11-12,15:36,9,Alejandro,Food,Pasta de Tomate Deshidratado,Pasta,65,54.6,0.07,New
11,2014-11-12,15:36,9,Alejandro,Food,Camarones Momia,Entrees,75,58.5,0.07,New
11,2014-11-12,15:36,9,Alejandro,Food,Cítricos,Salads,69,56.58,0.07,New
11,2014-11-12,15:36,9,Alejandro,Food,Tropical,Pizza,125,91.25,0.07,New
12,2014-07-07,12:57,12,Rodolfo,Beverages,Naranjada,Non-alcoholic beverages,25,18.25,0.17,New
12,2014-07-07,12:57,12,Rodolfo,Beverages,Café americano,Non-alcoholic beverages,18,12.6,0.17,New
12,2014-07-07,12:57,12,Rodolfo,Beverages,Limonada,Non-alcoholic beverages,25,20,0.17,New
12,2014-07-07,12:57,12,Rodolfo,Beverages,Espresso,Non-alcoholic beverages,20,14.6,0.17,New
12,2014-07-07,12:57,12,Rodolfo,Food,Tropical,Pizza,125,91.25,0.17,New
12,2014-07-07,12:57,12,Rodolfo,Food,Pera Rostizada,Salads,89,75.65,0.17,New
13,2014-02-23,19:26,12,Rodolfo,Beverages,Corona,Beer,30,24.9,0.15,New
13,2014-02-23,19:26,12,Rodolfo,Beverages,Café americano,Non-alcoholic beverages,18,12.6,0.15,New
13,2014-02-23,19:26,12,Rodolfo,Beverages,Espresso,Non-alcoholic beverages,20,14.6,0.15,New
13,2014-02-23,19:26,12,Rodolfo,Beverages,Victoria,Beer,30,21.3,0.15,New
13,2014-02-23,19:26,12,Rodolfo,Food,Tiramisú,Desserts,42,31.5,0.15,New
13,2014-02-23,19:26,12,Rodolfo,Food,Pesto & Camarón,Pizza,125,105,0.15,New
13,2014-02-23,19:26,12,Rodolfo,Food,Tártara de atún/salmón Frescto,Entrees,79,63.2,0.15,New
13,2014-02-23,19:26,12,Rodolfo,Food,Vacío,Main course,164,132.84,0.15,New
13,2014-02-23,19:26,12,Rodolfo,Food,Pollo Silvestre,Main course,125,90,0.15,New
13,2014-02-23,19:26,12,Rodolfo,Food,Del Cheff,Pizza,135,112.05,0.15,New
14,2015-01-24,19:55,4,Mauricio,Beverages,Indio,Beer,25,21.25,0.2,New
14,2015-01-24,19:55,4,Mauricio,Beverages,Refresco,Non-alcoholic beverages,20,16,0.2,New
14,2015-01-24,19:55,4,Mauricio,Beverages,Minerva,Beer,40,32.4,0.2,New
14,2015-01-24,19:55,4,Mauricio,Beverages,Prímula Espresso,Non-alcoholic beverages,25,17.75,0.2,New
14,2015-01-24,19:55,4,Mauricio,Food,Pizza Prímula,Pizza,105,81.9,0.2,New
14,2015-01-24,19:55,4,Mauricio,Food,Espárragos Envueltos,Entrees,78,63.18,0.2,New
14,2015-01-24,19:55,4,Mauricio,Food,Camarones Momia,Entrees,75,58.5,0.2,New
14,2015-01-24,19:55,4,Mauricio,Food,Pasta Alfredo,Pasta,67,55.61,0.2,New
14,2015-01-24,19:55,4,Mauricio,Food,Arrachera del Chef,Main course,135,95.85,0.2,New
15,2014-09-16,13:40,10,Saul,Beverages,Minerva,Beer,40,32.4,0.17,Recurrent
15,2014-09-16,13:40,10,Saul,Beverages,Prímula Espresso,Non-alcoholic beverages,25,17.75,0.17,Recurrent
15,2014-09-16,13:40,10,Saul,Food,Atún Encostrado,Main course,178,145.96,0.17,Recurrent
15,2014-09-16,13:40,10,Saul,Food,Mexicana,Pizza,115,95.45,0.17,Recurrent
15,2014-09-16,13:40,10,Saul,Food,Camarones al Coco,Salads,84,68.88,0.17,Recurrent
15,2014-09-16,13:40,10,Saul,Food,Pasta Alfredo,Pasta,67,55.61,0.17,Recurrent
16,2014-11-12,15:21,8,Valentina,Beverages,Refresco,Non-alcoholic beverages,20,16,0.11,New
16,2014-11-12,15:21,8,Valentina,Beverages,Indio,Beer,25,21.25,0.11,New
16,2014-11-12,15:21,8,Valentina,Beverages,Pacifico,Beer,30,21.9,0.11,New
16,2014-11-12,15:21,8,Valentina,Beverages,Te helado,Non-alcoholic beverages,25,18.5,0.11,New
16,2014-11-12,15:21,8,Valentina,Beverages,Espresso,Non-alcoholic beverages,20,14.6,0.11,New
16,2014-11-12,15:21,8,Valentina,Beverages,Modelo,Beer,30,23.7,0.11,New
16,2014-11-12,15:21,8,Valentina,Beverages,Minerva,Beer,40,32.4,0.11,New
16,2014-11-12,15:21,8,Valentina,Beverages,Victoria,Beer,30,21.3,0.11,New
16,2014-11-12,15:21,8,Valentina,Food,Rollos Prímula,Entrees,73,52.56,0.11,New
16,2014-11-12,15:21,8,Valentina,Food,Arrachera del Chef,Main course,135,95.85,0.11,New
16,2014-11-12,15:21,8,Valentina,Food,Mejillones Horneados,Entrees,75,56.25,0.11,New
16,2014-11-12,15:21,8,Valentina,Food,Pasta de Tomate Deshidratado,Pasta,65,54.6,0.11,New
16,2014-11-12,15:21,8,Valentina,Food,Salmón,Salads,84,63,0.11,New
16,2014-11-12,15:21,8,Valentina,Food,Tacos Capeados,Tacos,75,60.75,0.11,New
16,2014-11-12,15:21,8,Valentina,Food,Pesto & Camarón,Pizza,125,105,0.11,New
16,2014-11-12,15:21,8,Valentina,Food,Ensalada Prímula,Salads,80,68,0.11,New
17,2014-11-06,23:02,2,Alejandro,Beverages,Refresco,Non-alcoholic beverages,20,16,0.13,New
17,2014-11-06,23:02,2,Alejandro,Beverages,Minerva,Beer,40,32.4,0.13,New
17,2014-11-06,23:02,2,Alejandro,Beverages,Tisana,Non-alcoholic beverages,25,18,0.13,New
17,2014-11-06,23:02,2,Alejandro,Beverages,Corona,Beer,30,24.9,0.13,New
17,2014-11-06,23:02,2,Alejandro,Food,Esfera del Cheff,Desserts,50,39,0.13,New
17,2014-11-06,23:02,2,Alejandro,Food,Atún Encostrado,Main course,178,145.96,0.13,New
17,2014-11-06,23:02,2,Alejandro,Food,Pesto & Camarón,Pizza,125,105,0.13,New
18,2014-08-15,22:48,5,Omar,Beverages,Corona,Beer,30,24.9,0.06,New
18,2014-08-15,22:48,5,Omar,Beverages,Prímula Espresso,Non-alcoholic beverages,25,17.75,0.06,New
18,2014-08-15,22:48,5,Omar,Beverages,Pacifico,Beer,30,21.9,0.06,New
18,2014-08-15,22:48,5,Omar,Food,Salmón Ahumado,Pizza,135,105.3,0.06,New
18,2014-08-15,22:48,5,Omar,Food,Quesadillas Gobernador,Tacos,78,60.06,0.06,New
18,2014-08-15,22:48,5,Omar,Food,Tacos Arrachera,Tacos,79,66.36,0.06,New
18,2014-08-15,22:48,5,Omar,Food,Brochetas Hawaiianas,Entrees,74,56.98,0.06,New
19,2014-07-21,15:36,14,Valentina,Beverages,Naranjada,Non-alcoholic beverages,25,18.25,0.08,Recurrent
19,2014-07-21,15:36,14,Valentina,Beverages,Prímula Espresso,Non-alcoholic beverages,25,17.75,0.08,Recurrent
19,2014-07-21,15:36,14,Valentina,Beverages,Tisana,Non-alcoholic beverages,25,18,0.08,Recurrent
19,2014-07-21,15:36,14,Valentina,Beverages,Tecate,Beer,25,18,0.08,Recurrent
19,2014-07-21,15:36,14,Valentina,Food,Cítricos,Salads,69,56.58,0.08,Recurrent
19,2014-07-21,15:36,14,Valentina,Food,Salmón al Pesto,Main course,174,121.8,0.08,Recurrent
19,2014-07-21,15:36,14,Valentina,Food,Margret de Pato,Main course,198,150.48,0.08,Recurrent
19,2014-07-21,15:36,14,Valentina,Food,Mexicana,Pizza,115,95.45,0.08,Recurrent
19,2014-07-21,15:36,14,Valentina,Food,Margarita,Pizza,105,73.5,0.08,Recurrent
20,2014-03-31,16:48,12,Alejandro,Beverages,Te helado,Non-alcoholic beverages,25,18.5,0.1,New
20,2014-03-31,16:48,12,Alejandro,Beverages,Limonada,Non-alcoholic beverages,25,20,0.1,New
20,2014-03-31,16:48,12,Alejandro,Beverages,Espresso,Non-alcoholic beverages,20,14.6,0.1,New
20,2014-03-31,16:48,12,Alejandro,Beverages,Pacifico,Beer,30,21.9,0.1,New
20,2014-03-31,16:48,12,Alejandro,Beverages,Victoria,Beer,30,21.3,0.1,New
20,2014-03-31,16:48,12,Alejandro,Food,Pizza Prímula,Pizza,105,81.9,0.1,New
20,2014-03-31,16:48,12,Alejandro,Food,Espárragos Envueltos,Entrees,78,63.18,0.1,New
20,2014-03-31,16:48,12,Alejandro,Food,Del Huerto,Salads,65,54.6,0.1,New
20,2014-03-31,16:48,12,Alejandro,Food,Vacío,Main course,164,132.84,0.1,New
21,2015-01-05,13:40,16,Mariana,Beverages,Pacifico,Beer,30,21.9,0.07,New
21,2015-01-05,13:40,16,Mariana,Beverages,Naranjada,Non-alcoholic beverages,25,18.25,0.07,New
21,2015-01-05,13:40,16,Mariana,Beverages,Te helado,Non-alcoholic beverages,25,18.5,0.07,New
21,2015-01-05,13:40,16,Mariana,Beverages,Victoria,Beer,30,21.3,0.07,New
21,2015-01-05,13:40,16,Mariana,Beverages,Refresco,Non-alcoholic beverages,20,16,0.07,New
21,2015-01-05,13:40,16,Mariana,Food,Del Cheff,Pizza,135,112.05,0.07,New
21,2015-01-05,13:40,16,Mariana,Food,Tropical,Pizza,125,91.25,0.07,New
21,2015-01-05,13:40,16,Mariana,Food,Panela a la Leña,Entrees,53,42.4,0.07,New
21,2015-01-05,13:40,16,Mariana,Food,Rollos Prímula,Entrees,73,52.56,0.07,New
21,2015-01-05,13:40,16,Mariana,Food,Pan de Elote,Desserts,40,29.6,0.07,New
21,2015-01-05,13:40,16,Mariana,Food,Esfera del Cheff,Desserts,50,39,0.07,New
21,2015-01-05,13:40,16,Mariana,Food,Pizza Prímula,Pizza,105,81.9,0.07,New
21,2015-01-05,13:40,16,Mariana,Food,Salmón Ahumado,Pizza,135,105.3,0.07,New
21,2015-01-05,13:40,16,Mariana,Food,Pollo Silvestre,Main course,125,90,0.07,New
22,2014-04-21,23:31,9,Saul,Beverages,Modelo,Beer,30,23.7,0.08,Recurrent
22,2014-04-21,23:31,9,Saul,Beverages,Tisana,Non-alcoholic beverages,25,18,0.08,Recurrent
22,2014-04-21,23:31,9,Saul,Beverages,Pacifico,Beer,30,21.9,0.08,Recurrent
22,2014-04-21,23:31,9,Saul,Beverages,Indio,Beer,25,21.25,0.08,Recurrent
22,2014-04-21,23:31,9,Saul,Beverages,Te helado,Non-alcoholic beverages,25,18.5,0.08,Recurrent
22,2014-04-21,23:31,9,Saul,Beverages,Tecate,Beer,25,18,0.08,Recurrent
22,2014-04-21,23:31,9,Saul,Beverages,Espresso,Non-alcoholic beverages,20,14.6,0.08,Recurrent
22,2014-04-21,23:31,9,Saul,Food,Portobello Confitado,Entrees,64,53.76,0.08,Recurrent
22,2014-04-21,23:31,9,Saul,Food,Pay de Temporada,Desserts,42,33.6,0.08,Recurrent
22,2014-04-21,23:31,9,Saul,Food,Pollo Silvestre,Main course,125,90,0.08,Recurrent
22,2014-04-21,23:31,9,Saul,Food,Ensalada Prímula,Salads,80,68,0.08,Recurrent
22,2014-04-21,23:31,9,Saul,Food,Tártara de atún/salmón Frescto,Entrees,79,63.2,0.08,Recurrent
22,2014-04-21,23:31,9,Saul,Food,Tropical,Pizza,125,91.25,0.08,Recurrent
23,2014-04-20,23:31,17,Ernesto,Beverages,Indio,Beer,25,21.25,0.15,New
23,2014-04-20,23:31,17,Ernesto,Beverages,Capuccino,Non-alcoholic beverages,30,21.6,0.15,New
23,2014-04-20,23:31,17,Ernesto,Beverages,Te helado,Non-alcoholic beverages,25,18.5,0.15,New
23,2014-04-20,23:31,17,Ernesto,Beverages,Corona,Beer,30,24.9,0.15,New
23,2014-04-20,23:31,17,Ernesto,Beverages,Victoria,Beer,30,21.3,0.15,New
23,2014-04-20,23:31,17,Ernesto,Food,Tacos Capeados,Tacos,75,60.75,0.15,New
23,2014-04-20,23:31,17,Ernesto,Food,Italiana,Pizza,123,88.56,0.15,New
23,2014-04-20,23:31,17,Ernesto,Food,Esfera del Cheff,Desserts,50,39,0.15,New
23,2014-04-20,23:31,17,Ernesto,Food,Pizza Prímula,Pizza,105,81.9,0.15,New
23,2014-04-20,23:31,17,Ernesto,Food,Pasta de Tomate Deshidratado,Pasta,65,54.6,0.15,New
24,2014-07-20,22:48,7,Saul,Beverages,Corona,Beer,30,24.9,0.13,New
24,2014-07-20,22:48,7,Saul,Beverages,Café americano,Non-alcoholic beverages,18,12.6,0.13,New
24,2014-07-20,22:48,7,Saul,Food,Portobello Confitado,Entrees,64,53.76,0.13,New
24,2014-07-20,22:48,7,Saul,Food,Salmón Ahumado,Pizza,135,105.3,0.13,New
24,2014-07-20,22:48,7,Saul,Food,Salmón al Pesto,Main course,174,121.8,0.13,New
24,2014-07-20,22:48,7,Saul,Food,Mexicana,Pizza,115,95.45,0.13,New
25,2014-11-30,18:57,13,Saul,Beverages,Pacifico,Beer,30,21.9,0.05,New
25,2014-11-30,18:57,13,Saul,Beverages,Capuccino,Non-alcoholic beverages,30,21.6,0.05,New
25,2014-11-30,18:57,13,Saul,Beverages,Modelo,Beer,30,23.7,0.05,New
25,2014-11-30,18:57,13,Saul,Beverages,Refresco,Non-alcoholic beverages,20,16,0.05,New
25,2014-11-30,18:57,13,Saul,Beverages,Café americano,Non-alcoholic beverages,18,12.6,0.05,New
25,2014-11-30,18:57,13,Saul,Beverages,Corona,Beer,30,24.9,0.05,New
25,2014-11-30,18:57,13,Saul,Food,Ensalada Prímula,Salads,80,68,0.05,New
25,2014-11-30,18:57,13,Saul,Food,Del Huerto,Salads,65,54.6,0.05,New
25,2014-11-30,18:57,13,Saul,Food,Mejillones Horneados,Entrees,75,56.25,0.05,New
25,2014-11-30,18:57,13,Saul,Food,Italiana,Pizza,123,88.56,0.05,New
25,2014-11-30,18:57,13,Saul,Food,Camarones al Coco,Salads,84,68.88,0.05,New
25,2014-11-30,18:57,13,Saul,Food,Quesadillas Gobernador,Tacos,78,60.06,0.05,New
25,2014-11-30,18:57,13,Saul,Food,Pollo Silvestre,Main course,125,90,0.05,New
26,2014-12-22,00:00,13,Mariana,Beverages,Modelo,Beer,30,23.7,0.15,New
26,2014-12-22,00:00,13,Mariana,Beverages,Pacifico,Beer,30,21.9,0.15,New
26,2014-12-22,00:00,13,Mariana,Beverages,Victoria,Beer,30,21.3,0.15,New
26,2014-12-22,00:00,13,Mariana,Beverages,Tecate,Beer,25,18,0.15,New
26,2014-12-22,00:00,13,Mariana,Beverages,Naranjada,Non-alcoholic beverages,25,18.25,0.15,New
26,2014-12-22,00:00,13,Mariana,Food,Camarones al Coco,Salads,84,68.88,0.15,New
26,2014-12-22,00:00,13,Mariana,Food,Arrachera del Chef,Main course,135,95.85,0.15,New
26,2014-12-22,00:00,13,Mariana,Food,Panela a la Leña,Entrees,53,42.4,0.15,New
26,2014-12-22,00:00,13,Mariana,Food,Pera Rostizada,Salads,89,75.65,0.15,New
26,2014-12-22,00:00,13,Mariana,Food,Pasta Alfredo,Pasta,67,55.61,0.15,New
26,2014-12-22,00:00,13,Mariana,Food,Strudel de Manzana,Desserts,45,31.5,0.15,New
27,2014-03-28,20:38,7,Joel,Beverages,Pacifico,Beer,30,21.9,0.05,New
27,2014-03-28,20:38,7,Joel,Beverages,Victoria,Beer,30,21.3,0.05,New
27,2014-03-28,20:38,7,Joel,Beverages,Espresso,Non-alcoholic beverages,20,14.6,0.05,New
27,2014-03-28,20:38,7,Joel,Beverages,Prímula Espresso,Non-alcoholic beverages,25,17.75,0.05,New
27,2014-03-28,20:38,7,Joel,Beverages,Modelo,Beer,30,23.7,0.05,New
