TOWN,GENDER,AGE RANGE,NUMBER
COYOACAN,Female,q) 80 a 84  ,6219
COYOACAN,Female,r) 85   and more,6225
LA MAGDALENA CONTRERAS,Male,l) 55 a 59  ,6251
MILPA ALTA,Female,b) 5 a 9  ,6297
MILPA ALTA,Male,f) 25 a 29  ,6303
MILPA ALTA,Male,b) 5 a 9  ,6368
BENITO JUAREZ,Female,p) 75 a 79  ,6395
MILPA ALTA,Female,d) 15 a 19  ,6468
BENITO JUAREZ,Male,o) 70 a 74  ,6472
CUAUHTEMOC,Female,p) 75 a 79  ,6478
LA MAGDALENA CONTRERAS,Female,a) 0 a 4  ,6500
LA MAGDALENA CONTRERAS,Male,a) 0 a 4  ,6512
MILPA ALTA,Female,c) 10 a 14  ,6579
LA MAGDALENA CONTRERAS,Female,m) 60 a 64  ,6583
MILPA ALTA,Female,e) 20 a 24  ,6643
MILPA ALTA,Female,f) 25 a 29  ,6646
CUAJIMALPA DE MORELOS,Male,k) 50 a 54  ,6711
MILPA ALTA,Male,c) 10 a 14  ,6719
COYOACAN,Male,p) 75 a 79  ,6748
MILPA ALTA,Male,e) 20 a 24  ,6748
XOCHIMILCO,Male,n) 65 a 69  ,6846
MILPA ALTA,Male,d) 15 a 19  ,6977
CUAJIMALPA DE MORELOS,Female,a) 0 a 4  ,7016
CUAUHTEMOC,Male,o) 70 a 74  ,7036
TLALPAN,Female,p) 75 a 79  ,7038
GUSTAVO A. MADERO,Male,q) 80 a 84  ,7062
IZTACALCO,Male,n) 65 a 69  ,7097
MIGUEL HIDALGO,Male,n) 65 a 69  ,7139
IZTACALCO,Female,o) 70 a 74  ,7208
CUAJIMALPA DE MORELOS,Male,a) 0 a 4  ,7239
IZTAPALAPA,Male,q) 80 a 84  ,7309
CUAJIMALPA DE MORELOS,Male,j) 45 a 49  ,7399
MIGUEL HIDALGO,Female,o) 70 a 74  ,7429
CUAJIMALPA DE MORELOS,Female,b) 5 a 9  ,7431
CUAJIMALPA DE MORELOS,Male,i) 40 a 44  ,7443
LA MAGDALENA CONTRERAS,Female,l) 55 a 59  ,7496
TLAHUAC,Male,m) 60 a 64  ,7665
CUAJIMALPA DE MORELOS,Female,c) 10 a 14  ,7821
CUAJIMALPA DE MORELOS,Male,b) 5 a 9  ,7848
CUAJIMALPA DE MORELOS,Female,k) 50 a 54  ,7892
AZCAPOTZALCO,Male,n) 65 a 69  ,7906
LA MAGDALENA CONTRERAS,Male,k) 50 a 54  ,7915
CUAJIMALPA DE MORELOS,Male,c) 10 a 14  ,7952
VENUSTIANO CARRANZA,Male,n) 65 a 69  ,7985
LA MAGDALENA CONTRERAS,Female,b) 5 a 9  ,7992
CUAJIMALPA DE MORELOS,Male,h) 35 a 39  ,8013
VENUSTIANO CARRANZA,Female,o) 70 a 74  ,8072
XOCHIMILCO,Female,n) 65 a 69  ,8099
BENITO JUAREZ,Female,a) 0 a 4  ,8191
ALVARO OBREGON,Female,p) 75 a 79  ,8216
LA MAGDALENA CONTRERAS,Male,b) 5 a 9  ,8278
LA MAGDALENA CONTRERAS,Male,i) 40 a 44  ,8278
AZCAPOTZALCO,Female,o) 70 a 74  ,8307
CUAJIMALPA DE MORELOS,Female,d) 15 a 19  ,8334
BENITO JUAREZ,Female,b) 5 a 9  ,8428
CUAJIMALPA DE MORELOS,Male,d) 15 a 19  ,8442
BENITO JUAREZ,Male,a) 0 a 4  ,8451
CUAJIMALPA DE MORELOS,Female,i) 40 a 44  ,8471
LA MAGDALENA CONTRERAS,Male,h) 35 a 39  ,8479
CUAJIMALPA DE MORELOS,Female,j) 45 a 49  ,8481
CUAJIMALPA DE MORELOS,Male,g) 30 a 34  ,8547
BENITO JUAREZ,Female,c) 10 a 14  ,8570
BENITO JUAREZ,Male,n) 65 a 69  ,8583
TLALPAN,Male,o) 70 a 74  ,8630
BENITO JUAREZ,Male,b) 5 a 9  ,8641
CUAJIMALPA DE MORELOS,Male,f) 25 a 29  ,8732
LA MAGDALENA CONTRERAS,Male,j) 45 a 49  ,8791
CUAJIMALPA DE MORELOS,Female,h) 35 a 39  ,8817
CUAJIMALPA DE MORELOS,Male,e) 20 a 24  ,8830
LA MAGDALENA CONTRERAS,Male,g) 30 a 34  ,8855
TLAHUAC,Female,m) 60 a 64  ,8928
BENITO JUAREZ,Male,c) 10 a 14  ,8962
LA MAGDALENA CONTRERAS,Female,c) 10 a 14  ,9030
LA MAGDALENA CONTRERAS,Male,c) 10 a 14  ,9066
MIGUEL HIDALGO,Female,n) 65 a 69  ,9186
IZTACALCO,Female,n) 65 a 69  ,9195
LA MAGDALENA CONTRERAS,Female,h) 35 a 39  ,9198
MIGUEL HIDALGO,Male,m) 60 a 64  ,9198
COYOACAN,Female,p) 75 a 79  ,9201
LA MAGDALENA CONTRERAS,Female,g) 30 a 34  ,9287
LA MAGDALENA CONTRERAS,Female,d) 15 a 19  ,9304
LA MAGDALENA CONTRERAS,Female,k) 50 a 54  ,9319
XOCHIMILCO,Male,m) 60 a 64  ,9360
BENITO JUAREZ,Female,d) 15 a 19  ,9407
CUAJIMALPA DE MORELOS,Female,e) 20 a 24  ,9464
ALVARO OBREGON,Male,o) 70 a 74  ,9514
LA MAGDALENA CONTRERAS,Female,i) 40 a 44  ,9538
BENITO JUAREZ,Male,d) 15 a 19  ,9563
LA MAGDALENA CONTRERAS,Male,d) 15 a 19  ,9585
CUAJIMALPA DE MORELOS,Female,g) 30 a 34  ,9609
BENITO JUAREZ,Female,o) 70 a 74  ,9617
TLAHUAC,Male,l) 55 a 59  ,9630
IZTACALCO,Male,m) 60 a 64  ,9660
CUAUHTEMOC,Male,n) 65 a 69  ,9666
IZTAPALAPA,Female,r) 85   and more,9687
CUAJIMALPA DE MORELOS,Female,f) 25 a 29  ,9718
LA MAGDALENA CONTRERAS,Male,f) 25 a 29  ,9763
MIGUEL HIDALGO,Female,a) 0 a 4  ,9771
CUAUHTEMOC,Female,o) 70 a 74  ,9884
LA MAGDALENA CONTRERAS,Female,e) 20 a 24  ,9901
LA MAGDALENA CONTRERAS,Female,j) 45 a 49  ,10030
IZTACALCO,Female,a) 0 a 4  ,10040
LA MAGDALENA CONTRERAS,Male,e) 20 a 24  ,10068
LA MAGDALENA CONTRERAS,Female,f) 25 a 29  ,10070
GUSTAVO A. MADERO,Female,r) 85   and more,10076
AZCAPOTZALCO,Female,n) 65 a 69  ,10153
MIGUEL HIDALGO,Male,a) 0 a 4  ,10208
AZCAPOTZALCO,Female,a) 0 a 4  ,10266
COYOACAN,Male,o) 70 a 74  ,10308
VENUSTIANO CARRANZA,Female,n) 65 a 69  ,10332
MIGUEL HIDALGO,Female,b) 5 a 9  ,10357
IZTACALCO,Male,a) 0 a 4  ,10426
AZCAPOTZALCO,Male,m) 60 a 64  ,10497
MIGUEL HIDALGO,Male,b) 5 a 9  ,10517
IZTAPALAPA,Female,q) 80 a 84  ,10539
GUSTAVO A. MADERO,Female,q) 80 a 84  ,10617
MIGUEL HIDALGO,Female,c) 10 a 14  ,10644
GUSTAVO A. MADERO,Male,p) 75 a 79  ,10673
MIGUEL HIDALGO,Male,l) 55 a 59  ,10748
AZCAPOTZALCO,Male,a) 0 a 4  ,10794
XOCHIMILCO,Female,m) 60 a 64  ,10934
BENITO JUAREZ,Male,m) 60 a 64  ,10937
VENUSTIANO CARRANZA,Male,m) 60 a 64  ,10937
MIGUEL HIDALGO,Male,c) 10 a 14  ,10998
XOCHIMILCO,Male,l) 55 a 59  ,11090
TLALPAN,Female,o) 70 a 74  ,11129
TLAHUAC,Female,l) 55 a 59  ,11167
MIGUEL HIDALGO,Female,d) 15 a 19  ,11257
IZTACALCO,Male,l) 55 a 59  ,11269
MIGUEL HIDALGO,Male,d) 15 a 19  ,11337
AZCAPOTZALCO,Female,b) 5 a 9  ,11470
VENUSTIANO CARRANZA,Female,a) 0 a 4  ,11488
IZTACALCO,Female,b) 5 a 9  ,11495
VENUSTIANO CARRANZA,Male,a) 0 a 4  ,11659
TLAHUAC,Female,a) 0 a 4  ,11705
MIGUEL HIDALGO,Female,m) 60 a 64  ,11730
IZTACALCO,Male,b) 5 a 9  ,11781
BENITO JUAREZ,Male,l) 55 a 59  ,11800
BENITO JUAREZ,Female,n) 65 a 69  ,11850
AZCAPOTZALCO,Male,b) 5 a 9  ,11950
AZCAPOTZALCO,Male,l) 55 a 59  ,11992
TLALPAN,Male,n) 65 a 69  ,12005
TLAHUAC,Male,a) 0 a 4  ,12010
TLAHUAC,Male,k) 50 a 54  ,12163
IZTACALCO,Female,m) 60 a 64  ,12173
ALVARO OBREGON,Female,o) 70 a 74  ,12283
VENUSTIANO CARRANZA,Male,l) 55 a 59  ,12307
XOCHIMILCO,Female,a) 0 a 4  ,12350
BENITO JUAREZ,Male,e) 20 a 24  ,12351
XOCHIMILCO,Male,a) 0 a 4  ,12520
AZCAPOTZALCO,Female,c) 10 a 14  ,12667
IZTACALCO,Female,c) 10 a 14  ,12670
CUAUHTEMOC,Female,n) 65 a 69  ,12671
XOCHIMILCO,Female,l) 55 a 59  ,12753
BENITO JUAREZ,Female,e) 20 a 24  ,12760
CUAUHTEMOC,Male,m) 60 a 64  ,12776
MIGUEL HIDALGO,Male,k) 50 a 54  ,12846
MIGUEL HIDALGO,Female,l) 55 a 59  ,12878
IZTACALCO,Male,c) 10 a 14  ,12900
IZTAPALAPA,Male,p) 75 a 79  ,12994
CUAUHTEMOC,Female,a) 0 a 4  ,13005
COYOACAN,Male,n) 65 a 69  ,13010
CUAUHTEMOC,Male,a) 0 a 4  ,13027
TLAHUAC,Male,i) 40 a 44  ,13091
TLAHUAC,Male,j) 45 a 49  ,13097
COYOACAN,Female,a) 0 a 4  ,13109
VENUSTIANO CARRANZA,Female,b) 5 a 9  ,13109
BENITO JUAREZ,Male,k) 50 a 54  ,13181
ALVARO OBREGON,Male,n) 65 a 69  ,13187
IZTACALCO,Male,k) 50 a 54  ,13188
AZCAPOTZALCO,Male,c) 10 a 14  ,13219
MIGUEL HIDALGO,Male,e) 20 a 24  ,13256
AZCAPOTZALCO,Female,m) 60 a 64  ,13290
IZTACALCO,Female,l) 55 a 59  ,13336
IZTACALCO,Female,d) 15 a 19  ,13495
IZTACALCO,Male,i) 40 a 44  ,13514
COYOACAN,Male,a) 0 a 4  ,13518
CUAUHTEMOC,Female,b) 5 a 9  ,13559
XOCHIMILCO,Male,k) 50 a 54  ,13621
VENUSTIANO CARRANZA,Male,b) 5 a 9  ,13651
TLAHUAC,Male,h) 35 a 39  ,13710
AZCAPOTZALCO,Female,d) 15 a 19  ,13711
COYOACAN,Female,o) 70 a 74  ,13762
VENUSTIANO CARRANZA,Female,c) 10 a 14  ,13767
MIGUEL HIDALGO,Female,e) 20 a 24  ,13788
VENUSTIANO CARRANZA,Female,m) 60 a 64  ,13793
VENUSTIANO CARRANZA,Male,k) 50 a 54  ,13966
CUAUHTEMOC,Male,b) 5 a 9  ,13971
CUAUHTEMOC,Male,l) 55 a 59  ,13993
IZTACALCO,Male,j) 45 a 49  ,14074
TLAHUAC,Female,k) 50 a 54  ,14075
TLAHUAC,Female,b) 5 a 9  ,14252
IZTACALCO,Male,d) 15 a 19  ,14264
AZCAPOTZALCO,Male,d) 15 a 19  ,14272
AZCAPOTZALCO,Male,k) 50 a 54  ,14313
GUSTAVO A. MADERO,Female,p) 75 a 79  ,14406
VENUSTIANO CARRANZA,Male,c) 10 a 14  ,14407
IZTACALCO,Male,h) 35 a 39  ,14487
VENUSTIANO CARRANZA,Male,i) 40 a 44  ,14622
AZCAPOTZALCO,Male,i) 40 a 44  ,14624
AZCAPOTZALCO,Female,l) 55 a 59  ,14682
CUAUHTEMOC,Female,c) 10 a 14  ,14690
TLAHUAC,Male,g) 30 a 34  ,14712
XOCHIMILCO,Male,j) 45 a 49  ,14723
TLAHUAC,Female,i) 40 a 44  ,14731
MIGUEL HIDALGO,Male,j) 45 a 49  ,14744
AZCAPOTZALCO,Male,j) 45 a 49  ,14810
BENITO JUAREZ,Female,m) 60 a 64  ,14814
VENUSTIANO CARRANZA,Male,j) 45 a 49  ,14816
TLAHUAC,Male,b) 5 a 9  ,14845
VENUSTIANO CARRANZA,Female,d) 15 a 19  ,14875
VENUSTIANO CARRANZA,Female,l) 55 a 59  ,14896
BENITO JUAREZ,Female,l) 55 a 59  ,14913
MIGUEL HIDALGO,Female,k) 50 a 54  ,14962
TLALPAN,Female,n) 65 a 69  ,14965
COYOACAN,Female,b) 5 a 9  ,15013
TLAHUAC,Female,h) 35 a 39  ,15095
XOCHIMILCO,Female,b) 5 a 9  ,15183
XOCHIMILCO,Male,i) 40 a 44  ,15197
TLAHUAC,Female,j) 45 a 49  ,15203
CUAUHTEMOC,Male,c) 10 a 14  ,15217
IZTACALCO,Female,i) 40 a 44  ,15234
VENUSTIANO CARRANZA,Male,d) 15 a 19  ,15235
IZTACALCO,Female,e) 20 a 24  ,15293
TLAHUAC,Female,c) 10 a 14  ,15347
IZTACALCO,Male,e) 20 a 24  ,15348
COYOACAN,Male,b) 5 a 9  ,15435
COYOACAN,Male,m) 60 a 64  ,15447
IZTACALCO,Male,g) 30 a 34  ,15482
GUSTAVO A. MADERO,Male,o) 70 a 74  ,15486
XOCHIMILCO,Female,k) 50 a 54  ,15514
TLALPAN,Male,m) 60 a 64  ,15529
AZCAPOTZALCO,Female,e) 20 a 24  ,15561
IZTACALCO,Male,f) 25 a 29  ,15573
IZTACALCO,Female,h) 35 a 39  ,15620
CUAUHTEMOC,Female,d) 15 a 19  ,15628
MIGUEL HIDALGO,Male,i) 40 a 44  ,15640
VENUSTIANO CARRANZA,Male,h) 35 a 39  ,15692
IZTACALCO,Female,k) 50 a 54  ,15712
XOCHIMILCO,Male,b) 5 a 9  ,15722
TLAHUAC,Female,d) 15 a 19  ,15738
BENITO JUAREZ,Female,k) 50 a 54  ,15844
TLAHUAC,Female,g) 30 a 34  ,15855
AZCAPOTZALCO,Male,h) 35 a 39  ,15868
TLAHUAC,Male,c) 10 a 14  ,15892
AZCAPOTZALCO,Male,e) 20 a 24  ,15895
BENITO JUAREZ,Male,j) 45 a 49  ,15941
IZTACALCO,Female,j) 45 a 49  ,16002
IZTACALCO,Female,f) 25 a 29  ,16154
CUAUHTEMOC,Male,d) 15 a 19  ,16162
XOCHIMILCO,Male,h) 35 a 39  ,16200
XOCHIMILCO,Female,c) 10 a 14  ,16249
IZTACALCO,Female,g) 30 a 34  ,16253
ALVARO OBREGON,Female,n) 65 a 69  ,16316
XOCHIMILCO,Female,j) 45 a 49  ,16376
VENUSTIANO CARRANZA,Female,e) 20 a 24  ,16380
CUAUHTEMOC,Male,k) 50 a 54  ,16398
IZTAPALAPA,Female,p) 75 a 79  ,16469
TLAHUAC,Male,f) 25 a 29  ,16493
MIGUEL HIDALGO,Female,j) 45 a 49  ,16498
MIGUEL HIDALGO,Male,f) 25 a 29  ,16511
XOCHIMILCO,Female,i) 40 a 44  ,16589
VENUSTIANO CARRANZA,Female,i) 40 a 44  ,16594
VENUSTIANO CARRANZA,Male,e) 20 a 24  ,16603
TLAHUAC,Female,e) 20 a 24  ,16610
AZCAPOTZALCO,Female,i) 40 a 44  ,16621
TLAHUAC,Male,d) 15 a 19  ,16651
VENUSTIANO CARRANZA,Male,g) 30 a 34  ,16711
COYOACAN,Female,c) 10 a 14  ,16721
COYOACAN,Male,l) 55 a 59  ,16722
CUAUHTEMOC,Female,m) 60 a 64  ,16742
AZCAPOTZALCO,Female,k) 50 a 54  ,16822
VENUSTIANO CARRANZA,Female,k) 50 a 54  ,16838
AZCAPOTZALCO,Male,f) 25 a 29  ,16899
TLAHUAC,Female,f) 25 a 29  ,16937
TLAHUAC,Male,e) 20 a 24  ,16963
XOCHIMILCO,Male,g) 30 a 34  ,16996
XOCHIMILCO,Male,c) 10 a 14  ,17025
VENUSTIANO CARRANZA,Female,h) 35 a 39  ,17029
VENUSTIANO CARRANZA,Female,j) 45 a 49  ,17030
AZCAPOTZALCO,Male,g) 30 a 34  ,17047
AZCAPOTZALCO,Female,j) 45 a 49  ,17049
XOCHIMILCO,Female,h) 35 a 39  ,17080
CUAUHTEMOC,Female,l) 55 a 59  ,17084
TLALPAN,Female,a) 0 a 4  ,17214
ALVARO OBREGON,Male,m) 60 a 64  ,17223
XOCHIMILCO,Female,d) 15 a 19  ,17223
VENUSTIANO CARRANZA,Male,f) 25 a 29  ,17227
AZCAPOTZALCO,Female,h) 35 a 39  ,17294
XOCHIMILCO,Female,g) 30 a 34  ,17296
TLALPAN,Male,l) 55 a 59  ,17380
COYOACAN,Female,n) 65 a 69  ,17480
AZCAPOTZALCO,Female,f) 25 a 29  ,17506
MIGUEL HIDALGO,Female,i) 40 a 44  ,17508
COYOACAN,Male,c) 10 a 14  ,17531
MIGUEL HIDALGO,Male,h) 35 a 39  ,17544
BENITO JUAREZ,Female,j) 45 a 49  ,17590
BENITO JUAREZ,Male,i) 40 a 44  ,17613
TLALPAN,Male,a) 0 a 4  ,17643
VENUSTIANO CARRANZA,Female,f) 25 a 29  ,17693
VENUSTIANO CARRANZA,Female,g) 30 a 34  ,17730
XOCHIMILCO,Male,d) 15 a 19  ,17733
BENITO JUAREZ,Male,f) 25 a 29  ,17844
AZCAPOTZALCO,Female,g) 30 a 34  ,17858
XOCHIMILCO,Female,f) 25 a 29  ,17952
MIGUEL HIDALGO,Female,f) 25 a 29  ,18160
XOCHIMILCO,Female,e) 20 a 24  ,18340
XOCHIMILCO,Male,f) 25 a 29  ,18611
CUAUHTEMOC,Male,j) 45 a 49  ,18634
XOCHIMILCO,Male,e) 20 a 24  ,18639
MIGUEL HIDALGO,Male,g) 30 a 34  ,18650
MIGUEL HIDALGO,Female,h) 35 a 39  ,18658
CUAUHTEMOC,Male,e) 20 a 24  ,19045
ALVARO OBREGON,Female,a) 0 a 4  ,19075
BENITO JUAREZ,Female,i) 40 a 44  ,19236
CUAUHTEMOC,Female,e) 20 a 24  ,19252
COYOACAN,Female,d) 15 a 19  ,19308
TLALPAN,Female,m) 60 a 64  ,19309
BENITO JUAREZ,Female,f) 25 a 29  ,19331
CUAUHTEMOC,Female,k) 50 a 54  ,19334
ALVARO OBREGON,Male,a) 0 a 4  ,19409
COYOACAN,Male,k) 50 a 54  ,19628
MIGUEL HIDALGO,Female,g) 30 a 34  ,19953
CUAUHTEMOC,Male,i) 40 a 44  ,19976
ALVARO OBREGON,Male,l) 55 a 59  ,20062
COYOACAN,Male,d) 15 a 19  ,20091
CUAUHTEMOC,Female,j) 45 a 49  ,20138
GUSTAVO A. MADERO,Male,n) 65 a 69  ,20530
COYOACAN,Female,m) 60 a 64  ,20697
GUSTAVO A. MADERO,Female,o) 70 a 74  ,20814
IZTAPALAPA,Male,o) 70 a 74  ,20815
COYOACAN,Female,l) 55 a 59  ,20856
COYOACAN,Male,i) 40 a 44  ,20884
CUAUHTEMOC,Female,i) 40 a 44  ,21015
TLALPAN,Male,k) 50 a 54  ,21103
COYOACAN,Male,h) 35 a 39  ,21119
BENITO JUAREZ,Male,h) 35 a 39  ,21123
TLALPAN,Female,l) 55 a 59  ,21182
ALVARO OBREGON,Female,m) 60 a 64  ,21283
COYOACAN,Male,j) 45 a 49  ,21315
BENITO JUAREZ,Female,h) 35 a 39  ,21844
BENITO JUAREZ,Male,g) 30 a 34  ,21909
COYOACAN,Male,g) 30 a 34  ,22251
TLALPAN,Female,b) 5 a 9  ,22314
TLALPAN,Male,b) 5 a 9  ,22938
ALVARO OBREGON,Female,b) 5 a 9  ,23087
BENITO JUAREZ,Female,g) 30 a 34  ,23278
COYOACAN,Female,e) 20 a 24  ,23369
COYOACAN,Female,g) 30 a 34  ,23393
COYOACAN,Female,h) 35 a 39  ,23561
COYOACAN,Female,k) 50 a 54  ,23601
ALVARO OBREGON,Male,b) 5 a 9  ,23613
COYOACAN,Male,e) 20 a 24  ,23667
CUAUHTEMOC,Male,h) 35 a 39  ,23744
TLALPAN,Male,j) 45 a 49  ,23780
COYOACAN,Male,f) 25 a 29  ,23879
ALVARO OBREGON,Female,l) 55 a 59  ,23888
COYOACAN,Female,i) 40 a 44  ,23931
COYOACAN,Female,f) 25 a 29  ,23960
TLALPAN,Male,i) 40 a 44  ,24075
TLALPAN,Female,c) 10 a 14  ,24092
ALVARO OBREGON,Male,k) 50 a 54  ,24129
CUAUHTEMOC,Female,h) 35 a 39  ,24149
COYOACAN,Female,j) 45 a 49  ,24865
TLALPAN,Male,c) 10 a 14  ,24951
CUAUHTEMOC,Male,f) 25 a 29  ,25021
TLALPAN,Male,h) 35 a 39  ,25098
ALVARO OBREGON,Female,c) 10 a 14  ,25137
CUAUHTEMOC,Female,f) 25 a 29  ,25150
TLALPAN,Female,k) 50 a 54  ,25187
ALVARO OBREGON,Male,c) 10 a 14  ,25731
TLALPAN,Female,d) 15 a 19  ,25919
ALVARO OBREGON,Male,i) 40 a 44  ,25942
GUSTAVO A. MADERO,Female,n) 65 a 69  ,26030
ALVARO OBREGON,Male,j) 45 a 49  ,26046
IZTAPALAPA,Female,o) 70 a 74  ,26051
