Description,Item,Unit,Cost
MECHA EZETA COLA CONICA 23.00 MM,450801211,PZ,2.8
CLAVO PUNTA PARIS 1      x 20 KG,450814626,PZ,2.8
MECHA EZETA CILIND TITANIO 10.75 MM,424585821,PZ,2.84
MECHA EZETA COLA CONICA 18.50 MM,450813581,PZ,2.85
TENDEDERO EXTENS 9 V  45 CM,424588529,PZ,2.86
MECHA EZETA COLA CONICA  6.75 MM,450812146,PZ,2.89
MECHA EZETA DOBLE PUNTA 5.10 MM,424590713,PZ,2.91
SOGA ELASTICA 6 MM,450801209,PZ,2.91
MECHA NEIKE WIDIA LARGA 250  6 MM,450801210,PZ,2.91
ELECTRODO ESAB P/AZUL 3.25 MM,450801938,PZ,2.95
ROLDANA CHAPA GALV 50 MM,450810826,PZ,2.97
TELA MOSQ ALUM UNIV 1.22 x 30.0 MT,450814105,PZ,3.01
CLAVO PUNTA PARIS 1 1/2  x 20 KG,450813306,PZ,3.07
CADENA P/PERRO N.17 LARGO 1.70 MT,424582271,PZ,3.09
VIRUTA ACERO MEDIANA x 330 GR,450813497,PZ,3.11
ABRAZ A/INOXIDABLE 5506 12 - 16 MM,450802711,PZ,3.12
GRAMPA P/CAJONERO 14-20,450801213,PZ,3.17
CABLE CORDON  1.8 MM 1 x 19 BICI,450810706,PZ,3.19
TOR P/MECHA C/FIJAD-PHIL 10 x 1 1/2,450817150,PZ,3.2
CLAVO CAJ PULIDO FRACC  12- 35,413050011,PZ,3.23
MACHETE GHERARDI N.14  355 MM,424596137,PZ,3.3
MECHA EZETA CILIND TITANIO  4.75 MM,424560356,PZ,3.33
MECHA EZETA WIDIA CORTA 25 MM,424590714,PZ,3.39
GRAMPA PRENSA CABLE GALV   3/4,450812359,MT,3.42
GUANTE LATEX P/CORTO  8 1/2,450805555,PZ,3.45
CEPILLO ACERO CIRCULAR  7x1,450802863,PZ,3.58
BROCA MANUAL UR14 1/4,450804355,PZ,3.59
MECHA MAX PLANA P/MAD 1  1/4,500000964,PZ,3.62
MECHA EZETA COLA CONICA 29.75 MM,450812484,PZ,3.69
GANCHO P/CAÃ‘O ESTRUCT 30 x 100,424582668,BA,3.73
SEMILLA REFORZADA N. 7,450814104,PZ,3.74
MECHA MAX PLANA P/MAD    5/8,500000961,PZ,3.76
MECHA MAX PLANA P/MAD 1  1/2,500000962,PZ,3.76
MECHA MAX PLANA P/MAD 1  3/8,500000963,PZ,3.76
TIJERA GHERARDI CORTA PERNOS 30,450801074,PZ,3.8
MAQ ZONTA RTO-TRAZADOR,450814042,PZ,3.84
DISCO AA GOLD    6 PERF 154  G.220,450802475,PZ,3.87
POLIET SIXCOM 2 x 100 x 100 NEGRO,450810878,PZ,3.91
CLAVO CAJ PULIDO FRACC  12- 28,413050019,PZ,3.94
TOR P/MECHA C/FIJAD-PHIL  8 x 1 1/4,450812887,RL,3.97
COLLAR SUELA N.21 LISO - 46 CM,424582126,PZ,4.03
ALAMB REC NEGRO N.18 1.22 MM,424582170,PZ,4.05
TENDEDERO T/CALESITA C/BASE CEMENTO,450800824,PZ,4.06
GANCHO CONTRA VIENTO 27 - 210 x 10,450817147,PZ,4.06
MECHA EZETA COLA CONICA 33.50 MM,450801827,PZ,4.07
MECHA EZETA WIDIA BOSCH 18 x 460 MM,450812625,PZ,4.08
CLAVO CAJ PULIDO 13- 40 x 30 KG,450811648,PQ,4.12
CLAVO ESCUADRA PUL 16 -  35,450905817,PZ,4.13
TENDEDERO PIE PLEG 8 V ALAMB SIMPLE,450800823,PZ,4.14
MECHA EZETA COLA CONICA  7.00 MM,450812629,PZ,4.16
CABLE CORDON  2.5 MM 1 x 19,450811256,HJ,4.17
TOR P/MECHA C/FIJAD-PHIL 10 x 1,450803779,PZ,4.19
MECHA EZETA COLA CONICA 10.75 MM,450812648,PZ,4.21
GRILLETE FORJ GALV   3/4  x   7/8,450813516,PZ,4.23
CABLE ACERO  4.0 MM 6 x  7+1,424560466,PZ,4.26
CORTAFRIO GHERARDI HEXAG 18-21 300,450805556,PZ,4.28
MARTILLO 2227 CHAPISTA DIAM 27,450802775,PZ,4.31
PITON S/TOPE CERRADO P/TACO  4 x100,450800766,PZ,4.33
CINTA TEFLON    1/2 x 20 MT,450812342,PZ,4.34
CLAVO ESCUADRA PUL 21 -  60,450813110,PZ,4.37
MACHO URANGA A/RAPIDO NF     5 x 44,450813688,PZ,4.4
MECHA EZETA COLA CONICA 19.50 MM,450804513,PZ,4.42
LLANA VOSS 2000 PLASTICA  9 x  9,450805672,PZ,4.45
MECHA EZETA COLA CONICA 11.25 MM,450813103,PZ,4.47
MECHA EZETA COLA CONICA 13.75 MM,450811930,PZ,4.48
MECHA EZETA WIDIA BOSCH 20 x 460 MM,450804907,PZ,4.49
MACHO URANGA A/ALEADO NF  9/16 x 18,424584835,PQ,4.52
ALAMB REC NEGRO N.21 0.81 MM,424562121,PZ,4.53
GUARDACABO GALV   7/16,450802206,PZ,4.54
MECHA EZETA WIDIA BOSCH 10 x 350 MM,424560204,PZ,4.57
CEPILLO ALAMBRE ACERO  C/MANGO 3x19,450814785,PZ,4.61
CUCHARA GHERARDI FORJ N. 8 ROMA,450905572,PZ,4.87
MECHA EZETA COLA CONICA 37.25 MM,450803783,PZ,4.93
MECHA EZETA COLA CONICA 10.00 MM,450804535,PZ,4.93
TABLA PLANCHAR STANDARD C/MANGUERO,424564160,PZ,4.97
MECHA EZETA COLA CONICA 20.00 MM,450805097,PZ,5.13
GANCHO P/CAÃ‘O ESTRUCT 40 x 150,424582140,PQ,5.14
ALAMB REC NEGRO N.11 2.94 MM,424591593,PZ,5.19
CADENA NUDO N.13,450814043,PZ,5.2
HILO DE POLIP P/ARROLLADORA,424582146,PQ,5.29
MECHA EZETA COLA CONICA  8.75 MM,450813104,PZ,5.29
LIJA AA FENOB G. 80   150 x 45000,450810708,PZ,5.3
MECHA MAX PLANA P/MAD    5/16,500001062,PZ,5.32
MECHA MAX PLANA P/MAD   11/16,424501095,PZ,5.35
CADENA P/PERRO N.12 LARGO 1.70 MT,424560465,PZ,5.35
TENDEDERO ABANICO VERTICAL,450811257,HJ,5.37
ALAMB REC NEGRO N.13 2.33 MM,424591980,PZ,5.39
PITON C/TOPE ESCUAD  BCE 18-45 x100,424593750,PZ,5.43
MECHA EZETA COLA CONICA 17.75 MM,450810480,PZ,5.43
MECHA EZETA COLA CONICA 28.50 MM,450802603,PZ,5.46
CINTA EVEL 5004 LLAVERO 1 MT,424570826,PZ,5.57
MECHA EZETA WIDIA BOSCH 22 x 460 MM,450812634,PZ,5.57
PITON S/TOPE CERRADO P/TACO  6 x 50,450814770,PZ,5.62
TELA M/SOMBRA 100 MT NEGR-VERDE 80%,424501094,PZ,5.64
ALAMB REC NEGRO N. 9 3.66 MM,424591982,PZ,5.64
ALAMB REC NEGRO N.10 3.25 MM,424591983,PZ,5.64
CEPILLO ACERO CIRCULAR  6x1,450804718,PZ,5.65
CUCHARA GHERARDI FORJ N. 7 ROMA,450811340,PZ,5.65
MECHA EZETA COLA CONICA  8.50 MM,450812618,PZ,5.68
PITON C/TOPE CERRADO BCE 21-60 x 50,450600057,PZ,5.69
MECHA EZETA WIDIA CORTA  4 MM,424566103,PZ,5.71
MECHA EZETA CILIND TITANIO  8.50 MM,424580976,PZ,5.71
CLAVO P/PARIS FRACC  1 1/2,450814364,PZ,5.81
ALAMB REC NEGRO N.14 2.03 MM,424591594,PZ,5.82
MECHA EZETA COLA CONICA 15.00 MM,450804722,PZ,5.83
CLAVO C/CHATA  9-30,413052648,PZ,5.97
LEBRILLO CHAPA GALV REF N.18  25 LT,424583889,PZ,5.98
CLAVO CAJ PULIDO 12- 35 x 30 KG,424572660,PZ,6.05
GUARDACABO GALV   5/8,450802726,PZ,6.15
MAQ HORMIGONERA RTO-PIÃ‘ON,450814365,PZ,6.17
MECHA MAX PLANA P/MAD    9/16,500001051,PZ,6.17
MECHA MAX PLANA P/MAD 1  1/8,500001052,PZ,6.17
MECHA NEIKE WIDIA CORTA  6 MM,500001053,PZ,6.17
ALAMB REC NEGRO N.15 1.83 MM,424591984,PZ,6.2
MACHO URANGA A/RAPIDO M 22 x 2.00,450803609,PZ,6.24
CORREA SECCION A N.54,424560054,PZ,6.29
MECHA EZETA WIDIA LARGA 200 14 MM,424591065,PZ,6.33
DESTAPAPILETA EL ABUELO CINTA 10 MT,424582149,PQ,6.34
CLAVO CAJ PULIDO FRACC  12- 38,424570602,PZ,6.35
LIJA AA COLORADO RUBI G.220 E/F,450801339,PZ,6.39
LIJA AA FENOB G. 50   120 x 45000,450814363,PZ,6.4
MECHA EZETA COLA CONICA  9.25 MM,450818534,PZ,6.4
MECHA EZETA WIDIA BOSCH 20 x 300 MM,450812624,PZ,6.43
ADAP POZIDRIVE P/AUTOPERF 2 x 25 MM,450802195,PZ,6.44
MECHA EZETA CILIND TITANIO 13.00 MM,424585820,PZ,6.48
MACHO URANGA A/ALEADO NF   10  x 32,500000915,PZ,6.5
MACHO URANGA A/ALEADO NF  5/16 x 24,500000916,PZ,6.5
MACHO URANGA A/ALEADO NF  1/4  x 28,500000917,PZ,6.5
MACHO URANGA A/ALEADO NF   12  x 28,500000918,PZ,6.5
CINTA PASACABLES FLEJE 20 MT,450814404,PZ,6.52
CANILLA RTO-PICO BCE CROMADO   1/2,424583634,PZ,6.54
MACHO TAP A/LAMINADO NF  1/4  x 28,450817151,PZ,6.54
CORREA SECCION A N.50,424589638,PZ,6.59
MECHA EZETA COLA CONICA 10.50 MM,450811768,PZ,6.66
MENSULA DOBLE ECO NEGRA  170 MM,424560093,PZ,6.72
GANCHO CONTRA VIENTO 25 - 200 x 15,450803780,PZ,6.72
MACHO URANGA A/ALEADO M 10 x 1.25,500000642,UD,6.77
MACHO URANGA A/ALEADO M 12 x 1.00,500000643,UD,6.77
CINTA EVEL 5005 LLAVERO 1 MT -FRENO,424590149,PZ,6.79
NIVEL EVEL ALUMINIO 100 CM,450801389,PZ,6.83
MAQ ZONTA RTO-ALMOHADILLAS 33/42,450803590,PZ,6.86
GRIFERIA VENUS DUCHA C/TRANS BLANCO,424562167,PZ,6.93
CLAVO CAJ PULIDO FRACC  12- 25,413050707,PZ,6.99
MECHA EZETA COLA CONICA  6.00 MM,450813105,PZ,7.02
HERRADURA ACANALADA PESADA C/CLIP 0,450801071,PZ,7.04
RIEGO PISTOLA ACOPLE ESPIGA,450811844,PZ,7.04
HERRADURA ACANALADA PESADA 2,450817075,PZ,7.07
BANDA AA TELA  75x610 O/A MAD G. 40,424591985,PZ,7.11
MECHA EZETA COLA CONICA 31.50 MM,450801056,PZ,7.11
MECHA EZETA COLA CONICA 29.25 MM,450801057,PZ,7.11
MENSULA DOBLE ALUM   170 MM,424561178,PZ,7.27
SELLADOR APLICADOR A CREMALLERA IMP,450810676,PZ,7.39
MAQ ZONTA RTO-TORNILLO DE REGISTRO,450811816,PZ,7.73
GANCHO CONTRA VIENTO 18 -  30 x 50,450802606,PZ,7.77
BOMBA DE ALUMINIO P/TRASVASE,450811068,PZ,7.8
CLAVO C/CHATA  8-20,450813402,PZ,7.94
ADAP HEXAG P/AUTOPERF  1/4 x 65 MM,450812658,PZ,8.07
MECHA EZETA DOBLE PUNTA 3.75 MM,424560208,PZ,8.1
CALENTADOR P/GAS MINI ENLOZADO,450818515,PZ,8.11
CARRETILLA CUART MAGER C/PLATO PLAST,450811902,PZ,8.22
CABO P/LIMA PLANA     200 A 250 MM,424580160,EN,8.27
CUCHARA ROBLE P/ALBAÃ‘IL N.10,424580159,PZ,8.32
MAQ ZONTA RTO-RUEDA INCIDORA,450814041,PZ,8.32
ABRAZ AMERICANA 3004    40 -  55 MM,450806012,PZ,8.42
MECHA EZETA WIDIA BOSCH  8 x 110 MM,424560055,PZ,8.45
ARCO SIERRA CARNICERO RTO-HOJA 620,424560248,PZ,8.45
BIS FICHA P/SOLD REF  90-22   x 1.5,450802712,PZ,8.46
ADAP PHILLIPS P/AUTOPERF  2 x 25 MM,424575370,PZ,8.47
ANAFE 2 HORN ENLOZ C/ROB GAS ENV,424504957,PZ,8.52
RUEDA GOMA     MACIZA P/CARRETILLA,450817146,PZ,8.61
MECHA EZETA COLA CONICA 41.50 MM,450810499,PZ,8.66
MECHA EZETA COLA CONICA 37.00 MM,424581729,PZ,8.72
MECHA EZETA COLA CONICA  5.50 MM,450813106,PZ,8.75
CAÃ‘O CRISTAL 10 - 13  x  50 MT,424560799,PZ,8.79
CABLE ACERO  9.5 MM 6 x  7+1,450804900,PZ,8.81
CABLE ACERO  3.0 MM 6 x  7+1,424570551,PZ,8.84
RIEGO KIT MANGUERA 1/2 x 20 MTS,424570585,PZ,8.84
MECHA EZETA WIDIA LARGA 400 25 MM,424582538,JG,8.84
SOGA ELASTICA 8 MM,450600023,PZ,8.84
MECHA EZETA COLA CONICA 28.25 MM,450802616,PZ,8.85
CORTAFRIO GHERARDI CHATO 12-25 350,450814749,PZ,8.85
CLAVO ESCUADRA PUL 23 -  70,450900454,PZ,8.89
CORREA SECCION A N.30,450813806,PZ,8.92
PITON HO PUL ESCUAD  24 -  90 x  50,424598071,PZ,8.93
CADENA P/PERRO N.13 LARGO 2.20 MT,424560155,PZ,8.94
COLLAR SUELA N.19 LISO - 41 CM,424560157,PZ,8.94
MECHA EZETA COLA CONICA 22.25 MM,450800366,MT,8.95
CINTA TEFLON    3/4 x 10 MT,450812343,PZ,8.96
MACHO URANGA A/RAPIDO NF     3 x 56,424570579,PZ,9.04
MECHA EZETA COLA CONICA 12.75 MM,450811928,PZ,9.17
MECHA EZETA WIDIA BOSCH 12 x 210 MM,424561523,PZ,9.22
CLAVO C/PERDIDA  6-16,450812732,PZ,9.24
MECHA EZETA COLA CONICA 11.50 MM,450801392,PZ,9.27
CLAVO CAJ PULIDO 12- 38 x 30 KG,450818407,PZ,9.34
MECHA EZETA WIDIA LARGA 400 13 MM,424582142,PZ,9.36
RIEGO LANZA   ACOPLE RAPIDO,450814783,PZ,9.36
CABLE ACERO  5.0 MM 6 x 19+1,424502303,PZ,9.5
PITON S/TOPE ESCUAD  P/TACO  4 x100,450802702,PZ,9.54
MACHO URANGA A/ALEADO NPT 1/8 x 27,450811013,PZ,9.54
MECHA EZETA WIDIA BOSCH 14 x 460 MM,450813716,PZ,9.61
CLAVO CAJ PULIDO FRACC  14- 40,424572020,PZ,9.63
MECHA EZETA COLA CONICA  9.75 MM,450814642,PZ,9.65
SOGA TRENZ P/MOTOR EXPL 5.00 MM,424573016,PZ,9.67
MACHO URANGA A/RAPIDO NF     4 x 48,424570578,PZ,9.71
MECHA FIBRA DE VIDRIO 15.2 MM,450813304,PZ,9.81
CLAVO ESPIRALADO 3      x 20 KG,424566149,PZ,9.9
TELA M/SOMBRA  50 MT NEGRO      80%,450302417,PZ,9.93
ARAND NEOPREN GRANDE 26 MM,450812949,PZ,9.98
CHAIRA BIASSONI RAYADA 12 - 305 MM,450814099,PZ,10
CLAVO ALBAÃ‘IL P/MARCO T/ESCUADRA,450803471,PZ,10.04
MECHA EZETA COLA CONICA 36.25 MM,450814068,PZ,10.05
CADENA P/PERRO N.12 LARGO 2.20 MT,450300292,PZ,10.21
MECHA EZETA COLA CONICA 21.25 MM,450811115,PZ,10.22
PITON S/TOPE ABIERTO P/TACO  5 x 50,424560619,PZ,10.25
MECHA EZETA WIDIA BOSCH 24 x 250 MM,450813107,PZ,10.25
MECHA EZETA COLA CONICA 37.50 MM,450813224,PZ,10.34
CADENA ENGANCHE N.13 ESCALERA,424582155,PQ,10.38
MECHA EZETA COLA CONICA 34.50 MM,450800649,PZ,10.4
GRIFERIA VENUS COCINA MESADA CROMO,450801809,PZ,10.43
GRIFERIA VENUS LAVAT C/MEZC CROMO,451000088,PZ,10.52
MACHO URANGA A/ALEADO NC  5/8  x 11,450803301,PZ,10.77
MACHO URANGA A/ALEADO M 24 x 1.50,450802611,PZ,10.87
BANDA AA TELA  75x610 O/A MAD G. 60,450814771,PZ,11.52
ALAMB REC NEGRO N. 8 4.06 MM,424561502,PZ,11.54
CABLE ACERO  6.0 MM 6 x 19+1,450814336,PZ,11.69
POLIET SIXCOM 4 x 200 x  50 NEGRO,450810675,PZ,11.76
CLAVO CAJ PULIDO 12- 40 x 30 KG,450817152,PZ,11.78
CUCHARA GHERARDI FORJ N. 7,450813273,PZ,11.79
MENSULA DOBLE NEGRA  470 MM,424580251,PZ,11.83
MECHA EZETA WIDIA BOSCH 22 x 350 MM,450813141,PZ,11.95
CLAVO ESCUADRA PUL 25 -  90,413050160,PZ,12
GANCHO CONTRA VIENTO 19 -  60 x 50,450905818,PZ,12
CLAVO ESPIRALADO 2      x 20 KG,450816473,PZ,12.07
TOR P/MECHA C/HEXAG  C/A 14 x 1 1/2,424564462,PZ,12.17
MECHA EZETA COLA CONICA 27.50 MM,450801554,PZ,12.22
BANDA AA TELA  75x610 O/A MAD G. 80,450801073,PZ,12.25
ARCO SIERRA CARNICERO C/HOJA 800 MM,424582640,PQ,12.35
GUANTE LATEX P/LARGO GRANDE,424594391,PZ,12.36
RIEL DOBLE BLANCO 3.00 MT,450811240,PZ,12.4
CORTAFRIO GHERARDI HEXAG 18-21 400,450803059,PZ,12.42
MAQ ZONTA RTO-ESCUADRA DESPLAZABLE,450814763,PZ,12.48
MECHA EZETA COLA CONICA 32.25 MM,450800661,PZ,12.49
LIJA AA COLORADO RUBI G. 60 GRU,450801734,PZ,12.5
PALA GHERARDI FORJ RECTA CESPED C/C,450814106,PZ,12.54
MECHA EZETA WIDIA CORTA 20 MM,424560209,PZ,12.61
GANCHO P/CAÃ‘O ESTRUCT 40 x 120,424582599,BK,12.62
MECHA EZETA COLA CONICA 30.00 MM,450810554,PZ,12.81
PITON HO PUL ESCUAD  22 -  70 x 100,424560961,PZ,12.83
CORREA SECCION A N.52,424582639,PQ,12.84
MECHA NEIKE WIDIA LARGA 250 14 MM,450813657,PZ,13
CINTA EVEL 103 BOX          3 MT,424560077,PZ,13.06
GANCHO P/CAÃ‘O ESTRUCT 50 x 120,424560034,PZ,13.1
ADAP POZIDRIVE P/AUTOPERF 1 x 50 MM,450817317,PZ,13.22
MECHA EZETA COLA CONICA  5.75 MM,450813641,PZ,13.28
MECHA EZETA DE CENTRAR 2.50 MM,424582147,PQ,13.34
MECHA EZETA COLA CONICA 32.75 MM,424580197,PZ,13.45
DISCO AA NO PAST 6 PERF 154  G.400,424595782,PZ,13.48
DISCO AA NO PAST 6 PERF 154  G.500,424595783,PZ,13.48
DISCO AA GOLD    6 PERF 154  G. 80,424595784,PZ,13.48
DISCO AA NO PAST 6 PERF 154  G.280,424595785,PZ,13.48
DISCO AA NO PAST 6 PERF 154  G.320,424595786,PZ,13.48
DISCO AA GOLD    6 PERF 154  G.120,424595787,PZ,13.48
DISCO AA NO PAST 6 PERF 154  G.360,424595789,PZ,13.48
CORTAFRIO GHERARDI CHATO 12-25 200,450803198,PZ,13.51
HILO ALGODON CRUDO 10 x  40 GR,424580004,PZ,13.52
PALA GHERARDI FORJ 1/2 L ANCHA  C/L,450805736,PZ,13.57
MECHA EZETA COLA CONICA 23.75 MM,450805540,PZ,13.83
MECHA EZETA WIDIA BOSCH 16 x 460 MM,450812613,PZ,13.94
CADENA ENGANCHE N. 7 HO NIQUELADO,424581698,PQ,14.01
DISCO AA GOLD    6 PERF 154  G.600,450801119,PZ,14.47
GRAMPA PRENSA CABLE GALV   3/8,424560611,PZ,14.49
MECHA EZETA CILINDRICA A/R 17.75 MM,424589521,PZ,14.49
MACHO URANGA A/RAPIDO NF  5/16 x 24,424593601,PZ,14.49
CADENA P/PERRO N.17 LARGO 2.20 MT,424560612,PZ,14.56
MENSULA DOBLE ECO NEGRA  270 MM,424565543,PZ,14.56
MENSULA DOBLE ECO NEGRA  370 MM,424565545,PZ,14.56
CAÃ‘O CRISTAL  7 - 10  x  50 MT,424599962,PZ,14.56
ALAMB REC NEGRO N.17 x 1 KG,450812886,RL,14.65
CACEROLA FUND S/ENLOZAR N. 5,424560247,PZ,14.79
CLAVO CAJ PULIDO FRACC  14- 45,424561473,PZ,14.82
PALA GHERARDI ALUMINIO  CARBONERA,450802641,PZ,14.82
CABLE CORDON  6.0 MM 1 x  7,450817076,PZ,14.87
DISCO AA GOLD    6 PERF 154  G.500,450804947,PZ,15.05
MECHA EZETA MULTIMATERIAL 10 MM,424573281,PZ,15.06
TOR P/MECHA C/HEXAG  C/A 12 x 1,424560809,PZ,15.11
COLLAR SUELA N.25 LISO - 49 CM,424560265,PZ,15.22
MALLA ACERO 5x2 MT 150x150x4 MM,450804263,PZ,15.24
TOR P/MECHA C/FIJAD-PHIL  6 x  7/16,450901053,PZ,15.26
CACEROLA FUND S/ENLOZAR N.10,424565547,PZ,15.29
GANCHO P/CAÃ‘O ESTRUCT 25 x  80,424582123,CJ,15.36
BALDE PLAST PICO VERT 10 LT BLANCO,424582124,CJ,15.36
CLAVO C/CHATA 12-40,424574370,PZ,15.48
TENDEDERO PIE PLEG 7 V ALAMB C/ALAS,450800232,PZ,15.66
MACHO URANGA A/RAPIDO NF  1/2  x 20,424593685,PZ,15.67
BANDA AA TELA  75x533 O/A MAD G. 50,450814797,PZ,15.7
DISCO AA GOLD    6 PERF 154  G.180,450814804,PZ,15.7
LIJA AA GOLD 24K  G.120,424561464,PZ,15.91
CLAVO CAJ PULIDO 16- 63 x 30 KG,450814530,PZ,15.97
TENSOR ACERO GALV IMP  7/8,424595493,PZ,16.01
MECHA EZETA COLA CONICA 35.50 MM,450813807,PZ,16.03
MARTILLO 2241 RTO-CABEZA DIAM 40,450812679,PZ,16.23
POLIET SIXCOM 3 x 100 x 100 CRISTAL,450814798,PZ,16.34
CLAVO ESCUADRA PUL 20 -  90,450802210,PZ,16.5
MJA RTO-CLAVIJA HO NIQUELADO x 100,450813401,PZ,16.52
CORTAFRIO GHERARDI CHATO 12-25 300,450802737,PZ,16.58
CLAVO CAJ PULIDO FRACC  12- 30,413050677,PZ,16.64
POLIET SIXCOM 6 x 200 x  50 NEGRO,424561821,PZ,16.76
PITON P/MAD SOLDADO  27 - 160 x 25,413050090,PZ,16.85
TENDEDERO TECHO   GRANDE,424575475,PZ,16.85
MECHA EZETA COLA CONICA 36.75 MM,450803194,PZ,16.85
MECHA EZETA COLA CONICA 32.50 MM,450812188,PZ,16.85
ADAP POZIDRIVE P/AUTOPERF 3 x 25 MM,450814066,PZ,16.94
MECHA EZETA COLA CONICA 10.25 MM,450801121,PZ,16.95
RIEGO ROCIA GIRAT C/BASE ACOPLE ESP,450812687,PZ,16.95
PALA MAGER CORAZON   C/LARGO,424596134,PZ,17.07
DISCO AA NO PAST 6 PERF 154  G.220,424596135,PZ,17.07
MECHA EZETA COLA CONICA 21.75 MM,450814403,PZ,17.18
PUNTA GHERARDI HEXAGONAL 18-21 250,450814409,PZ,17.22
POLIET SIXCOM 6 x 100 x  50 CRISTAL,424561820,PZ,17.34
MECHA NEIKE WIDIA LARGA 250 12 MM,450813485,PZ,17.47
