DATE,CATEGORY,CLIENT,TREATMENT,ESTHETICIAN,PRICE,% DISCOUNT
44567,Facial,B-20,Collagen and Elastin Line,María,145,
44567,Body,C-17,Aromatic mud,María,128,
44567,Facial,B-13,Mature Skin Lift,Rosa,212,
44567,Body,D-13,Avocado Wrap with Yogurt,Ana,201,
44567,Body,A-19,Chocotherapy,Rafaella,184,
44567,Body,B-20,Mud,María,111,
44567,Body,D-19,Avocado Wrap with Yogurt,Rafaella,201,
44567,Body,B-13,Cacahua,María,168,
44567,Body,B-14,Heavenly Body,Ana,192,
44567,Body,B-19,Turquoise Blue Ritual,Ana,194,0.03
44568,Body,A-13,Detoxifying Algae,María,101,0.05
44568,Facial,B-11,Deep cleaning,Rosa,218,0.07
44568,Body,B-15,Hyperthermia,María,202,
44568,Facial,A-10,European,Rosa,199,
44568,Body,D-18,Avocado Wrap with Yogurt,Camila,201,
44569,Facial,D-19,Ice therapy,Rosa,195,
44569,Body,A-20,Hyperthermia,Ana,202,
44569,Body,A-19,Energizing Scrub,Camila,202,
44569,Body,C-19,Detoxifying Algae,Rosa,101,
44569,Facial,A-12,Anti age,Camila,228,0.04
44569,Facial,C-17,Microdermabrasion,María,237,0.06
44569,Facial,A-17,Yax,Camila,157,0.08
44569,Body,B-17,Cacahua,Camila,168,0.06
44569,Facial,C-11,Anti age,Rosa,228,0.09
44569,Body,C-19,Relaxing,Rafaella,170,0.04
44569,Facial,B-19,Ice therapy,María,195,0.03
44569,Body,A-11,Hyperthermia,Ana,202,0.06
44569,Body,B-11,Chocotherapy,Ana,184,
44569,Body,B-10,Modeling,Rafaella,199,
44569,Facial,C-17,Anti age,Rafaella,228,
44569,Facial,C-12,Anti age,Rosa,228,0.04
44569,Body,D-17,Avocado Wrap with Yogurt,Camila,201,0.01
44570,Body,A-10,Detoxifying Wrap,Rosa,198,0.07
44570,Body,D-15,Relaxing,Ana,170,0.05
44570,Facial,B-18,Anti age,María,228,0.08
44570,Facial,D-16,Anti age,Rafaella,228,0.1
44570,Facial,A-11,Ice therapy,Rafaella,195,0.07
44570,Facial,B-20,Basic,Camila,137,0.03
44570,Body,C-11,Modeling,Rosa,199,0.09
44570,Facial,A-16,Daymond Frozend,María,146,0.09
44571,Facial,B-13,Anti age,Ana,228,0.1
44571,Body,D-15,Chocotherapy,Ana,184,0.03
44571,Body,D-14,Energizing Scrub,Rosa,202,0.05
44571,Facial,B-18,Microdermabrasion,Camila,237,0.02
44571,Facial,B-12,Mature Skin Lift,Ana,212,0.01
44571,Body,A-16,Ice therapy,María,195,0.02
44571,Body,A-18,Detoxifying Wrap,Ana,198,0.05
44571,Body,D-13,Heavenly Body,María,192,0.02
44571,Body,A-20,Essential Ritual of the Sea,Ana,214,0.02
44571,Body,A-19,Reductive,Rosa,138,0.02
44572,Facial,C-17,Deep cleaning,Rafaella,218,0.02
44572,Body,C-18,Reductive integral,Rosa,191,0.01
44572,Facial,A-20,Deep cleaning,Ana,218,0.09
44572,Facial,A-14,Daymond Frozend,Rafaella,146,0.05
44572,Facial,A-13,Renewel,Camila,173,0.02
44572,Body,B-18,Cacahua,Ana,168,0.09
44572,Facial,A-18,Renewel,Camila,173,0.05
44572,Body,D-10,Hyperthermia,Ana,202,0.06
44572,Body,D-14,Reductive integral,Camila,191,0.09
44572,Body,B-16,Reductive integral,Rafaella,191,0.08
44572,Facial,C-19,Anti age,María,228,0.09
44572,Facial,C-14,Daymond Frozend,María,146,0.1
44572,Body,B-19,Heavenly Body,Rafaella,192,0.03
44572,Body,B-18,Essential Ritual of the Sea,Rafaella,214,0.1
44573,Body,D-18,Detoxifying Wrap,Rosa,198,0.09
44573,Body,B-11,Hyperthermia,Camila,202,0.01
44573,Body,C-10,Mud,Camila,111,0.03
44573,Facial,A-12,Exfoliation,María,181,0.01
44573,Facial,A-13,Balancing,Rosa,112,0.03
44573,Body,A-19,Cacahua,Ana,168,0.09
44574,Body,D-11,Hyperthermia,Rosa,202,0.06
44574,Facial,A-20,Deep cleaning,Rosa,218,0.06
44574,Facial,A-17,Exfoliation,Rosa,181,0.01
44574,Facial,C-16,Moisturizing,Rosa,193,0.08
44574,Body,B-17,Hyperthermia,Rafaella,202,0.1
44574,Body,D-20,Energizing Scrub,Camila,202,0.02
44574,Body,A-12,Mud,Rafaella,111,0.04
44574,Body,D-16,Detoxifying Wrap,Rosa,198,0.03
44574,Body,C-18,Detoxifying Wrap,Camila,198,0.1
44574,Facial,D-20,Renewel,María,173,0.08
44575,Facial,C-16,Moisturizing,Rosa,193,0.02
44575,Facial,C-14,Vaporization,Rosa,151,0.1
44575,Body,A-11,Reductive,María,138,0.04
44575,Body,A-18,Detoxifying Algae,María,101,0.08
44575,Body,C-20,Hyperthermia,Rafaella,202,0.08
44575,Facial,B-17,Deep cleaning,María,218,0.08
44575,Facial,B-20,Deep cleaning,Rafaella,218,0.07
44575,Facial,B-13,Moisturizing,Ana,193,0.05
44575,Facial,D-12,Ice therapy,Ana,195,0.04
44575,Facial,D-15,Basic,Camila,137,0.05
44575,Facial,D-19,Yax,Camila,157,0.02
44575,Facial,D-20,Yax,María,157,0.01
44575,Body,B-14,Heavenly Body,Camila,192,0.04
44576,Body,C-13,Detoxifying Wrap,María,198,0.01
44576,Facial,B-18,Accua Morin,Rosa,149,0.1
44576,Body,D-14,Relaxing,Rafaella,170,0.09
44576,Facial,C-19,Exfoliation,Rosa,181,0.06
44576,Facial,A-18,Basic,María,137,0.02
44576,Body,B-16,Chocotherapy,Camila,184,0.01
44576,Body,B-18,Bridal Veil,María,217,0.02
44576,Facial,A-16,European,Rafaella,199,0.04
44576,Facial,C-19,Yax,Rafaella,157,0.02
44576,Body,A-11,Aromatic mud,Rosa,128,0.05
44576,Body,B-17,Detoxifying Algae,Camila,101,0.01
44576,Body,B-15,Detoxifying Algae,Camila,101,0.1
44576,Body,D-14,Turquoise Blue Ritual,Ana,194,0.01
44577,Facial,C-17,Ice therapy,Rosa,195,0.08
44577,Facial,D-10,European,Ana,199,0.04
44577,Body,B-10,Modeling,Ana,199,0.07
44577,Body,D-20,Detoxifying Wrap,Ana,198,0.1
44577,Facial,B-11,Collagen and Elastin Line,Ana,145,0.08
44577,Body,A-15,Bridal Veil,Ana,217,0.03
44577,Body,C-16,Relaxing,Ana,170,0.07
44577,Facial,B-13,Cleaning Treatment,Ana,220,0.02
44577,Facial,B-18,Cleaning Treatment,Ana,220,0.09
44578,Body,A-15,Avocado Wrap with Yogurt,Rosa,201,0.05
44578,Facial,C-16,Deep cleaning,Rafaella,218,0.08
44578,Body,C-17,Cacahua,María,168,0.01
44578,Facial,A-13,Ice therapy,María,195,0.08
44578,Facial,D-18,Yax,María,157,0.02
44578,Facial,A-15,Anti age,Ana,228,0.09
44578,Facial,D-13,Moisturizing,Rafaella,193,0.04
44578,Body,A-15,Aromatic mud,Rafaella,128,0.04
44578,Body,D-13,Heavenly Body,Rosa,192,0.05
44578,Facial,C-11,Ice therapy,Ana,195,0.02
44578,Body,C-20,Reductive integral,Camila,191,0.02
44578,Body,C-11,Reductive integral,Rosa,191,0.06
44578,Body,C-11,Modeling,Camila,199,0.1
44578,Body,B-16,Heavenly Body,Rosa,192,0.06
44579,Body,C-18,Avocado Wrap with Yogurt,Camila,201,0.01
44579,Facial,B-10,Deep cleaning,Rosa,218,0.08
44579,Body,B-11,Reductive,Camila,138,0.04
44579,Facial,B-15,Ice therapy,Camila,195,0.04
44579,Facial,D-15,Exfoliation,Rafaella,181,0.01
44579,Facial,D-12,Microdermabrasion,Rosa,237,0.02
44579,Facial,B-19,Cleaning Treatment,Rosa,220,0.03
44579,Facial,A-19,Ice therapy,Rosa,195,0.03
44579,Facial,C-20,Microdermabrasion,Rafaella,237,0.09
44579,Facial,B-18,Deep cleaning,María,218,0.1
44579,Facial,A-15,Balancing,Rafaella,112,0.04
44579,Body,C-15,Detoxifying Wrap,Rafaella,198,0.03
44579,Body,D-12,Modeling,Ana,199,0.08
44579,Body,C-19,Reductive,Camila,138,0.1
44580,Body,B-16,Heavenly Body,Rafaella,192,0.1
44580,Body,B-11,Reductive integral,Ana,191,0.03
44580,Facial,D-14,Moisturizing,Rosa,193,0.05
44580,Facial,B-18,Balancing,Rosa,112,0.05
44580,Facial,A-10,European,Camila,199,0.04
44580,Body,D-20,Relaxing,Rosa,170,0.04
44580,Body,A-12,Chocotherapy,Ana,184,0.03
44580,Body,A-12,Modeling,Ana,199,0.1
44580,Body,D-11,Modeling,Ana,199,0.04
44580,Body,B-11,Detoxifying Algae,María,101,0.03
44581,Body,B-15,Bridal Veil,María,217,0.05
44581,Facial,B-10,Balancing,Camila,112,0.08
44581,Body,D-12,Essential Ritual of the Sea,María,214,0.04
44581,Body,A-11,Ice therapy,Rafaella,195,0.09
44581,Facial,C-11,Moisturizing,Ana,193,0.07
44581,Body,B-11,Heavenly Body,María,192,0.08
44581,Facial,A-10,Anti age,Ana,228,0.1
44581,Body,A-18,Chocotherapy,Ana,184,0.06
44581,Body,C-20,Avocado Wrap with Yogurt,María,201,0.08
44581,Facial,D-12,Basic,María,137,0.03
44581,Body,D-13,Chocotherapy,Camila,184,0.09
44582,Body,C-19,Bridal Veil,Ana,217,0.02
44582,Facial,B-11,Anti age,Camila,228,0.06
44582,Facial,B-13,Moisturizing,Rosa,193,0.01
44582,Facial,D-14,Anti age,Rosa,228,0.02
44582,Facial,B-10,Exfoliation,Camila,181,0.06
44582,Facial,A-15,Exfoliation,Rosa,181,0.1
44582,Facial,A-17,Basic,Rosa,137,0.07
44582,Facial,C-17,Yax,María,157,0.07
44582,Facial,D-11,Cleaning Treatment,Rosa,220,0.08
44582,Facial,A-15,Daymond Frozend,María,146,0.09
44583,Body,A-10,Heavenly Body,Rafaella,192,0.05
44583,Body,D-10,Chocotherapy,Camila,184,0.07
44583,Body,D-19,Mud,Rosa,111,0.08
44583,Body,B-17,Relaxing,Rosa,170,0.04
44583,Facial,A-11,Basic,Rosa,137,0.06
44583,Body,A-15,Ice therapy,Rosa,195,0.03
44583,Facial,A-12,Daymond Frozend,Rosa,146,0.01
44583,Body,C-10,Reductive,María,138,0.01
44584,Body,D-15,Essential Ritual of the Sea,Rosa,214,0.1
44584,Body,D-17,Ice therapy,Camila,195,0.04
44584,Facial,D-11,Yax,Camila,157,0.03
44584,Body,C-17,Avocado Wrap with Yogurt,Camila,201,0.08
44584,Body,D-11,Essential Ritual of the Sea,María,214,0.02
44584,Body,C-15,Ice therapy,Rosa,195,0.01
44584,Facial,C-20,Deep cleaning,Rafaella,218,0.09
44584,Facial,D-10,Basic,Rosa,137,0.04
44584,Body,C-15,Bridal Veil,Rosa,217,0.02
44584,Facial,C-20,European,Camila,199,0.06
44584,Body,B-14,Cacahua,Rosa,168,0.07
44584,Body,D-15,Tequila,Rafaella,146,0.05
44584,Body,D-16,Tequila,Camila,146,0.1
44585,Body,D-15,Chocotherapy,Camila,184,0.08
44585,Facial,A-19,Cleaning Treatment,Ana,220,0.08
44585,Facial,B-14,Deep cleaning,Ana,218,0.06
44585,Facial,D-16,Anti age,María,228,0.1
44585,Body,A-17,Chocotherapy,Rafaella,184,0.03
44585,Facial,C-14,Collagen and Elastin Line,Rafaella,145,0.08
44585,Facial,B-19,Vaporization,Rafaella,151,0.05
44585,Body,A-12,Detoxifying Algae,Camila,101,0.02
44585,Facial,C-12,Accua Morin,Rafaella,149,0.1
44585,Body,A-17,Cacahua,Ana,168,0.08
44585,Facial,A-17,Ice therapy,Camila,195,0.07
44585,Body,D-20,Bridal Veil,Rafaella,217,0.07
44585,Facial,B-18,European,Ana,199,0.04
44586,Facial,D-10,European,Rafaella,199,0.07
44586,Body,C-17,Reductive,María,138,0.02
44586,Facial,D-16,Moisturizing,Camila,193,0.05
44586,Facial,D-20,European,Ana,199,0.1
44586,Body,C-16,Bridal Veil,Rafaella,217,0.1
44586,Facial,D-16,Renewel,Rosa,173,0.04
44586,Facial,D-16,Vaporization,María,151,0.1
44586,Facial,D-15,Balancing,María,112,0.04
44586,Body,B-16,Heavenly Body,Rosa,192,0.1
44586,Body,B-18,Turquoise Blue Ritual,Camila,194,0.09
44586,Body,C-11,Turquoise Blue Ritual,Ana,194,0.08
44586,Body,C-10,Reductive,Rosa,138,0.08
44587,Body,A-10,Essential Ritual of the Sea,María,214,0.1
44587,Facial,C-19,Daymond Frozend,Ana,146,0.03
44587,Body,A-11,Energizing Scrub,Rosa,202,0.02
44587,Body,D-20,Energizing Scrub,María,202,0.08
44587,Facial,B-10,Deep cleaning,Rosa,218,0.02
44587,Facial,D-11,Renewel,María,173,0.04
44587,Body,B-15,Detoxifying Algae,Ana,101,0.03
44587,Facial,D-13,Basic,Rafaella,137,0.08
44587,Facial,C-19,European,Rafaella,199,0.1
44588,Facial,B-17,Yax,Camila,157,0.06
44588,Body,D-13,Modeling,Camila,199,0.06
44588,Body,D-14,Detoxifying Algae,María,101,0.01
44589,Body,D-11,Energizing Scrub,María,202,0.08
44589,Facial,B-10,Anti age,Rafaella,228,0.04
44589,Facial,C-12,Exfoliation,Camila,181,0.01
44589,Facial,A-18,Basic,Camila,137,0.08
44589,Facial,D-13,Deep cleaning,María,218,0.02
44589,Facial,B-12,Deep cleaning,Rafaella,218,0.08
44589,Body,D-20,Aromatic mud,Rafaella,128,0.06
44589,Body,D-18,Turquoise Blue Ritual,María,194,0.09
44589,Facial,D-12,Mature Skin Lift,Rafaella,212,0.03
44590,Body,C-18,Aromatic mud,Rafaella,128,0.04
44590,Body,B-18,Essential Ritual of the Sea,María,214,0.04
44590,Body,A-20,Heavenly Body,María,192,0.06
44590,Body,C-18,Detoxifying Algae,Rafaella,101,0.09
44590,Facial,C-10,Deep cleaning,Camila,218,0.09
44590,Body,A-20,Reductive,Rafaella,138,0.01
44590,Facial,D-13,Deep cleaning,Ana,218,0.04
44590,Body,A-16,Bridal Veil,Ana,217,0.09
44590,Body,C-10,Hyperthermia,Camila,202,0.06
44590,Facial,C-19,European,Rosa,199,0.04
44590,Body,B-10,Reductive integral,Ana,191,0.01
44590,Body,D-20,Mud,Ana,111,0.02
44590,Facial,B-17,Yax,Ana,157,0.06
44590,Facial,D-20,Cleaning Treatment,Rafaella,220,0.03
44590,Body,A-10,Cacahua,Ana,168,0.05
44590,Body,B-12,Tequila,Rosa,146,0.09
44590,Facial,D-12,Mature Skin Lift,Rafaella,212,0.04
44591,Facial,D-13,Daymond Frozend,María,146,0.09
44591,Facial,C-16,Renewel,Ana,173,0.06
44591,Body,A-15,Detoxifying Wrap,Camila,198,0.01
44591,Body,C-18,Modeling,Rafaella,199,0.08
44591,Facial,C-14,Collagen and Elastin Line,Camila,145,0.03
44591,Body,A-12,Energizing Scrub,Camila,202,0.05
44591,Body,D-12,Reductive integral,Camila,191,0.06
44591,Facial,C-20,Accua Morin,Ana,149,0.07
44591,Facial,A-10,Anti age,Rosa,228,0.09
44591,Body,D-17,Avocado Wrap with Yogurt,Ana,201,0.08
44591,Body,A-16,Cacahua,Rafaella,168,0.09
44592,Facial,A-18,Collagen and Elastin Line,Camila,145,0.02
44592,Body,C-20,Turquoise Blue Ritual,Ana,194,0.02
44592,Facial,A-18,Vaporization,Rosa,151,0.1
44592,Facial,A-19,Accua Morin,María,149,0.01
44592,Facial,D-10,Deep cleaning,Camila,218,0.1
44592,Body,B-20,Ice therapy,Ana,195,0.08
44592,Body,D-20,Chocotherapy,Camila,184,0.08
44592,Body,C-19,Aromatic mud,María,128,0.05
44592,Facial,A-13,Accua Morin,Ana,149,0.1
44592,Body,A-20,Detoxifying Algae,Rosa,101,0.03
44593,Facial,D-18,Exfoliation,Rosa,181,0.04
44593,Body,C-20,Modeling,Rafaella,199,0.05
44593,Body,B-20,Relaxing,María,170,0.07
44593,Facial,C-11,Daymond Frozend,Camila,146,0.03
44593,Body,A-10,Cacahua,María,168,0.01
44593,Facial,A-17,Vaporization,María,151,0.02
44593,Facial,D-10,European,Ana,199,0.08
44593,Facial,B-11,Anti age,María,228,0.07
44593,Facial,A-11,Collagen and Elastin Line,Ana,145,0.06
44593,Facial,B-15,Deep cleaning,Ana,218,0.05
44593,Facial,D-11,Deep cleaning,Rafaella,218,0.07
44593,Body,D-16,Relaxing,Camila,170,0.08
44593,Body,B-16,Relaxing,Rosa,170,0.02
44593,Body,B-18,Chocotherapy,María,184,0.06
44593,Body,D-13,Detoxifying Wrap,Ana,198,0.03
44593,Facial,A-10,Accua Morin,Rosa,149,0.1
44593,Facial,B-14,Renewel,Ana,173,0.04
44593,Body,D-10,Tequila,María,146,0.02
44593,Body,C-19,Turquoise Blue Ritual,Camila,194,0.03
44594,Body,C-15,Turquoise Blue Ritual,María,194,0.05
44594,Body,D-14,Turquoise Blue Ritual,Camila,194,0.05
44594,Body,A-13,Turquoise Blue Ritual,Ana,194,0.05
44594,Body,A-16,Avocado Wrap with Yogurt,Camila,201,0.02
44594,Facial,C-10,Deep cleaning,María,218,0.06
44594,Body,A-20,Reductive,Ana,138,0.05
44594,Body,A-18,Relaxing,Ana,170,0.08
44594,Body,C-15,Chocotherapy,Ana,184,0.02
44594,Facial,A-15,Daymond Frozend,Ana,146,0.08
44594,Body,B-19,Bridal Veil,Ana,217,0.03
44594,Body,A-14,Reductive integral,Ana,191,0.07
44594,Body,B-12,Detoxifying Wrap,Rosa,198,0.02
44594,Body,D-18,Modeling,Rosa,199,0.09
44594,Body,C-19,Aromatic mud,Rafaella,128,0.06
44594,Body,A-20,Heavenly Body,Camila,192,0.05
44594,Body,B-19,Turquoise Blue Ritual,María,194,0.02
44595,Facial,C-14,Mature Skin Lift,María,212,0.04
44595,Body,A-14,Detoxifying Wrap,Rafaella,198,0.02
44595,Body,C-16,Energizing Scrub,María,202,0.07
44595,Facial,A-17,Deep cleaning,Rosa,218,0.06
44595,Facial,D-17,Basic,María,137,0.03
44595,Facial,C-18,Moisturizing,Ana,193,0.07
44595,Facial,B-14,European,Rosa,199,0.05
44595,Facial,A-18,European,Camila,199,0.07
44595,Body,B-18,Mud,Rosa,111,0.05
44595,Body,D-18,Detoxifying Wrap,Camila,198,0.09
44595,Facial,A-14,Daymond Frozend,María,146,0.05
44595,Body,D-19,Reductive,Camila,138,0.08
44596,Body,D-17,Turquoise Blue Ritual,María,194,0.01
44596,Body,A-11,Tequila,Ana,146,0.06
44596,Body,A-14,Detoxifying Algae,Rosa,101,0.03
44596,Facial,D-14,Collagen and Elastin Line,Ana,145,0.03
44596,Body,A-13,Hyperthermia,Rosa,202,0.06
44596,Body,A-20,Energizing Scrub,Camila,202,0.02
44596,Body,B-10,Mud,Rafaella,111,0.09
44597,Body,A-13,Hyperthermia,Rosa,202,0.02
44597,Body,C-20,Essential Ritual of the Sea,Camila,214,0.07
44597,Facial,A-10,Anti age,Rosa,228,0.06
44597,Facial,B-13,Deep cleaning,Rafaella,218,0.05
44597,Body,B-11,Tequila,María,146,0.09
44597,Facial,A-10,Microdermabrasion,Rosa,237,0.02
44598,Body,A-12,Modeling,Rosa,199,0.07
44598,Facial,C-12,Anti age,Rosa,228,0.04
44598,Body,D-14,Energizing Scrub,María,202,0.03
44598,Facial,D-10,Cleaning Treatment,Ana,220,0.01
44598,Body,B-17,Aromatic mud,Rosa,128,0.1
44598,Facial,D-15,Collagen and Elastin Line,Rosa,145,0.1
44598,Facial,D-10,Balancing,Rosa,112,0.04
44598,Body,A-15,Hyperthermia,María,202,0.06
44598,Facial,A-13,European,Camila,199,0.01
44598,Facial,A-17,European,Ana,199,0.07
44598,Body,D-10,Tequila,Camila,146,0.04
44599,Body,B-17,Detoxifying Wrap,María,198,0.07
44599,Facial,D-11,Microdermabrasion,María,237,0.06
44599,Body,C-19,Detoxifying Wrap,Rafaella,198,0.05
44599,Facial,B-15,Deep cleaning,Rafaella,218,0.03
44599,Body,D-18,Energizing Scrub,Rafaella,202,0.04
44599,Body,C-18,Modeling,María,199,0.07
44600,Body,D-10,Ice therapy,Camila,195,0.05
44600,Facial,A-17,Collagen and Elastin Line,Camila,145,0.01
44600,Body,B-15,Detoxifying Algae,Rafaella,101,0.07
44600,Body,D-16,Detoxifying Algae,María,101,0.01
44600,Facial,C-17,Yax,Rafaella,157,0.05
44600,Facial,D-20,Daymond Frozend,Ana,146,0.01
44600,Body,B-20,Hyperthermia,Rosa,202,0.1
44600,Facial,C-13,European,Ana,199,0.1
44600,Facial,C-17,Balancing,Camila,112,0.04
44600,Facial,B-17,Vaporization,María,151,0.04
44601,Facial,C-19,Ice therapy,Rosa,195,0.09
44601,Body,C-19,Modeling,Rosa,199,0.1
44601,Body,A-17,Cacahua,Camila,168,0.02
44601,Facial,C-15,Daymond Frozend,Rafaella,146,0.04
44601,Body,D-14,Heavenly Body,Camila,192,0.03
44601,Body,D-10,Tequila,Rosa,146,0.07
44601,Body,D-12,Reductive,Rosa,138,0.06
44602,Facial,A-16,Collagen and Elastin Line,Rosa,145,0.1
44602,Facial,A-20,Accua Morin,María,149,0.07
44602,Facial,C-10,Renewel,María,173,0.06
44602,Body,C-18,Reductive integral,Rosa,191,0.02
44602,Facial,C-15,Anti age,María,228,0.04
44602,Body,D-11,Reductive integral,María,191,0.02
44602,Facial,C-14,European,Camila,199,0.07
44602,Body,A-12,Chocotherapy,Ana,184,0.07
44602,Facial,B-18,Renewel,Ana,173,0.07
44603,Facial,D-15,Accua Morin,Camila,149,0.02
44603,Body,C-11,Detoxifying Algae,Rosa,101,0.1
44603,Facial,A-12,Deep cleaning,Camila,218,0.09
44603,Facial,B-14,Basic,Camila,137,0.06
44603,Body,A-16,Essential Ritual of the Sea,María,214,0.02
44603,Facial,B-19,Anti age,Rafaella,228,0.06
44603,Facial,A-19,Cleaning Treatment,Ana,220,0.09
44603,Facial,A-16,Anti age,Ana,228,0.01
44603,Facial,A-17,Accua Morin,María,149,0.01
44603,Facial,D-15,Anti age,Camila,228,0.03
44603,Body,B-19,Detoxifying Algae,Camila,101,0.03
44604,Body,C-17,Reductive,Rafaella,138,0.09
44604,Body,A-20,Turquoise Blue Ritual,Ana,194,0.1
44604,Facial,C-18,Renewel,Rosa,173,0.07
44604,Facial,B-11,Moisturizing,Rosa,193,0.06
44604,Body,C-12,Modeling,María,199,0.06
44604,Facial,C-17,Mature Skin Lift,Rosa,212,0.03
44604,Facial,D-19,Basic,María,137,0.07
44604,Facial,D-13,Ice therapy,Camila,195,0.06
44604,Facial,C-20,Balancing,María,112,0.1
44604,Body,B-15,Bridal Veil,Rafaella,217,0.06
44604,Body,A-15,Bridal Veil,Rafaella,217,0.03
44604,Body,A-20,Avocado Wrap with Yogurt,Ana,201,0.08
44605,Body,B-12,Modeling,María,199,0.01
44605,Body,B-10,Turquoise Blue Ritual,Rosa,194,0.07
44605,Body,B-17,Aromatic mud,Camila,128,0.06
44605,Facial,C-20,Ice therapy,Rosa,195,0.05
44605,Facial,B-15,Accua Morin,Rosa,149,0.1
44605,Facial,D-11,Anti age,Rosa,228,0.04
44605,Facial,D-20,Anti age,María,228,0.03
44605,Body,A-18,Detoxifying Algae,Ana,101,0.09
44605,Body,B-15,Reductive,Camila,138,0.05
44606,Facial,C-10,Basic,María,137,0.03
44606,Body,B-17,Detoxifying Algae,Rafaella,101,0.02
44606,Facial,B-16,Deep cleaning,Ana,218,0.02
44606,Facial,C-19,Deep cleaning,María,218,0.01
44606,Facial,C-18,Microdermabrasion,María,237,0.05
44606,Body,B-10,Mud,Rafaella,111,0.09
44606,Facial,B-15,Renewel,Camila,173,0.07
44607,Body,B-20,Aromatic mud,Camila,128,0.01
44607,Body,C-15,Essential Ritual of the Sea,Ana,214,0.1
44607,Facial,B-10,European,Rosa,199,0.04
44607,Facial,B-20,Yax,Rafaella,157,0.08
44607,Facial,C-17,Deep cleaning,Camila,218,0.06
44607,Facial,D-13,Vaporization,Camila,151,0.09
44607,Body,B-12,Hyperthermia,Rafaella,202,0.03
44607,Body,C-14,Energizing Scrub,Camila,202,0.01
44607,Body,D-20,Cacahua,Rosa,168,0.09
44607,Body,C-17,Essential Ritual of the Sea,Rafaella,214,0.06
44607,Facial,B-12,Mature Skin Lift,Rafaella,212,0.03
44608,Facial,B-17,Deep cleaning,Rosa,218,0.09
44608,Body,D-13,Mud,Camila,111,0.09
44608,Facial,C-11,Vaporization,María,151,0.02
44608,Facial,D-13,European,María,199,0.1
44608,Body,D-12,Detoxifying Algae,María,101,0.07
44608,Body,A-11,Detoxifying Wrap,Rafaella,198,0.09
44608,Body,C-16,Chocotherapy,María,184,0.05
44608,Facial,D-14,Cleaning Treatment,Rosa,220,0.03
44608,Body,C-14,Avocado Wrap with Yogurt,María,201,0.09
44609,Facial,D-19,Deep cleaning,Rosa,218,0.09
44609,Body,D-13,Detoxifying Wrap,Rosa,198,0.07
44609,Body,C-20,Heavenly Body,María,192,0.01
44609,Facial,C-10,Microdermabrasion,Camila,237,0.02
44609,Facial,A-18,Deep cleaning,Camila,218,0.06
44609,Body,B-10,Turquoise Blue Ritual,Rafaella,194,0.02
44609,Body,D-18,Tequila,Rosa,146,0.03
44609,Facial,B-15,Deep cleaning,Rosa,218,0.05
44609,Facial,B-18,Basic,Rafaella,137,0.06
44609,Facial,B-18,Anti age,Rafaella,228,0.1
44609,Facial,C-13,Daymond Frozend,Rosa,146,0.03
44609,Facial,D-13,Daymond Frozend,María,146,0.05
44609,Body,D-11,Detoxifying Algae,Ana,101,0.1
44609,Body,C-19,Tequila,María,146,0.01
44609,Body,C-11,Turquoise Blue Ritual,Ana,194,0.06
44609,Facial,D-17,Mature Skin Lift,Ana,212,0.01
44609,Body,A-18,Reductive,María,138,0.05
