Item,Description,Unit,Cost
424583889,LEBRILLO CHAPA GALV REF N.18  25 LT,PZ,5.98
424572660,CLAVO CAJ PULIDO 12- 35 x 30 KG,PZ,6.05
450802726,GUARDACABO GALV   5/8,PZ,6.15
450814365,MAQ HORMIGONERA RTO-PIÃ‘ON,PZ,6.17
500001051,MECHA MAX PLANA P/MAD    9/16,PZ,6.17
500001052,MECHA MAX PLANA P/MAD 1  1/8,PZ,6.17
500001053,MECHA NEIKE WIDIA CORTA  6 MM,PZ,6.17
424591984,ALAMB REC NEGRO N.15 1.83 MM,PZ,6.2
450803609,MACHO URANGA A/RAPIDO M 22 x 2.00,PZ,6.24
424560054,CORREA SECCION A N.54,PZ,6.29
424591065,MECHA EZETA WIDIA LARGA 200 14 MM,PZ,6.33
424582149,DESTAPAPILETA EL ABUELO CINTA 10 MT,PQ,6.34
424570602,CLAVO CAJ PULIDO FRACC  12- 38,PZ,6.35
450801339,LIJA AA COLORADO RUBI G.220 E/F,PZ,6.39
450814363,LIJA AA FENOB G. 50   120 x 45000,PZ,6.4
450818534,MECHA EZETA COLA CONICA  9.25 MM,PZ,6.4
450812624,MECHA EZETA WIDIA BOSCH 20 x 300 MM,PZ,6.43
450802195,ADAP POZIDRIVE P/AUTOPERF 2 x 25 MM,PZ,6.44
424585820,MECHA EZETA CILIND TITANIO 13.00 MM,PZ,6.48
500000915,MACHO URANGA A/ALEADO NF   10  x 32,PZ,6.5
500000916,MACHO URANGA A/ALEADO NF  5/16 x 24,PZ,6.5
500000917,MACHO URANGA A/ALEADO NF  1/4  x 28,PZ,6.5
500000918,MACHO URANGA A/ALEADO NF   12  x 28,PZ,6.5
450814404,CINTA PASACABLES FLEJE 20 MT,PZ,6.52
424583634,CANILLA RTO-PICO BCE CROMADO   1/2,PZ,6.54
450817151,MACHO TAP A/LAMINADO NF  1/4  x 28,PZ,6.54
424589638,CORREA SECCION A N.50,PZ,6.59
450811768,MECHA EZETA COLA CONICA 10.50 MM,PZ,6.66
424560093,MENSULA DOBLE ECO NEGRA  170 MM,PZ,6.72
450803780,GANCHO CONTRA VIENTO 25 - 200 x 15,PZ,6.72
500000642,MACHO URANGA A/ALEADO M 10 x 1.25,UD,6.77
500000643,MACHO URANGA A/ALEADO M 12 x 1.00,UD,6.77
424590149,CINTA EVEL 5005 LLAVERO 1 MT -FRENO,PZ,6.79
450801389,NIVEL EVEL ALUMINIO 100 CM,PZ,6.83
450803590,MAQ ZONTA RTO-ALMOHADILLAS 33/42,PZ,6.86
424562167,GRIFERIA VENUS DUCHA C/TRANS BLANCO,PZ,6.93
413050707,CLAVO CAJ PULIDO FRACC  12- 25,PZ,6.99
450813105,MECHA EZETA COLA CONICA  6.00 MM,PZ,7.02
450801071,HERRADURA ACANALADA PESADA C/CLIP 0,PZ,7.04
450811844,RIEGO PISTOLA ACOPLE ESPIGA,PZ,7.04
450817075,HERRADURA ACANALADA PESADA 2,PZ,7.07
424591985,BANDA AA TELA  75x610 O/A MAD G. 40,PZ,7.11
450801056,MECHA EZETA COLA CONICA 31.50 MM,PZ,7.11
450801057,MECHA EZETA COLA CONICA 29.25 MM,PZ,7.11
424561178,MENSULA DOBLE ALUM   170 MM,PZ,7.27
450810676,SELLADOR APLICADOR A CREMALLERA IMP,PZ,7.39
450811816,MAQ ZONTA RTO-TORNILLO DE REGISTRO,PZ,7.73
450802606,GANCHO CONTRA VIENTO 18 -  30 x 50,PZ,7.77
450811068,BOMBA DE ALUMINIO P/TRASVASE,PZ,7.8
450813402,CLAVO C/CHATA  8-20,PZ,7.94
450812658,ADAP HEXAG P/AUTOPERF  1/4 x 65 MM,PZ,8.07
424560208,MECHA EZETA DOBLE PUNTA 3.75 MM,PZ,8.1
450818515,CALENTADOR P/GAS MINI ENLOZADO,PZ,8.11
450811902,CARRETILLA CUART MAGER C/PLATO PLAST,PZ,8.22
424580160,CABO P/LIMA PLANA     200 A 250 MM,EN,8.27
424580159,CUCHARA ROBLE P/ALBAÃ‘IL N.10,PZ,8.32
450814041,MAQ ZONTA RTO-RUEDA INCIDORA,PZ,8.32
450806012,ABRAZ AMERICANA 3004    40 -  55 MM,PZ,8.42
424560055,MECHA EZETA WIDIA BOSCH  8 x 110 MM,PZ,8.45
424560248,ARCO SIERRA CARNICERO RTO-HOJA 620,PZ,8.45
450802712,BIS FICHA P/SOLD REF  90-22   x 1.5,PZ,8.46
424575370,ADAP PHILLIPS P/AUTOPERF  2 x 25 MM,PZ,8.47
424504957,ANAFE 2 HORN ENLOZ C/ROB GAS ENV,PZ,8.52
450817146,RUEDA GOMA     MACIZA P/CARRETILLA,PZ,8.61
450810499,MECHA EZETA COLA CONICA 41.50 MM,PZ,8.66
424581729,MECHA EZETA COLA CONICA 37.00 MM,PZ,8.72
450813106,MECHA EZETA COLA CONICA  5.50 MM,PZ,8.75
424560799,CAÃ‘O CRISTAL 10 - 13  x  50 MT,PZ,8.79
450804900,CABLE ACERO  9.5 MM 6 x  7+1,PZ,8.81
424570551,CABLE ACERO  3.0 MM 6 x  7+1,PZ,8.84
424570585,RIEGO KIT MANGUERA 1/2 x 20 MTS,PZ,8.84
424582538,MECHA EZETA WIDIA LARGA 400 25 MM,JG,8.84
450600023,SOGA ELASTICA 8 MM,PZ,8.84
450802616,MECHA EZETA COLA CONICA 28.25 MM,PZ,8.85
450814749,CORTAFRIO GHERARDI CHATO 12-25 350,PZ,8.85
450900454,CLAVO ESCUADRA PUL 23 -  70,PZ,8.89
450813806,CORREA SECCION A N.30,PZ,8.92
424598071,PITON HO PUL ESCUAD  24 -  90 x  50,PZ,8.93
424560155,CADENA P/PERRO N.13 LARGO 2.20 MT,PZ,8.94
424560157,COLLAR SUELA N.19 LISO - 41 CM,PZ,8.94
450800366,MECHA EZETA COLA CONICA 22.25 MM,MT,8.95
450812343,CINTA TEFLON    3/4 x 10 MT,PZ,8.96
424570579,MACHO URANGA A/RAPIDO NF     3 x 56,PZ,9.04
450811928,MECHA EZETA COLA CONICA 12.75 MM,PZ,9.17
424561523,MECHA EZETA WIDIA BOSCH 12 x 210 MM,PZ,9.22
450812732,CLAVO C/PERDIDA  6-16,PZ,9.24
450801392,MECHA EZETA COLA CONICA 11.50 MM,PZ,9.27
450818407,CLAVO CAJ PULIDO 12- 38 x 30 KG,PZ,9.34
424582142,MECHA EZETA WIDIA LARGA 400 13 MM,PZ,9.36
450814783,RIEGO LANZA   ACOPLE RAPIDO,PZ,9.36
424502303,CABLE ACERO  5.0 MM 6 x 19+1,PZ,9.5
450802702,PITON S/TOPE ESCUAD  P/TACO  4 x100,PZ,9.54
450811013,MACHO URANGA A/ALEADO NPT 1/8 x 27,PZ,9.54
450813716,MECHA EZETA WIDIA BOSCH 14 x 460 MM,PZ,9.61
424572020,CLAVO CAJ PULIDO FRACC  14- 40,PZ,9.63
450814642,MECHA EZETA COLA CONICA  9.75 MM,PZ,9.65
424573016,SOGA TRENZ P/MOTOR EXPL 5.00 MM,PZ,9.67
424570578,MACHO URANGA A/RAPIDO NF     4 x 48,PZ,9.71
450813304,MECHA FIBRA DE VIDRIO 15.2 MM,PZ,9.81
424566149,CLAVO ESPIRALADO 3      x 20 KG,PZ,9.9
450302417,TELA M/SOMBRA  50 MT NEGRO      80%,PZ,9.93
450812949,ARAND NEOPREN GRANDE 26 MM,PZ,9.98
450814099,CHAIRA BIASSONI RAYADA 12 - 305 MM,PZ,10
450803471,CLAVO ALBAÃ‘IL P/MARCO T/ESCUADRA,PZ,10.04
450814068,MECHA EZETA COLA CONICA 36.25 MM,PZ,10.05
450300292,CADENA P/PERRO N.12 LARGO 2.20 MT,PZ,10.21
450811115,MECHA EZETA COLA CONICA 21.25 MM,PZ,10.22
424560619,PITON S/TOPE ABIERTO P/TACO  5 x 50,PZ,10.25
450813107,MECHA EZETA WIDIA BOSCH 24 x 250 MM,PZ,10.25
450813224,MECHA EZETA COLA CONICA 37.50 MM,PZ,10.34
424582155,CADENA ENGANCHE N.13 ESCALERA,PQ,10.38
450800649,MECHA EZETA COLA CONICA 34.50 MM,PZ,10.4
450801809,GRIFERIA VENUS COCINA MESADA CROMO,PZ,10.43
451000088,GRIFERIA VENUS LAVAT C/MEZC CROMO,PZ,10.52
450803301,MACHO URANGA A/ALEADO NC  5/8  x 11,PZ,10.77
450802611,MACHO URANGA A/ALEADO M 24 x 1.50,PZ,10.87
450814771,BANDA AA TELA  75x610 O/A MAD G. 60,PZ,11.52
424561502,ALAMB REC NEGRO N. 8 4.06 MM,PZ,11.54
450814336,CABLE ACERO  6.0 MM 6 x 19+1,PZ,11.69
450810675,POLIET SIXCOM 4 x 200 x  50 NEGRO,PZ,11.76
450817152,CLAVO CAJ PULIDO 12- 40 x 30 KG,PZ,11.78
450813273,CUCHARA GHERARDI FORJ N. 7,PZ,11.79
424580251,MENSULA DOBLE NEGRA  470 MM,PZ,11.83
450813141,MECHA EZETA WIDIA BOSCH 22 x 350 MM,PZ,11.95
413050160,CLAVO ESCUADRA PUL 25 -  90,PZ,12
450905818,GANCHO CONTRA VIENTO 19 -  60 x 50,PZ,12
450816473,CLAVO ESPIRALADO 2      x 20 KG,PZ,12.07
424564462,TOR P/MECHA C/HEXAG  C/A 14 x 1 1/2,PZ,12.17
450801554,MECHA EZETA COLA CONICA 27.50 MM,PZ,12.22
450801073,BANDA AA TELA  75x610 O/A MAD G. 80,PZ,12.25
424582640,ARCO SIERRA CARNICERO C/HOJA 800 MM,PQ,12.35
424594391,GUANTE LATEX P/LARGO GRANDE,PZ,12.36
450811240,RIEL DOBLE BLANCO 3.00 MT,PZ,12.4
450803059,CORTAFRIO GHERARDI HEXAG 18-21 400,PZ,12.42
450814763,MAQ ZONTA RTO-ESCUADRA DESPLAZABLE,PZ,12.48
450800661,MECHA EZETA COLA CONICA 32.25 MM,PZ,12.49
450801734,LIJA AA COLORADO RUBI G. 60 GRU,PZ,12.5
450814106,PALA GHERARDI FORJ RECTA CESPED C/C,PZ,12.54
424560209,MECHA EZETA WIDIA CORTA 20 MM,PZ,12.61
424582599,GANCHO P/CAÃ‘O ESTRUCT 40 x 120,BK,12.62
450810554,MECHA EZETA COLA CONICA 30.00 MM,PZ,12.81
424560961,PITON HO PUL ESCUAD  22 -  70 x 100,PZ,12.83
424582639,CORREA SECCION A N.52,PQ,12.84
450813657,MECHA NEIKE WIDIA LARGA 250 14 MM,PZ,13
424560077,CINTA EVEL 103 BOX          3 MT,PZ,13.06
424560034,GANCHO P/CAÃ‘O ESTRUCT 50 x 120,PZ,13.1
450817317,ADAP POZIDRIVE P/AUTOPERF 1 x 50 MM,PZ,13.22
450813641,MECHA EZETA COLA CONICA  5.75 MM,PZ,13.28
424582147,MECHA EZETA DE CENTRAR 2.50 MM,PQ,13.34
424580197,MECHA EZETA COLA CONICA 32.75 MM,PZ,13.45
424595782,DISCO AA NO PAST 6 PERF 154  G.400,PZ,13.48
424595783,DISCO AA NO PAST 6 PERF 154  G.500,PZ,13.48
424595784,DISCO AA GOLD    6 PERF 154  G. 80,PZ,13.48
424595785,DISCO AA NO PAST 6 PERF 154  G.280,PZ,13.48
424595786,DISCO AA NO PAST 6 PERF 154  G.320,PZ,13.48
424595787,DISCO AA GOLD    6 PERF 154  G.120,PZ,13.48
424595789,DISCO AA NO PAST 6 PERF 154  G.360,PZ,13.48
450803198,CORTAFRIO GHERARDI CHATO 12-25 200,PZ,13.51
424580004,HILO ALGODON CRUDO 10 x  40 GR,PZ,13.52
450805736,PALA GHERARDI FORJ 1/2 L ANCHA  C/L,PZ,13.57
450805540,MECHA EZETA COLA CONICA 23.75 MM,PZ,13.83
450812613,MECHA EZETA WIDIA BOSCH 16 x 460 MM,PZ,13.94
424581698,CADENA ENGANCHE N. 7 HO NIQUELADO,PQ,14.01
450801119,DISCO AA GOLD    6 PERF 154  G.600,PZ,14.47
424560611,GRAMPA PRENSA CABLE GALV   3/8,PZ,14.49
424589521,MECHA EZETA CILINDRICA A/R 17.75 MM,PZ,14.49
424593601,MACHO URANGA A/RAPIDO NF  5/16 x 24,PZ,14.49
424560612,CADENA P/PERRO N.17 LARGO 2.20 MT,PZ,14.56
424565543,MENSULA DOBLE ECO NEGRA  270 MM,PZ,14.56
424565545,MENSULA DOBLE ECO NEGRA  370 MM,PZ,14.56
424599962,CAÃ‘O CRISTAL  7 - 10  x  50 MT,PZ,14.56
450812886,ALAMB REC NEGRO N.17 x 1 KG,RL,14.65
424560247,CACEROLA FUND S/ENLOZAR N. 5,PZ,14.79
424561473,CLAVO CAJ PULIDO FRACC  14- 45,PZ,14.82
450802641,PALA GHERARDI ALUMINIO  CARBONERA,PZ,14.82
450817076,CABLE CORDON  6.0 MM 1 x  7,PZ,14.87
450804947,DISCO AA GOLD    6 PERF 154  G.500,PZ,15.05
424573281,MECHA EZETA MULTIMATERIAL 10 MM,PZ,15.06
424560809,TOR P/MECHA C/HEXAG  C/A 12 x 1,PZ,15.11
424560265,COLLAR SUELA N.25 LISO - 49 CM,PZ,15.22
450804263,MALLA ACERO 5x2 MT 150x150x4 MM,PZ,15.24
450901053,TOR P/MECHA C/FIJAD-PHIL  6 x  7/16,PZ,15.26
424565547,CACEROLA FUND S/ENLOZAR N.10,PZ,15.29
424582123,GANCHO P/CAÃ‘O ESTRUCT 25 x  80,CJ,15.36
424582124,BALDE PLAST PICO VERT 10 LT BLANCO,CJ,15.36
424574370,CLAVO C/CHATA 12-40,PZ,15.48
450800232,TENDEDERO PIE PLEG 7 V ALAMB C/ALAS,PZ,15.66
424593685,MACHO URANGA A/RAPIDO NF  1/2  x 20,PZ,15.67
450814797,BANDA AA TELA  75x533 O/A MAD G. 50,PZ,15.7
450814804,DISCO AA GOLD    6 PERF 154  G.180,PZ,15.7
424561464,LIJA AA GOLD 24K  G.120,PZ,15.91
450814530,CLAVO CAJ PULIDO 16- 63 x 30 KG,PZ,15.97
424595493,TENSOR ACERO GALV IMP  7/8,PZ,16.01
450813807,MECHA EZETA COLA CONICA 35.50 MM,PZ,16.03
450812679,MARTILLO 2241 RTO-CABEZA DIAM 40,PZ,16.23
450814798,POLIET SIXCOM 3 x 100 x 100 CRISTAL,PZ,16.34
450802210,CLAVO ESCUADRA PUL 20 -  90,PZ,16.5
450813401,MJA RTO-CLAVIJA HO NIQUELADO x 100,PZ,16.52
450802737,CORTAFRIO GHERARDI CHATO 12-25 300,PZ,16.58
413050677,CLAVO CAJ PULIDO FRACC  12- 30,PZ,16.64
424561821,POLIET SIXCOM 6 x 200 x  50 NEGRO,PZ,16.76
413050090,PITON P/MAD SOLDADO  27 - 160 x 25,PZ,16.85
424575475,TENDEDERO TECHO   GRANDE,PZ,16.85
450803194,MECHA EZETA COLA CONICA 36.75 MM,PZ,16.85
450812188,MECHA EZETA COLA CONICA 32.50 MM,PZ,16.85
450814066,ADAP POZIDRIVE P/AUTOPERF 3 x 25 MM,PZ,16.94
450801121,MECHA EZETA COLA CONICA 10.25 MM,PZ,16.95
450812687,RIEGO ROCIA GIRAT C/BASE ACOPLE ESP,PZ,16.95
424596134,PALA MAGER CORAZON   C/LARGO,PZ,17.07
424596135,DISCO AA NO PAST 6 PERF 154  G.220,PZ,17.07
450814403,MECHA EZETA COLA CONICA 21.75 MM,PZ,17.18
450814409,PUNTA GHERARDI HEXAGONAL 18-21 250,PZ,17.22
424561820,POLIET SIXCOM 6 x 100 x  50 CRISTAL,PZ,17.34
450813485,MECHA NEIKE WIDIA LARGA 250 12 MM,PZ,17.47
