Sale Date,Product,Brand,Category,Branch,Vendor,Payment,Unit cost,Unit selling price,Quantity
43152,HELADERA CON FREEZER,GAFA,Línea Blanca,Coyoacan,Abrieva,Credit Card,9520,13599,6
43155,COCINA,GAFA,Línea Blanca,Roma,Lzeppa,Credit Card,5240,8059,10
43156,SECARROPAS,PHILIPS,Línea Blanca,Centro,Jlopez,Credit Card,8690,13369,40
43156,REPRODUCTOR DE DVD,GAFA,TV/Video/DVD,Del Valle,Mnoguera,Credit Card,2470,4119,35
43157,SECARROPAS,AUDIOLOGIC,Línea Blanca,San Angel,Fcasco,Credit Card,1940,3229,10
43158,REPRODUCTOR DE DVD,GAFA,TV/Video/DVD,Coyoacan,Abrieva,Credit Card,1870,3119,45
43159,SECARROPAS,WHIRLPOOL,Línea Blanca,Abasto,Mnatalini,Credit Card,1940,3229,30
43159,COCINA,NOBLEX,Línea Blanca,Roma,Lzeppa,Credit Card,9370,13389,5
43163,REPRODUCTOR MP3,WHIRLPOOL,Audio,Centro,Jlopez,Cash,1040,1729,10
43164,SECARROPAS,DATSUN,Línea Blanca,San Angel,Fcasco,Cash,1940,3229,25
43164,COCINA,GAFA,Línea Blanca,Del Valle,Dacosta,Cash,9370,13389,30
43165,REPRODUCTOR DE DVD,GAFA,TV/Video/DVD,Coyoacan,Abrieva,Cash,1720,2869,36
43166,SECARROPAS,WHIRLPOOL,Línea Blanca,Abasto,Mnatalini,Cash,1940,3229,7
43166,COCINA,DATSUN,Línea Blanca,Roma,Lzeppa,Cash,9370,13389,6
43167,REPRODUCTOR DE DVD,PATRICK,TV/Video/DVD,Centro,Jlopez,Cash,1720,2869,24
43170,COCINA,PATRICK,Línea Blanca,Del Valle,Dacosta,Cash,5240,8059,10
43171,COCINA,GAFA,Línea Blanca,San Angel,Fcasco,Cash,5240,8059,40
43171,SECARROPAS,GAFA,Línea Blanca,Coyoacan,Abrieva,Cash,1940,3229,35
43172,SECARROPAS,GAFA,Línea Blanca,Abasto,Mnatalini,Cash,1940,3229,10
43173,SECARROPAS,PHILIPS,Línea Blanca,Roma,Lzeppa,Cash,1940,3229,45
43173,"TV COLOR 14""",GAFA,TV/Video/DVD,Centro,Jlopez,Cash,4490,7479,30
43174,SECARROPAS,NOBLEX,Línea Blanca,Del Valle,Dacosta,Cash,1940,3229,5
43177,REPRODUCTOR MP3,WHIRLPOOL,Audio,San Angel,Fcasco,Cash,1040,1729,10
43177,HELADERA CON FREEZER,WHIRLPOOL,Línea Blanca,Coyoacan,Abrieva,Cash,11840,16909,30
43178,AIRE ACONDICIONADO,WHIRLPOOL,Aire Acondicionado,Abasto,Mnatalini,Cash,6740,10369,25
43179,COCINA,PHILIPS,Línea Blanca,Roma,Lzeppa,Cash,9370,13389,36
43180,REPRODUCTOR DE DVD,WHIRLPOOL,TV/Video/DVD,Centro,Jlopez,Cash,2470,4119,7
43180,COCINA,WHIRLPOOL,Línea Blanca,Del Valle,Dacosta,Cash,9370,13389,6
43181,HELADERA CON FREEZER,WHIRLPOOL,Línea Blanca,San Angel,Fcasco,Cash,11840,16909,24
43184,REPRODUCTOR DE DVD,GAFA,TV/Video/DVD,Abasto,Mnatalini,Cash,1720,2869,40
43184,HELADERA,DATSUN,Línea Blanca,Coyoacan,Abrieva,Cash,7720,11879,10
43185,LAVARROPAS,WHIRLPOOL,Línea Blanca,Roma,Lzeppa,Cash,8020,12339,35
43186,HELADERA,NOBLEX,Línea Blanca,Centro,Jlopez,Cash,7720,11879,10
43186,REPRODUCTOR MP3,NOBLEX,Audio,Del Valle,Dacosta,Cash,1040,1729,45
43187,REPRODUCTOR MP3,WHIRLPOOL,Audio,San Angel,Fcasco,Cash,1040,1729,30
43188,MICROONDAS,WHIRLPOOL,Línea Blanca,Coyoacan,Abrieva,Cash,8770,13489,5
43191,LAVAVAJILLAS,GAFA,Línea Blanca,Abasto,Mnatalini,Cash,17090,24409,10
43191,HELADERA CON FREEZER,ARISTON,Línea Blanca,Roma,Lzeppa,Credit Card,9520,13599,30
43192,LAVAVAJILLAS,DATSUN,Línea Blanca,Centro,Jlopez,Cash,17320,24739,25
43193,LAVAVAJILLAS,PATRICK,Línea Blanca,San Angel,Fcasco,Cash,17320,24739,7
43193,REPRODUCTOR DE DVD,ARISTON,TV/Video/DVD,Del Valle,Dacosta,Credit Card,1720,2869,36
43194,COCINA,ARISTON,Línea Blanca,Coyoacan,Abrieva,Credit Card,5240,8059,6
43195,LAVAVAJILLAS,WHIRLPOOL,Línea Blanca,Abasto,Mnatalini,Cash,17320,24739,24
43195,MICROONDAS,WHIRLPOOL,Línea Blanca,Roma,Lzeppa,Credit Card,8770,13489,10
43198,MICROONDAS,DATSUN,Línea Blanca,Centro,Jlopez,Cash,8770,13489,40
43199,REPRODUCTOR DE DVD,WHIRLPOOL,TV/Video/DVD,Del Valle,Dacosta,Credit Card,1720,2869,35
43200,MICROONDAS,PHILIPS,Línea Blanca,San Angel,Fcasco,Cash,8770,13489,10
43200,"TV COLOR 20""",GAFA,TV/Video/DVD,Coyoacan,Abrieva,Credit Card,5140,7909,45
43201,HELADERA CON FREEZER,PHILIPS,Línea Blanca,Abasto,Mnatalini,Cash,9520,13599,30
43202,"TV COLOR FLAT 21""",AUDIOLOGIC,TV/Video/DVD,Roma,Lzeppa,Credit Card,6370,9799,5
43202,RADIO RELOJ CR-001,WHIRLPOOL,Audio,Centro,Jlopez,Cash,290,529,10
43205,HELADERA,GAFA,Línea Blanca,Del Valle,Dacosta,Credit Card,7720,11879,30
43206,LAVARROPAS,WHIRLPOOL,Línea Blanca,San Angel,Fcasco,Cash,8020,12339,25
43206,COCINA,PHILIPS,Línea Blanca,Coyoacan,Abrieva,Credit Card,9370,13389,36
43207,REPRODUCTOR DE DVD,WHIRLPOOL,TV/Video/DVD,Abasto,Mnatalini,Cash,2470,4119,7
43208,COCINA,NOBLEX,Línea Blanca,Roma,Lzeppa,Credit Card,9370,13389,6
43209,REPRODUCTOR MP3,ARISTON,Audio,Centro,Jlopez,Cash,1040,1729,24
43209,LAVAVAJILLAS,PHILIPS,Línea Blanca,Del Valle,Dacosta,Credit Card,17320,24739,10
43212,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,San Angel,Fcasco,Credit Card,7490,11519,40
43213,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Abasto,Mnatalini,Credit Card,7510,11549,10
43213,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Coyoacan,Abrieva,Credit Card,7500,11539,35
43214,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Roma,Lzeppa,Credit Card,7520,11569,45
43215,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Centro,Jlopez,Cash,7520,11569,30
43215,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Del Valle,Dacosta,Cash,7530,11579,5
43216,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",GAFA,TV/Video/DVD,San Angel,Fcasco,Cash,7540,11599,10
43219,HELADERA CON FREEZER,DATSUN,Línea Blanca,Coyoacan,Abrieva,Cash,9520,13599,30
43220,REPRODUCTOR DE DVD,WHIRLPOOL,TV/Video/DVD,Abasto,Mnatalini,Cash,1720,2869,25
43220,MICROONDAS,AUDIOLOGIC,Línea Blanca,Roma,Lzeppa,Cash,8770,13489,36
43221,RADIO RELOJ CR-001,WHIRLPOOL,Audio,Centro,Agomez,Cash,290,529,7
43222,MICROONDAS,PHILIPS,Línea Blanca,San Angel,Fcasco,Cash,8770,13489,24
43222,MICROONDAS,WHIRLPOOL,Línea Blanca,Del Valle,Dacosta,Cash,8770,13489,6
43223,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Coyoacan,Abrieva,Cash,7490,11519,10
43226,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Abasto,Mnatalini,Cash,7500,11539,40
43226,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Roma,Lzeppa,Cash,7510,11549,35
43227,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Centro,Agomez,Cash,7520,11569,10
43228,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,Del Valle,Dacosta,Cash,7520,11569,45
43229,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",PHILIPS,TV/Video/DVD,San Angel,Fcasco,Cash,7530,11579,30
43229,"TV COLOR FLAT 21"" + REPRODUCTOR DE DVD",NOBLEX,TV/Video/DVD,Coyoacan,Abrieva,Cash,7540,11599,5
43230,REPRODUCTOR MP3,WHIRLPOOL,Audio,Abasto,Mnatalini,Cash,1040,1729,10
43233,LAVAVAJILLAS,WHIRLPOOL,Línea Blanca,Roma,Ccarrizo,Cash,17090,24409,30
43233,COCINA,DATSUN,Línea Blanca,Centro,Agomez,Cash,9370,13389,25
43234,REPRODUCTOR DE DVD,PHILIPS,TV/Video/DVD,Del Valle,Dacosta,Cash,1720,2869,36
43235,LICUADORA,WHIRLPOOL,Electro,San Angel,Fcasco,Cash,740,1349,7
43235,LAVAVAJILLAS,AUDIOLOGIC,Línea Blanca,Coyoacan,Abrieva,Cash,17090,24409,6
43236,RADIO RELOJ CR-001,WHIRLPOOL,Audio,Abasto,Mnatalini,Cash,290,529,24
43237,LAVAVAJILLAS,ARISTON,Línea Blanca,Roma,Ccarrizo,Cash,17090,24409,10
43240,COCINA,GAFA,Línea Blanca,Centro,Agomez,Cash,10490,14989,40
43240,HELADERA,ARISTON,Línea Blanca,Del Valle,Dacosta,Cash,6820,10489,35
43241,COCINA,PHILIPS,Línea Blanca,San Angel,Mnarduzzi,Cash,10490,14989,10
43242,REPRODUCTOR MP3,PHILIPS,Audio,Abasto,Mnatalini,Cash,1040,1729,30
43242,REPRODUCTOR DE DVD,NOBLEX,TV/Video/DVD,Coyoacan,Scorrales,Cash,2470,4119,45
43243,LICUADORA,PHILIPS,Electro,Roma,Ccarrizo,Cash,740,1349,5
43244,REPRODUCTOR DE DVD,DATSUN,TV/Video/DVD,Centro,Agomez,Cash,2470,4119,10
43244,REPRODUCTOR DE DVD,ARISTON,TV/Video/DVD,Del Valle,Dacosta,Cash,1720,2869,30
43247,LAVAVAJILLAS,ARISTON,Línea Blanca,San Angel,Mnarduzzi,Cash,17320,24739,25
43248,LAVAVAJILLAS,WHIRLPOOL,Línea Blanca,Coyoacan,Scorrales,Cash,17320,24739,36
43249,HELADERA,WHIRLPOOL,Línea Blanca,Abasto,Mnatalini,Cash,7720,11879,7
43249,MICROONDAS,AUDIOLOGIC,Línea Blanca,Roma,Ccarrizo,Cash,8770,13489,6
43250,REPRODUCTOR DE DVD,PHILIPS,TV/Video/DVD,Centro,Agomez,Cash,1870,3119,24
43251,COCINA,WHIRLPOOL,Línea Blanca,San Angel,Mnarduzzi,Credit Card,10490,14989,40
43251,LICUADORA,ARISTON,Electro,Del Valle,Dacosta,Credit Card,740,1349,10
43254,MICROONDAS,DATSUN,Línea Blanca,Coyoacan,Scorrales,Credit Card,8770,13489,35
43255,REPRODUCTOR DE DVD,DATSUN,TV/Video/DVD,Abasto,Mnatalini,Credit Card,1720,2869,10
43255,REPRODUCTOR DE DVD,ARISTON,TV/Video/DVD,Roma,Ccarrizo,Credit Card,1720,2869,45
43256,LAVAVAJILLAS,NOBLEX,Línea Blanca,Centro,Agomez,Credit Card,17320,24739,30
43257,REPRODUCTOR MP3,ARISTON,Audio,Del Valle,Dacosta,Credit Card,1040,1729,5
43258,LAVAVAJILLAS,GAFA,Línea Blanca,San Angel,Mnarduzzi,Credit Card,17320,24739,10
43258,HELADERA CON FREEZER,ARISTON,Línea Blanca,Coyoacan,Scorrales,Credit Card,9520,13599,30
43261,COCINA,AUDIOLOGIC,Línea Blanca,Abasto,Mnatalini,Credit Card,10490,14989,25
43262,RADIO RELOJ CR-001,WHIRLPOOL,Audio,Roma,Ccarrizo,Credit Card,290,529,36
43262,COCINA,PHILIPS,Línea Blanca,Centro,Agomez,Credit Card,9370,13389,7
43263,LICUADORA,WHIRLPOOL,Electro,Del Valle,Dacosta,Credit Card,740,1349,6
43264,HELADERA,AUDIOLOGIC,Línea Blanca,San Angel,Mnarduzzi,Credit Card,7720,11879,24
43264,REPRODUCTOR DE DVD,WHIRLPOOL,TV/Video/DVD,Coyoacan,Scorrales,Credit Card,1870,3119,10
43265,MICROONDAS,GAFA,Línea Blanca,Del Valle,Dacosta,Credit Card,8770,13489,40
43268,HELADERA CON FREEZER,ARISTON,Línea Blanca,Del Valle,Dacosta,Credit Card,9520,13599,35
43269,COCINA,NOBLEX,Línea Blanca,Abasto,Mnatalini,Credit Card,10490,14989,45
43269,COCINA,ARISTON,Línea Blanca,Del Valle,Dacosta,Credit Card,10490,14989,10
43270,REPRODUCTOR DE DVD,NOBLEX,TV/Video/DVD,San Angel,Mnarduzzi,Credit Card,2390,3979,30
43271,REPRODUCTOR DE DVD,NOBLEX,TV/Video/DVD,Abasto,Avergara,Credit Card,2390,3979,5
43271,REPRODUCTOR DE DVD,PHILIPS,TV/Video/DVD,Roma,Ccarrizo,Cash,2390,3979,10
43272,LICUADORA,AUDIOLOGIC,Electro,Centro,Agomez,Cash,740,1349,30
43275,COCINA,AUDIOLOGIC,Línea Blanca,San Angel,Mnarduzzi,Cash,10490,14989,36
43275,REPRODUCTOR DE DVD,ARISTON,TV/Video/DVD,Del Valle,Dacosta,Cash,1870,3119,25
43276,RADIO RELOJ CR-001,ARISTON,Audio,Coyoacan,Scorrales,Cash,290,529,7
43277,COCINA,WHIRLPOOL,Línea Blanca,San Angel,Mnarduzzi,Cash,10490,14989,6
43278,HELADERA,WHIRLPOOL,Línea Blanca,Abasto,Avergara,Cash,7720,11879,24
43278,MICROONDAS,ARISTON,Línea Blanca,Roma,Ccarrizo,Cash,8770,13489,10
43279,COCINA,GAFA,Línea Blanca,Centro,Agomez,Cash,10490,14989,40
43282,RADIO RELOJ CR-001,WHIRLPOOL,Audio,San Angel,Mnarduzzi,Cash,290,529,10
43282,FREEZER,AUDIOLOGIC,Línea Blanca,Del Valle,Dacosta,Cash,7870,12109,35
43283,COCINA,ARISTON,Línea Blanca,Coyoacan,Scorrales,Cash,9370,13389,45
43284,COCINA,PHILIPS,Línea Blanca,Abasto,Avergara,Cash,10490,14989,30
43284,LICUADORA,WHIRLPOOL,Electro,Roma,Ccarrizo,Cash,740,1349,5
43285,HELADERA CON FREEZER,PHILIPS,Línea Blanca,Centro,Agomez,Cash,11840,16909,10
43286,REPRODUCTOR DE DVD,WHIRLPOOL,TV/Video/DVD,Del Valle,Dacosta,Cash,2470,4119,30
43289,MICROONDAS,AUDIOLOGIC,Línea Blanca,San Angel,Mnarduzzi,Cash,8770,13489,25
43289,REPRODUCTOR DE DVD,WHIRLPOOL,TV/Video/DVD,Coyoacan,Scorrales,Cash,1870,3119,36
43290,HELADERA CON FREEZER,GAFA,Línea Blanca,Abasto,Avergara,Cash,11840,16909,7
43291,LAVARROPAS,ARISTON,Línea Blanca,Roma,Ccarrizo,Cash,8020,12339,6
43291,COCINA,PHILIPS,Línea Blanca,Centro,Agomez,Cash,10490,14989,24
43292,REPRODUCTOR DE DVD,GAFA,TV/Video/DVD,Del Valle,Dacosta,Cash,2470,4119,10
43293,LAVARROPAS,PHILIPS,Línea Blanca,San Angel,Mnarduzzi,Cash,8020,12339,40
43293,LICUADORA,NOBLEX,Electro,Coyoacan,Scorrales,Cash,740,1349,35
43296,REPRODUCTOR MP3,WHIRLPOOL,Audio,San Angel,Mnarduzzi,Cash,1040,1729,10
43297,MICROONDAS,GAFA,Línea Blanca,San Angel,Mnarduzzi,Cash,8770,13489,45
43298,LAVARROPAS,GAFA,Línea Blanca,Abasto,Avergara,Cash,9440,13489,5
43298,LAVARROPAS,WHIRLPOOL,Línea Blanca,Coyoacan,Scorrales,Cash,8020,12339,30
43299,LAVARROPAS,AUDIOLOGIC,Línea Blanca,Roma,Ccarrizo,Cash,8020,12339,10
43300,REPRODUCTOR DE DVD,PHILIPS,TV/Video/DVD,San Angel,Mnarduzzi,Cash,1870,3119,30
43300,LICUADORA,GAFA,Electro,Coyoacan,Scorrales,Credit Card,740,1349,25
43303,LAVARROPAS,WHIRLPOOL,Línea Blanca,Abasto,Avergara,Cash,8020,12339,36
43304,COCINA,DATSUN,Línea Blanca,Roma,Ccarrizo,Credit Card,9370,13389,7
43304,REPRODUCTOR MP3,WHIRLPOOL,Audio,Coyoacan,Scorrales,Cash,970,1759,6
43305,LAVARROPAS,DATSUN,Línea Blanca,Abasto,Avergara,Credit Card,9440,13489,24
43306,REPRODUCTOR MP3,DATSUN,Audio,Roma,Ccarrizo,Cash,970,1759,10
43307,REPRODUCTOR MP3,WHIRLPOOL,Audio,Abasto,Avergara,Credit Card,970,1759,40
43307,LAVARROPAS,GAFA,Línea Blanca,Roma,Ccarrizo,Cash,9440,13489,35
43310,FREEZER,PHILIPS,Línea Blanca,Centro,Agomez,Credit Card,7870,12109,10
43311,LAVARROPAS,AUDIOLOGIC,Línea Blanca,San Angel,Mnarduzzi,Credit Card,8020,12339,30
43311,LICUADORA,GAFA,Electro,Del Valle,Dacosta,Cash,740,1349,45
43312,REPRODUCTOR DE DVD,WHIRLPOOL,TV/Video/DVD,Coyoacan,Scorrales,Cash,1870,3119,5
43313,MICROONDAS,GAFA,Línea Blanca,Del Valle,Ggonzalez,Credit Card,8770,13489,10
43313,FREEZER,PHILIPS,Línea Blanca,Del Valle,Ggonzalez,Cash,7870,12109,30
43314,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,San Angel,Mnarduzzi,Credit Card,7490,11519,25
43317,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,Del Valle,Ggonzalez,Cash,7490,11519,36
43318,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,Del Valle,Ggonzalez,Credit Card,7490,11519,7
43318,LICUADORA,WHIRLPOOL,Electro,Del Valle,Ggonzalez,Cash,560,1019,6
43319,LAVAVAJILLAS,AUDIOLOGIC,Línea Blanca,San Angel,Mnarduzzi,Credit Card,17090,24409,24
43320,RADIO RELOJ CR-001,PHILIPS,Audio,Del Valle,Ggonzalez,Cash,290,529,10
43320,LICUADORA,NOBLEX,Electro,Del Valle,Ggonzalez,Credit Card,560,1019,40
43321,REPRODUCTOR MP3,WHIRLPOOL,Audio,San Angel,Mnarduzzi,Cash,1040,1729,35
43324,LAVAVAJILLAS,AUDIOLOGIC,Línea Blanca,Abasto,Avergara,Cash,17090,24409,10
43324,REPRODUCTOR DE DVD,PHILIPS,TV/Video/DVD,Roma,Ccarrizo,Cash,1870,3119,45
43325,LICUADORA,GAFA,Electro,Centro,Agomez,Cash,740,1349,30
43325,FREEZER,PHILIPS,Línea Blanca,Del Valle,Ggonzalez,Cash,7870,12109,5
43326,LICUADORA,WHIRLPOOL,Electro,San Angel,Mnarduzzi,Cash,560,1019,10
43327,RADIO RELOJ CR-001,WHIRLPOOL,Audio,Abasto,Avergara,Cash,290,529,25
43327,LAVARROPAS,AUDIOLOGIC,Línea Blanca,Coyoacan,Scorrales,Cash,9440,13489,30
43328,LAVARROPAS,DATSUN,Línea Blanca,Roma,Ccarrizo,Cash,9440,13489,36
43328,REPRODUCTOR MP3,WHIRLPOOL,Audio,Centro,Agomez,Cash,970,1759,7
43331,LAVARROPAS,GAFA,Línea Blanca,Del Valle,Ggonzalez,Cash,9440,13489,6
43332,HELADERA CON FREEZER,GAFA,Línea Blanca,San Angel,Mnarduzzi,Cash,9520,13599,24
43332,HELADERA CON FREEZER,GAFA,Línea Blanca,Coyoacan,Scorrales,Cash,9520,13599,10
43333,HELADERA CON FREEZER,AUDIOLOGIC,Línea Blanca,Abasto,Avergara,Cash,9520,13599,40
43333,REPRODUCTOR DE DVD,GAFA,TV/Video/DVD,Roma,Ccarrizo,Cash,1870,3119,35
43334,FREEZER,ELECTROLUX,Línea Blanca,Centro,Agomez,Cash,7870,12109,10
43335,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,San Angel,Mnarduzzi,Credit Card,7490,11519,30
43335,HELADERA CON FREEZER,PHILIPS,Línea Blanca,Del Valle,Ggonzalez,Cash,9590,13699,45
43338,REPRODUCTOR Y GRABADORA DE DVD,WHIRLPOOL,TV/Video/DVD,Del Valle,Ggonzalez,Credit Card,7490,11519,10
43338,REPRODUCTOR Y GRABADORA DE DVD,PHILIPS,TV/Video/DVD,Coyoacan,Scorrales,Credit Card,7490,11519,5
43339,COCINA,DATSUN,Línea Blanca,Del Valle,Ggonzalez,Credit Card,9370,13389,30
43340,REPRODUCTOR MP3,WHIRLPOOL,Audio,San Angel,Mnarduzzi,Credit Card,970,1759,25
43340,AIRE ACONDICIONADO,GAFA,Aire Acondicionado,San Angel,Mnarduzzi,Credit Card,6740,10369,36
43341,FREEZER,PHILIPS,Línea Blanca,Abasto,Avergara,Credit Card,7870,12109,7
43341,LICUADORA,WHIRLPOOL,Electro,Roma,Ccarrizo,Credit Card,740,1349,6
43342,LAVARROPAS,AUDIOLOGIC,Línea Blanca,Centro,Agomez,Credit Card,9440,13489,24
43345,LAVARROPAS,AUDIOLOGIC,Línea Blanca,San Angel,Mnarduzzi,Credit Card,9440,13489,40
43345,REPRODUCTOR DE DVD,WHIRLPOOL,TV/Video/DVD,Del Valle,Ggonzalez,Credit Card,1870,3119,10
43346,CAFETERA,WHIRLPOOL,Electro,Del Valle,Ggonzalez,Credit Card,740,1349,10
43346,RADIO RELOJ CR-001,PHILIPS,Audio,Coyoacan,Scorrales,Credit Card,290,529,35
43347,AIRE ACONDICIONADO,GAFA,Aire Acondicionado,Del Valle,Ggonzalez,Credit Card,6740,10369,45
