Enrollment date,Machine,Participant,Time of use (minutes)
2021-09-29 00:00:00,Machine 7,Participant 43,134
2021-08-10 00:00:00,Machine 2,Participant 17,147
2021-08-25 00:00:00,Machine 4,Participant 63,150
2021-08-04 00:00:00,Machine 2,Participant 63,169
2021-11-15 00:00:00,Machine 3,Participant 62,152
2021-10-26 00:00:00,Machine 8,Participant 4,156
2021-10-01 00:00:00,Machine 6,Participant 35,115
2021-11-16 00:00:00,Machine 7,Participant 69,129
2021-10-02 00:00:00,Machine 4,Participant 13,166
2021-10-12 00:00:00,Machine 2,Participant 21,172
2021-11-01 00:00:00,Machine 1,Participant 28,124
2021-10-25 00:00:00,Machine 5,Participant 17,111
2021-10-19 00:00:00,Machine 4,Participant 52,176
2021-09-21 00:00:00,Machine 1,Participant 56,129
2021-08-24 00:00:00,Machine 2,Participant 46,130
2021-09-27 00:00:00,Machine 2,Participant 24,134
2021-11-13 00:00:00,Machine 7,Participant 21,164
2021-08-23 00:00:00,Machine 8,Participant 22,161
2021-09-27 00:00:00,Machine 5,Participant 47,160
2021-08-10 00:00:00,Machine 7,Participant 59,175
2021-11-21 00:00:00,Machine 10,Participant 15,176
2021-08-06 00:00:00,Machine 4,Participant 3,147
2021-09-26 00:00:00,Machine 10,Participant 46,149
2021-08-07 00:00:00,Machine 3,Participant 22,168
2021-09-24 00:00:00,Machine 7,Participant 56,171
2021-08-20 00:00:00,Machine 6,Participant 17,146
2021-08-01 00:00:00,Machine 10,Participant 58,123
2021-10-24 00:00:00,Machine 6,Participant 34,116
2021-08-18 00:00:00,Machine 5,Participant 30,137
2021-11-25 00:00:00,Machine 6,Participant 23,129
2021-09-13 00:00:00,Machine 1,Participant 54,123
2021-10-21 00:00:00,Machine 4,Participant 21,157
2021-10-04 00:00:00,Machine 10,Participant 19,159
2021-08-07 00:00:00,Machine 9,Participant 66,140
2021-11-12 00:00:00,Machine 9,Participant 53,168
2021-11-02 00:00:00,Machine 2,Participant 6,131
2021-11-07 00:00:00,Machine 4,Participant 53,166
2021-10-28 00:00:00,Machine 2,Participant 58,115
2021-10-16 00:00:00,Machine 10,Participant 51,151
2021-09-30 00:00:00,Machine 4,Participant 34,165
2021-09-02 00:00:00,Machine 6,Participant 7,168
2021-11-11 00:00:00,Machine 4,Participant 4,105
2021-09-26 00:00:00,Machine 6,Participant 22,157
2021-08-30 00:00:00,Machine 6,Participant 35,158
2021-10-26 00:00:00,Machine 5,Participant 40,145
2021-09-02 00:00:00,Machine 10,Participant 42,153
2021-09-09 00:00:00,Machine 6,Participant 8,161
2021-10-17 00:00:00,Machine 7,Participant 5,109
2021-10-30 00:00:00,Machine 7,Participant 36,130
2021-08-25 00:00:00,Machine 1,Participant 35,146
2021-11-19 00:00:00,Machine 1,Participant 64,132
2021-09-03 00:00:00,Machine 5,Participant 47,137
2021-10-14 00:00:00,Machine 1,Participant 41,122
2021-09-03 00:00:00,Machine 3,Participant 6,118
2021-10-04 00:00:00,Machine 1,Participant 30,131
2021-09-13 00:00:00,Machine 4,Participant 7,165
2021-10-30 00:00:00,Machine 5,Participant 56,150
2021-08-22 00:00:00,Machine 2,Participant 42,151
2021-09-25 00:00:00,Machine 8,Participant 19,143
2021-08-21 00:00:00,Machine 4,Participant 19,164
2021-08-01 00:00:00,Machine 8,Participant 58,140
2021-08-09 00:00:00,Machine 1,Participant 14,152
2021-09-06 00:00:00,Machine 7,Participant 46,152
2021-10-17 00:00:00,Machine 9,Participant 37,165
2021-11-13 00:00:00,Machine 1,Participant 44,149
2021-09-23 00:00:00,Machine 9,Participant 60,124
2021-08-08 00:00:00,Machine 2,Participant 32,108
2021-10-21 00:00:00,Machine 8,Participant 42,158
2021-08-07 00:00:00,Machine 7,Participant 68,162
2021-10-14 00:00:00,Machine 3,Participant 61,106
2021-09-18 00:00:00,Machine 4,Participant 33,141
2021-08-26 00:00:00,Machine 6,Participant 2,173
2021-11-21 00:00:00,Machine 3,Participant 40,139
2021-09-13 00:00:00,Machine 6,Participant 29,123
2021-09-13 00:00:00,Machine 9,Participant 58,122
2021-08-19 00:00:00,Machine 4,Participant 13,172
2021-10-09 00:00:00,Machine 5,Participant 61,156
2021-08-26 00:00:00,Machine 4,Participant 26,122
2021-08-26 00:00:00,Machine 9,Participant 52,112
2021-11-12 00:00:00,Machine 9,Participant 33,128
2021-08-14 00:00:00,Machine 9,Participant 65,166
2021-08-20 00:00:00,Machine 7,Participant 22,168
2021-10-17 00:00:00,Machine 7,Participant 60,122
2021-09-27 00:00:00,Machine 1,Participant 31,158
2021-11-25 00:00:00,Machine 8,Participant 2,138
2021-11-19 00:00:00,Machine 1,Participant 13,157
2021-08-31 00:00:00,Machine 8,Participant 33,120
2021-10-17 00:00:00,Machine 10,Participant 24,129
2021-09-25 00:00:00,Machine 6,Participant 68,160
2021-09-28 00:00:00,Machine 10,Participant 45,116
2021-11-04 00:00:00,Machine 4,Participant 60,134
2021-10-22 00:00:00,Machine 10,Participant 1,130
2021-11-24 00:00:00,Machine 2,Participant 13,142
2021-10-22 00:00:00,Machine 7,Participant 63,134
2021-11-09 00:00:00,Machine 5,Participant 61,131
2021-09-09 00:00:00,Machine 2,Participant 34,170
2021-08-03 00:00:00,Machine 5,Participant 29,162
2021-09-03 00:00:00,Machine 6,Participant 25,156
2021-11-08 00:00:00,Machine 3,Participant 64,122
2021-09-11 00:00:00,Machine 5,Participant 19,156
2021-10-26 00:00:00,Machine 5,Participant 50,160
2021-10-02 00:00:00,Machine 5,Participant 26,134
2021-10-05 00:00:00,Machine 5,Participant 39,121
2021-08-13 00:00:00,Machine 7,Participant 25,135
2021-11-04 00:00:00,Machine 6,Participant 33,143
2021-08-31 00:00:00,Machine 4,Participant 11,131
2021-10-17 00:00:00,Machine 4,Participant 69,129
2021-10-27 00:00:00,Machine 8,Participant 53,148
2021-09-10 00:00:00,Machine 1,Participant 41,132
2021-08-13 00:00:00,Machine 10,Participant 67,146
2021-09-14 00:00:00,Machine 5,Participant 23,134
2021-10-15 00:00:00,Machine 1,Participant 60,140
2021-09-26 00:00:00,Machine 4,Participant 58,133
2021-10-11 00:00:00,Machine 2,Participant 33,121
2021-09-08 00:00:00,Machine 9,Participant 43,173
2021-11-30 00:00:00,Machine 5,Participant 34,154
2021-09-15 00:00:00,Machine 3,Participant 56,160
2021-09-04 00:00:00,Machine 6,Participant 69,115
2021-11-24 00:00:00,Machine 1,Participant 33,136
2021-10-13 00:00:00,Machine 5,Participant 70,143
2021-11-30 00:00:00,Machine 5,Participant 1,124
2021-09-24 00:00:00,Machine 3,Participant 26,124
2021-08-22 00:00:00,Machine 7,Participant 41,165
2021-10-07 00:00:00,Machine 4,Participant 70,118
2021-10-16 00:00:00,Machine 6,Participant 12,129
2021-09-20 00:00:00,Machine 9,Participant 54,138
2021-11-20 00:00:00,Machine 5,Participant 55,115
2021-08-01 00:00:00,Machine 9,Participant 3,110
2021-11-24 00:00:00,Machine 10,Participant 4,129
2021-10-29 00:00:00,Machine 9,Participant 32,141
2021-09-24 00:00:00,Machine 4,Participant 68,121
2021-08-31 00:00:00,Machine 8,Participant 29,159
2021-10-23 00:00:00,Machine 4,Participant 11,131
2021-08-28 00:00:00,Machine 5,Participant 60,127
2021-11-14 00:00:00,Machine 9,Participant 32,133
2021-08-13 00:00:00,Machine 5,Participant 14,150
2021-10-09 00:00:00,Machine 7,Participant 41,120
2021-09-29 00:00:00,Machine 8,Participant 69,152
2021-08-18 00:00:00,Machine 6,Participant 32,123
2021-09-20 00:00:00,Machine 3,Participant 23,154
2021-11-23 00:00:00,Machine 3,Participant 52,121
2021-11-08 00:00:00,Machine 9,Participant 63,108
2021-09-25 00:00:00,Machine 7,Participant 12,134
2021-10-26 00:00:00,Machine 10,Participant 63,114
2021-08-15 00:00:00,Machine 9,Participant 47,150
2021-09-12 00:00:00,Machine 4,Participant 48,132
2021-08-10 00:00:00,Machine 9,Participant 28,154
2021-08-20 00:00:00,Machine 7,Participant 5,135
2021-11-15 00:00:00,Machine 8,Participant 33,124
2021-09-11 00:00:00,Machine 10,Participant 53,123
2021-10-04 00:00:00,Machine 8,Participant 64,168
2021-08-02 00:00:00,Machine 10,Participant 2,158
2021-09-01 00:00:00,Machine 1,Participant 10,153
2021-11-08 00:00:00,Machine 6,Participant 54,131
2021-10-01 00:00:00,Machine 3,Participant 47,135
2021-11-07 00:00:00,Machine 3,Participant 28,133
2021-09-10 00:00:00,Machine 9,Participant 47,173
2021-09-19 00:00:00,Machine 3,Participant 45,156
2021-10-25 00:00:00,Machine 1,Participant 13,158
2021-08-12 00:00:00,Machine 7,Participant 59,129
2021-08-26 00:00:00,Machine 5,Participant 26,157
2021-08-26 00:00:00,Machine 1,Participant 39,158
2021-09-29 00:00:00,Machine 6,Participant 21,132
2021-08-31 00:00:00,Machine 5,Participant 36,154
2021-08-05 00:00:00,Machine 10,Participant 3,160
2021-11-08 00:00:00,Machine 10,Participant 8,133
2021-10-12 00:00:00,Machine 9,Participant 68,119
2021-10-23 00:00:00,Machine 8,Participant 21,134
2021-08-29 00:00:00,Machine 1,Participant 9,111
2021-11-01 00:00:00,Machine 4,Participant 23,166
2021-10-09 00:00:00,Machine 4,Participant 1,126
2021-11-07 00:00:00,Machine 3,Participant 17,137
2021-10-14 00:00:00,Machine 1,Participant 43,166
2021-08-24 00:00:00,Machine 10,Participant 47,126
2021-11-08 00:00:00,Machine 1,Participant 21,148
2021-09-11 00:00:00,Machine 6,Participant 54,143
2021-09-22 00:00:00,Machine 6,Participant 39,171
2021-08-29 00:00:00,Machine 7,Participant 15,143
2021-11-26 00:00:00,Machine 9,Participant 68,136
2021-11-23 00:00:00,Machine 1,Participant 40,170
2021-11-23 00:00:00,Machine 9,Participant 2,136
2021-08-16 00:00:00,Machine 4,Participant 9,149
2021-09-20 00:00:00,Machine 6,Participant 67,134
2021-10-14 00:00:00,Machine 9,Participant 22,156
2021-09-22 00:00:00,Machine 4,Participant 61,158
2021-08-24 00:00:00,Machine 4,Participant 68,123
2021-08-17 00:00:00,Machine 6,Participant 13,147
2021-09-03 00:00:00,Machine 4,Participant 67,140
2021-08-31 00:00:00,Machine 5,Participant 23,134
2021-09-30 00:00:00,Machine 1,Participant 17,159
2021-10-01 00:00:00,Machine 7,Participant 44,114
2021-09-30 00:00:00,Machine 4,Participant 37,139
2021-11-05 00:00:00,Machine 7,Participant 15,132
2021-09-08 00:00:00,Machine 8,Participant 21,126
2021-09-30 00:00:00,Machine 10,Participant 62,136
2021-09-30 00:00:00,Machine 9,Participant 37,134
2021-10-31 00:00:00,Machine 3,Participant 27,158
2021-08-23 00:00:00,Machine 1,Participant 45,112
2021-11-02 00:00:00,Machine 4,Participant 1,133
2021-11-04 00:00:00,Machine 6,Participant 5,150
2021-09-01 00:00:00,Machine 6,Participant 1,146
2021-10-04 00:00:00,Machine 6,Participant 47,151
2021-08-22 00:00:00,Machine 7,Participant 10,130
2021-10-21 00:00:00,Machine 6,Participant 45,164
2021-08-10 00:00:00,Machine 2,Participant 1,159
2021-10-11 00:00:00,Machine 5,Participant 17,141
2021-11-19 00:00:00,Machine 6,Participant 4,124
2021-10-26 00:00:00,Machine 2,Participant 20,135
2021-09-19 00:00:00,Machine 1,Participant 33,167
2021-09-14 00:00:00,Machine 3,Participant 4,151
2021-09-06 00:00:00,Machine 4,Participant 64,141
2021-08-16 00:00:00,Machine 1,Participant 52,162
2021-08-04 00:00:00,Machine 2,Participant 32,155
2021-09-24 00:00:00,Machine 3,Participant 20,133
2021-11-05 00:00:00,Machine 8,Participant 58,126
2021-11-15 00:00:00,Machine 9,Participant 20,158
2021-09-07 00:00:00,Machine 4,Participant 59,136
2021-11-15 00:00:00,Machine 7,Participant 39,157
2021-11-10 00:00:00,Machine 7,Participant 15,176
2021-09-28 00:00:00,Machine 1,Participant 55,117
2021-09-20 00:00:00,Machine 8,Participant 38,149
2021-11-23 00:00:00,Machine 7,Participant 26,147
2021-08-22 00:00:00,Machine 2,Participant 45,115
2021-11-26 00:00:00,Machine 5,Participant 9,119
2021-08-03 00:00:00,Machine 6,Participant 63,149
2021-10-27 00:00:00,Machine 9,Participant 58,158
2021-10-09 00:00:00,Machine 6,Participant 13,121
2021-10-12 00:00:00,Machine 2,Participant 59,144
2021-08-25 00:00:00,Machine 6,Participant 3,139
2021-08-08 00:00:00,Machine 6,Participant 56,111
2021-08-10 00:00:00,Machine 1,Participant 58,115
2021-08-22 00:00:00,Machine 3,Participant 19,130
2021-08-16 00:00:00,Machine 4,Participant 16,149
2021-08-29 00:00:00,Machine 6,Participant 9,136
2021-11-01 00:00:00,Machine 10,Participant 52,162
2021-10-10 00:00:00,Machine 3,Participant 37,175
2021-11-14 00:00:00,Machine 10,Participant 69,112
2021-08-24 00:00:00,Machine 3,Participant 31,121
2021-09-14 00:00:00,Machine 7,Participant 38,149
2021-09-29 00:00:00,Machine 9,Participant 24,129
2021-10-31 00:00:00,Machine 8,Participant 68,113
2021-08-26 00:00:00,Machine 6,Participant 69,154
2021-11-25 00:00:00,Machine 5,Participant 65,119
2021-11-17 00:00:00,Machine 2,Participant 44,162
2021-11-10 00:00:00,Machine 3,Participant 9,136
2021-09-20 00:00:00,Machine 4,Participant 31,131
2021-10-25 00:00:00,Machine 9,Participant 46,167
2021-08-26 00:00:00,Machine 8,Participant 40,134
2021-11-25 00:00:00,Machine 5,Participant 52,138
2021-09-11 00:00:00,Machine 6,Participant 64,144
2021-09-22 00:00:00,Machine 4,Participant 15,124
2021-10-06 00:00:00,Machine 8,Participant 49,158
2021-09-13 00:00:00,Machine 1,Participant 19,142
2021-11-04 00:00:00,Machine 4,Participant 68,112
2021-11-26 00:00:00,Machine 8,Participant 1,160
2021-11-12 00:00:00,Machine 10,Participant 46,153
2021-10-23 00:00:00,Machine 8,Participant 49,167
2021-11-22 00:00:00,Machine 6,Participant 53,128
2021-11-24 00:00:00,Machine 8,Participant 27,179
2021-10-13 00:00:00,Machine 2,Participant 1,122
2021-09-27 00:00:00,Machine 4,Participant 47,171
2021-09-03 00:00:00,Machine 10,Participant 17,167
2021-11-26 00:00:00,Machine 3,Participant 31,141
2021-09-07 00:00:00,Machine 3,Participant 49,143
2021-09-22 00:00:00,Machine 1,Participant 26,157
2021-10-17 00:00:00,Machine 7,Participant 6,155
2021-09-03 00:00:00,Machine 2,Participant 41,133
2021-08-10 00:00:00,Machine 4,Participant 35,165
2021-10-30 00:00:00,Machine 7,Participant 43,165
2021-11-16 00:00:00,Machine 7,Participant 56,170
2021-11-03 00:00:00,Machine 9,Participant 47,154
2021-10-25 00:00:00,Machine 6,Participant 62,151
2021-11-28 00:00:00,Machine 10,Participant 7,155
2021-08-17 00:00:00,Machine 3,Participant 23,162
2021-08-27 00:00:00,Machine 3,Participant 46,123
2021-11-18 00:00:00,Machine 5,Participant 41,152
2021-11-02 00:00:00,Machine 10,Participant 26,118
2021-08-16 00:00:00,Machine 3,Participant 30,159
2021-10-07 00:00:00,Machine 10,Participant 54,135
2021-11-24 00:00:00,Machine 8,Participant 60,149
2021-08-22 00:00:00,Machine 3,Participant 36,162
2021-10-04 00:00:00,Machine 10,Participant 20,125
2021-10-07 00:00:00,Machine 2,Participant 36,125
2021-08-10 00:00:00,Machine 1,Participant 12,125
2021-09-16 00:00:00,Machine 6,Participant 63,118
2021-10-30 00:00:00,Machine 3,Participant 37,143
2021-09-25 00:00:00,Machine 6,Participant 60,144
2021-10-31 00:00:00,Machine 6,Participant 66,145
2021-10-29 00:00:00,Machine 4,Participant 39,124
2021-10-13 00:00:00,Machine 6,Participant 21,139
2021-11-28 00:00:00,Machine 9,Participant 62,170
2021-09-09 00:00:00,Machine 8,Participant 20,143
2021-09-17 00:00:00,Machine 4,Participant 57,130
2021-11-27 00:00:00,Machine 8,Participant 58,136
2021-09-13 00:00:00,Machine 2,Participant 26,164
2021-08-14 00:00:00,Machine 7,Participant 63,146
2021-11-24 00:00:00,Machine 9,Participant 55,152
2021-09-07 00:00:00,Machine 4,Participant 13,140
2021-11-06 00:00:00,Machine 6,Participant 5,134
2021-08-22 00:00:00,Machine 4,Participant 32,160
2021-09-27 00:00:00,Machine 9,Participant 59,162
2021-09-12 00:00:00,Machine 4,Participant 4,111
2021-11-02 00:00:00,Machine 4,Participant 22,114
2021-08-20 00:00:00,Machine 2,Participant 36,140
2021-11-22 00:00:00,Machine 5,Participant 39,166
2021-10-05 00:00:00,Machine 3,Participant 13,126
2021-11-25 00:00:00,Machine 10,Participant 48,167
2021-09-14 00:00:00,Machine 8,Participant 17,148
2021-10-18 00:00:00,Machine 2,Participant 9,135
2021-08-22 00:00:00,Machine 4,Participant 25,163
2021-09-19 00:00:00,Machine 5,Participant 7,146
2021-11-06 00:00:00,Machine 2,Participant 22,150
2021-09-19 00:00:00,Machine 6,Participant 15,126
2021-09-12 00:00:00,Machine 7,Participant 9,158
2021-10-19 00:00:00,Machine 6,Participant 27,155
2021-09-01 00:00:00,Machine 5,Participant 68,133
2021-10-12 00:00:00,Machine 6,Participant 3,115
2021-09-13 00:00:00,Machine 5,Participant 8,135
2021-11-22 00:00:00,Machine 6,Participant 18,159
2021-11-12 00:00:00,Machine 6,Participant 54,166
2021-11-22 00:00:00,Machine 1,Participant 51,129
2021-11-06 00:00:00,Machine 3,Participant 63,124
2021-09-13 00:00:00,Machine 8,Participant 51,126
2021-10-04 00:00:00,Machine 9,Participant 36,154
2021-10-06 00:00:00,Machine 6,Participant 41,142
2021-08-17 00:00:00,Machine 6,Participant 39,161
2021-10-25 00:00:00,Machine 7,Participant 7,143
2021-10-05 00:00:00,Machine 1,Participant 48,131
2021-08-05 00:00:00,Machine 1,Participant 59,124
2021-08-16 00:00:00,Machine 9,Participant 23,160
2021-11-26 00:00:00,Machine 6,Participant 25,130
2021-08-31 00:00:00,Machine 6,Participant 17,157
2021-10-03 00:00:00,Machine 2,Participant 68,133
2021-11-23 00:00:00,Machine 6,Participant 35,152
2021-08-09 00:00:00,Machine 6,Participant 61,125
2021-09-27 00:00:00,Machine 7,Participant 43,133
2021-09-25 00:00:00,Machine 6,Participant 36,120
2021-11-23 00:00:00,Machine 10,Participant 66,120
2021-09-07 00:00:00,Machine 3,Participant 9,129
2021-08-21 00:00:00,Machine 1,Participant 66,151
2021-09-08 00:00:00,Machine 2,Participant 52,139
2021-10-22 00:00:00,Machine 2,Participant 42,150
2021-09-27 00:00:00,Machine 7,Participant 3,122
2021-09-06 00:00:00,Machine 6,Participant 34,131
2021-08-11 00:00:00,Machine 1,Participant 42,122
2021-08-09 00:00:00,Machine 7,Participant 49,155
2021-08-08 00:00:00,Machine 4,Participant 55,118
