Inventory 1,,,,,,,,Inventory 2,,,,,,,,Inventory 3,,,,,,,,,,,,,,
Item,Description,Unit,Cost,,,,,Description,Item,Unit,Cost,,,,,Item,450701238,450818976,450818977,450800832,450801110,450800175,424582395,424570573,450812520,424504541,424572731,424560033,424562533,450802490
450814332,CUCHARA GHERARDI FORJ N. 6,PZ,1.04,,,,,CUCHARA GHERARDI FORJ N. 6,450814332,PZ,1.04,,,,,,,,,,,,,,,,,,,
450800316,DESTAPACAÃ‘ERIA CINTA ACERO 20 MT,PZ,1.13,,,,,DESTAPACAÃ‘ERIA CINTA ACERO 20 MT,450800316,PZ,1.13,,,,,,,,,,,,,,,,,,,
450804512,MECHA EZETA COLA CONICA  7.50 MM,PZ,1.22,,,,,MECHA EZETA COLA CONICA  7.50 MM,450804512,PZ,1.22,,,,,,,,,,,,,,,,,,,
450812933,MECHA FIBRA DE VIDRIO 10.2 MM,PZ,1.25,,,,,MECHA FIBRA DE VIDRIO 10.2 MM,450812933,PZ,1.25,,,,,,,,,,,,,,,,,,,
424581756,MENSULA DOBLE NEGRA  570 MM,PZ,1.29,,,,,MENSULA DOBLE NEGRA  570 MM,424581756,PZ,1.29,,,,,,,,,,,,,,,,,,,
424561778,MENSULA DOBLE ECO BLANCA 370 MM,PZ,1.31,,,,,MENSULA DOBLE ECO BLANCA 370 MM,424561778,PZ,1.31,,,,,,,,,,,,,,,,,,,
424575454,MARTILLO 2240 CHAPISTA DIAM 40,PZ,1.32,,,,,MARTILLO 2240 CHAPISTA DIAM 40,424575454,PZ,1.32,,,,,,,,,,,,,,,,,,,
424572860,BIS T/MUNICION C/AGUJ PUL  100x75,PZ,1.35,,,,,BIS T/MUNICION C/AGUJ PUL  100x75,424572860,PZ,1.35,,,,,,,,,,,,,,,,,,,
424560978,MECHA EZETA WIDIA BOSCH  8 x 460 MM,PZ,1.42,,,,,MECHA EZETA WIDIA BOSCH  8 x 460 MM,424560978,PZ,1.42,,,,,,,,,,,,,,,,,,,
424560199,LIJA AA GOLD 24K  G.180,PZ,1.58,,,,,LIJA AA GOLD 24K  G.180,424560199,PZ,1.58,,,,,,,,,,,,,,,,,,,
450800669,MENSULA DOBLE BLANCA 270 MM,PZ,1.61,,,,,MENSULA DOBLE BLANCA 270 MM,450800669,PZ,1.61,,,,,,,,,,,,,,,,,,,
424560260,CLAVO CAJ PULIDO FRACC  17- 75,PZ,1.74,,,,,CLAVO CAJ PULIDO FRACC  17- 75,424560260,PZ,1.74,,,,,,,,,,,,,,,,,,,
450811958,LIJA AA FENOB G. 80   120 x 45000,PZ,1.76,,,,,LIJA AA FENOB G. 80   120 x 45000,450811958,PZ,1.76,,,,,,,,,,,,,,,,,,,
464502648,MECHA EZETA COLA CONICA 24.50 MM,PZ,1.77,,,,,MECHA EZETA COLA CONICA 24.50 MM,464502648,PZ,1.77,,,,,,,,,,,,,,,,,,,
450802605,LLANA VOSS 2000 PLASTICA  6 x  6,PZ,1.84,,,,,LLANA VOSS 2000 PLASTICA  6 x  6,450802605,PZ,1.84,,,,,,,,,,,,,,,,,,,
424580280,PALA GHERARDI FORJ POCERA ESCOC C/C,PZ,1.88,,,,,PALA GHERARDI FORJ POCERA ESCOC C/C,424580280,PZ,1.88,,,,,,,,,,,,,,,,,,,
450905532,CADENA P/PERRO N.11 LARGO 1.40 MT,PZ,1.88,,,,,CADENA P/PERRO N.11 LARGO 1.40 MT,450905532,PZ,1.88,,,,,,,,,,,,,,,,,,,
450905533,CADENA P/PERRO N.10 LARGO 1.40 MT,PZ,1.88,,,,,CADENA P/PERRO N.10 LARGO 1.40 MT,450905533,PZ,1.88,,,,,,,,,,,,,,,,,,,
424595752,PICO GHERARDI PTA-PALA  75 MM,PZ,1.97,,,,,PICO GHERARDI PTA-PALA  75 MM,424595752,PZ,1.97,,,,,,,,,,,,,,,,,,,
450800178,GRAMPA PRENSA CABLE GALV   5/8,PZ,1.97,,,,,GRAMPA PRENSA CABLE GALV   5/8,450800178,PZ,1.97,,,,,,,,,,,,,,,,,,,
450813672,MACHO URANGA A/RAPIDO NF     6 x 40,PZ,2.01,,,,,MACHO URANGA A/RAPIDO NF     6 x 40,450813672,PZ,2.01,,,,,,,,,,,,,,,,,,,
464502587,RIEGO LLUVIA  ACOPLE ESPIGA,PZ,2.03,,,,,RIEGO LLUVIA  ACOPLE ESPIGA,464502587,PZ,2.03,,,,,,,,,,,,,,,,,,,
450806145,MECHA EZETA COLA CONICA 34.25 MM,PZ,2.17,,,,,MECHA EZETA COLA CONICA 34.25 MM,450806145,PZ,2.17,,,,,,,,,,,,,,,,,,,
450810672,MECHA BIASSONI P T E  5/16  LARGA,PZ,2.18,,,,,MECHA BIASSONI P T E  5/16  LARGA,450810672,PZ,2.18,,,,,,,,,,,,,,,,,,,
450811951,BANDA AA TELA  75x533 O/A MAD G.120,PZ,2.2,,,,,BANDA AA TELA  75x533 O/A MAD G.120,450811951,PZ,2.2,,,,,,,,,,,,,,,,,,,
450800822,MALLA ACINDAR 50x 50x2.6MM 1.2x24MT,PZ,2.23,,,,,MALLA ACINDAR 50x 50x2.6MM 1.2x24MT,450800822,PZ,2.23,,,,,,,,,,,,,,,,,,,
450811781,PICO GHERARDI PTA-PALA  62 MM,PZ,2.23,,,,,PICO GHERARDI PTA-PALA  62 MM,450811781,PZ,2.23,,,,,,,,,,,,,,,,,,,
424562201,MENSULA DOBLE ECO BLANCA 170 MM,PZ,2.25,,,,,MENSULA DOBLE ECO BLANCA 170 MM,424562201,PZ,2.25,,,,,,,,,,,,,,,,,,,
450812628,MECHA EZETA COLA CONICA  8.00 MM,PZ,2.26,,,,,MECHA EZETA COLA CONICA  8.00 MM,450812628,PZ,2.26,,,,,,,,,,,,,,,,,,,
424563350,LIJA AA GOLD 24K  G.150,PZ,2.3,,,,,LIJA AA GOLD 24K  G.150,424563350,PZ,2.3,,,,,,,,,,,,,,,,,,,
450905534,ROLDANA CHAPA GALV 25 MM,PZ,2.31,,,,,ROLDANA CHAPA GALV 25 MM,450905534,PZ,2.31,,,,,,,,,,,,,,,,,,,
450905535,MAQ HORMIGONERA RTO-TAMBOR C/R,PZ,2.31,,,,,MAQ HORMIGONERA RTO-TAMBOR C/R,450905535,PZ,2.31,,,,,,,,,,,,,,,,,,,
450814096,GANCHO J P/GALPON COMP 1/4 x 100 MM,PZ,2.33,,,,,GANCHO J P/GALPON COMP 1/4 x 100 MM,450814096,PZ,2.33,,,,,,,,,,,,,,,,,,,
450813518,MACHO URANGA A/ALEADO NC  3/4  x 10,PZ,2.34,,,,,MACHO URANGA A/ALEADO NC  3/4  x 10,450813518,PZ,2.34,,,,,,,,,,,,,,,,,,,
450814075,SIFON P/BACHA SIMPLE DIAM 50 MM,PZ,2.34,,,,,SIFON P/BACHA SIMPLE DIAM 50 MM,450814075,PZ,2.34,,,,,,,,,,,,,,,,,,,
464502668,MACHO URANGA A/RAPIDO NF     8 x 36,PZ,2.35,,,,,MACHO URANGA A/RAPIDO NF     8 x 36,464502668,PZ,2.35,,,,,,,,,,,,,,,,,,,
450800648,MENSULA DOBLE BLANCA 570 MM,PZ,2.36,,,,,MENSULA DOBLE BLANCA 570 MM,450800648,PZ,2.36,,,,,,,,,,,,,,,,,,,
450801828,MECHA EZETA COLA CONICA 35.25 MM,PZ,2.44,,,,,MECHA EZETA COLA CONICA 35.25 MM,450801828,PZ,2.44,,,,,,,,,,,,,,,,,,,
424581721,ALAMB REC NEGRO N.12 2.64 MM,PZ,2.45,,,,,ALAMB REC NEGRO N.12 2.64 MM,424581721,PZ,2.45,,,,,,,,,,,,,,,,,,,
450802774,CLAVO P/PARIS FRACC  2 1/2,PZ,2.46,,,,,CLAVO P/PARIS FRACC  2 1/2,450802774,PZ,2.46,,,,,,,,,,,,,,,,,,,
450803608,TOR P/MECHA C/FIJAD-PHIL  6 x   3/8,PZ,2.53,,,,,TOR P/MECHA C/FIJAD-PHIL  6 x   3/8,450803608,PZ,2.53,,,,,,,,,,,,,,,,,,,
450803190,TOR P/MECHA C/FIJAD-PHIL 10 x 1 1/4,PZ,2.58,,,,,TOR P/MECHA C/FIJAD-PHIL 10 x 1 1/4,450803190,PZ,2.58,,,,,,,,,,,,,,,,,,,
450813521,PALA GHERARDI T/CAMPING,PZ,2.58,,,,,PALA GHERARDI T/CAMPING,450813521,PZ,2.58,,,,,,,,,,,,,,,,,,,
450810567,CABALLETE TELESCOPICO HASTA 2 MT,PZ,2.6,,,,,CABALLETE TELESCOPICO HASTA 2 MT,450810567,PZ,2.6,,,,,,,,,,,,,,,,,,,
450804356,SELLADOR S-28 SILIC BLANCO  50 GR,PZ,2.7,,,,,SELLADOR S-28 SILIC BLANCO  50 GR,450804356,PZ,2.7,,,,,,,,,,,,,,,,,,,
450804547,MECHA EZETA COLA CONICA  7.75 MM,PZ,2.74,,,,,MECHA EZETA COLA CONICA  7.75 MM,450804547,PZ,2.74,,,,,,,,,,,,,,,,,,,
450811956,BANDA AA TELA  75x533 O/A MAD G. 80,PZ,2.74,,,,,BANDA AA TELA  75x533 O/A MAD G. 80,450811956,PZ,2.74,,,,,,,,,,,,,,,,,,,
450812888,MACHO URANGA A/ALEADO NF  5/8  x 18,RL,2.75,,,,,MACHO URANGA A/ALEADO NF  5/8  x 18,450812888,RL,2.75,,,,,,,,,,,,,,,,,,,
450801211,MECHA EZETA COLA CONICA 23.00 MM,PZ,2.8,,,,,MECHA EZETA COLA CONICA 23.00 MM,450801211,PZ,2.8,,,,,,,,,,,,,,,,,,,
450814626,CLAVO PUNTA PARIS 1      x 20 KG,PZ,2.8,,,,,CLAVO PUNTA PARIS 1      x 20 KG,450814626,PZ,2.8,,,,,,,,,,,,,,,,,,,
424585821,MECHA EZETA CILIND TITANIO 10.75 MM,PZ,2.84,,,,,MECHA EZETA CILIND TITANIO 10.75 MM,424585821,PZ,2.84,,,,,,,,,,,,,,,,,,,
450813581,MECHA EZETA COLA CONICA 18.50 MM,PZ,2.85,,,,,MECHA EZETA COLA CONICA 18.50 MM,450813581,PZ,2.85,,,,,,,,,,,,,,,,,,,
424588529,TENDEDERO EXTENS 9 V  45 CM,PZ,2.86,,,,,TENDEDERO EXTENS 9 V  45 CM,424588529,PZ,2.86,,,,,,,,,,,,,,,,,,,
450812146,MECHA EZETA COLA CONICA  6.75 MM,PZ,2.89,,,,,MECHA EZETA COLA CONICA  6.75 MM,450812146,PZ,2.89,,,,,,,,,,,,,,,,,,,
424590713,MECHA EZETA DOBLE PUNTA 5.10 MM,PZ,2.91,,,,,MECHA EZETA DOBLE PUNTA 5.10 MM,424590713,PZ,2.91,,,,,,,,,,,,,,,,,,,
450801209,SOGA ELASTICA 6 MM,PZ,2.91,,,,,SOGA ELASTICA 6 MM,450801209,PZ,2.91,,,,,,,,,,,,,,,,,,,
450801210,MECHA NEIKE WIDIA LARGA 250  6 MM,PZ,2.91,,,,,MECHA NEIKE WIDIA LARGA 250  6 MM,450801210,PZ,2.91,,,,,,,,,,,,,,,,,,,
450801938,ELECTRODO ESAB P/AZUL 3.25 MM,PZ,2.95,,,,,ELECTRODO ESAB P/AZUL 3.25 MM,450801938,PZ,2.95,,,,,,,,,,,,,,,,,,,
450810826,ROLDANA CHAPA GALV 50 MM,PZ,2.97,,,,,ROLDANA CHAPA GALV 50 MM,450810826,PZ,2.97,,,,,,,,,,,,,,,,,,,
450814105,TELA MOSQ ALUM UNIV 1.22 x 30.0 MT,PZ,3.01,,,,,TELA MOSQ ALUM UNIV 1.22 x 30.0 MT,450814105,PZ,3.01,,,,,,,,,,,,,,,,,,,
450813306,CLAVO PUNTA PARIS 1 1/2  x 20 KG,PZ,3.07,,,,,CLAVO PUNTA PARIS 1 1/2  x 20 KG,450813306,PZ,3.07,,,,,,,,,,,,,,,,,,,
424582271,CADENA P/PERRO N.17 LARGO 1.70 MT,PZ,3.09,,,,,CADENA P/PERRO N.17 LARGO 1.70 MT,424582271,PZ,3.09,,,,,,,,,,,,,,,,,,,
450813497,VIRUTA ACERO MEDIANA x 330 GR,PZ,3.11,,,,,VIRUTA ACERO MEDIANA x 330 GR,450813497,PZ,3.11,,,,,,,,,,,,,,,,,,,
450802711,ABRAZ A/INOXIDABLE 5506 12 - 16 MM,PZ,3.12,,,,,ABRAZ A/INOXIDABLE 5506 12 - 16 MM,450802711,PZ,3.12,,,,,,,,,,,,,,,,,,,
450801213,GRAMPA P/CAJONERO 14-20,PZ,3.17,,,,,GRAMPA P/CAJONERO 14-20,450801213,PZ,3.17,,,,,,,,,,,,,,,,,,,
450810706,CABLE CORDON  1.8 MM 1 x 19 BICI,PZ,3.19,,,,,CABLE CORDON  1.8 MM 1 x 19 BICI,450810706,PZ,3.19,,,,,,,,,,,,,,,,,,,
450817150,TOR P/MECHA C/FIJAD-PHIL 10 x 1 1/2,PZ,3.2,,,,,TOR P/MECHA C/FIJAD-PHIL 10 x 1 1/2,450817150,PZ,3.2,,,,,,,,,,,,,,,,,,,
413050011,CLAVO CAJ PULIDO FRACC  12- 35,PZ,3.23,,,,,CLAVO CAJ PULIDO FRACC  12- 35,413050011,PZ,3.23,,,,,,,,,,,,,,,,,,,
424596137,MACHETE GHERARDI N.14  355 MM,PZ,3.3,,,,,MACHETE GHERARDI N.14  355 MM,424596137,PZ,3.3,,,,,,,,,,,,,,,,,,,
424560356,MECHA EZETA CILIND TITANIO  4.75 MM,PZ,3.33,,,,,MECHA EZETA CILIND TITANIO  4.75 MM,424560356,PZ,3.33,,,,,,,,,,,,,,,,,,,
424590714,MECHA EZETA WIDIA CORTA 25 MM,PZ,3.39,,,,,MECHA EZETA WIDIA CORTA 25 MM,424590714,PZ,3.39,,,,,,,,,,,,,,,,,,,
450812359,GRAMPA PRENSA CABLE GALV   3/4,MT,3.42,,,,,GRAMPA PRENSA CABLE GALV   3/4,450812359,MT,3.42,,,,,,,,,,,,,,,,,,,
450805555,GUANTE LATEX P/CORTO  8 1/2,PZ,3.45,,,,,GUANTE LATEX P/CORTO  8 1/2,450805555,PZ,3.45,,,,,,,,,,,,,,,,,,,
450802863,CEPILLO ACERO CIRCULAR  7x1,PZ,3.58,,,,,CEPILLO ACERO CIRCULAR  7x1,450802863,PZ,3.58,,,,,,,,,,,,,,,,,,,
450804355,BROCA MANUAL UR14 1/4,PZ,3.59,,,,,BROCA MANUAL UR14 1/4,450804355,PZ,3.59,,,,,,,,,,,,,,,,,,,
500000964,MECHA MAX PLANA P/MAD 1  1/4,PZ,3.62,,,,,MECHA MAX PLANA P/MAD 1  1/4,500000964,PZ,3.62,,,,,,,,,,,,,,,,,,,
450812484,MECHA EZETA COLA CONICA 29.75 MM,PZ,3.69,,,,,MECHA EZETA COLA CONICA 29.75 MM,450812484,PZ,3.69,,,,,,,,,,,,,,,,,,,
424582668,GANCHO P/CAÃ‘O ESTRUCT 30 x 100,BA,3.73,,,,,GANCHO P/CAÃ‘O ESTRUCT 30 x 100,424582668,BA,3.73,,,,,,,,,,,,,,,,,,,
450814104,SEMILLA REFORZADA N. 7,PZ,3.74,,,,,SEMILLA REFORZADA N. 7,450814104,PZ,3.74,,,,,,,,,,,,,,,,,,,
500000961,MECHA MAX PLANA P/MAD    5/8,PZ,3.76,,,,,MECHA MAX PLANA P/MAD    5/8,500000961,PZ,3.76,,,,,,,,,,,,,,,,,,,
500000962,MECHA MAX PLANA P/MAD 1  1/2,PZ,3.76,,,,,MECHA MAX PLANA P/MAD 1  1/2,500000962,PZ,3.76,,,,,,,,,,,,,,,,,,,
500000963,MECHA MAX PLANA P/MAD 1  3/8,PZ,3.76,,,,,MECHA MAX PLANA P/MAD 1  3/8,500000963,PZ,3.76,,,,,,,,,,,,,,,,,,,
450801074,TIJERA GHERARDI CORTA PERNOS 30,PZ,3.8,,,,,TIJERA GHERARDI CORTA PERNOS 30,450801074,PZ,3.8,,,,,,,,,,,,,,,,,,,
450814042,MAQ ZONTA RTO-TRAZADOR,PZ,3.84,,,,,MAQ ZONTA RTO-TRAZADOR,450814042,PZ,3.84,,,,,,,,,,,,,,,,,,,
450802475,DISCO AA GOLD    6 PERF 154  G.220,PZ,3.87,,,,,DISCO AA GOLD    6 PERF 154  G.220,450802475,PZ,3.87,,,,,,,,,,,,,,,,,,,
450810878,POLIET SIXCOM 2 x 100 x 100 NEGRO,PZ,3.91,,,,,POLIET SIXCOM 2 x 100 x 100 NEGRO,450810878,PZ,3.91,,,,,,,,,,,,,,,,,,,
413050019,CLAVO CAJ PULIDO FRACC  12- 28,PZ,3.94,,,,,CLAVO CAJ PULIDO FRACC  12- 28,413050019,PZ,3.94,,,,,,,,,,,,,,,,,,,
450812887,TOR P/MECHA C/FIJAD-PHIL  8 x 1 1/4,RL,3.97,,,,,TOR P/MECHA C/FIJAD-PHIL  8 x 1 1/4,450812887,RL,3.97,,,,,,,,,,,,,,,,,,,
424582126,COLLAR SUELA N.21 LISO - 46 CM,PZ,4.03,,,,,COLLAR SUELA N.21 LISO - 46 CM,424582126,PZ,4.03,,,,,,,,,,,,,,,,,,,
424582170,ALAMB REC NEGRO N.18 1.22 MM,PZ,4.05,,,,,ALAMB REC NEGRO N.18 1.22 MM,424582170,PZ,4.05,,,,,,,,,,,,,,,,,,,
450800824,TENDEDERO T/CALESITA C/BASE CEMENTO,PZ,4.06,,,,,TENDEDERO T/CALESITA C/BASE CEMENTO,450800824,PZ,4.06,,,,,,,,,,,,,,,,,,,
450817147,GANCHO CONTRA VIENTO 27 - 210 x 10,PZ,4.06,,,,,GANCHO CONTRA VIENTO 27 - 210 x 10,450817147,PZ,4.06,,,,,,,,,,,,,,,,,,,
450801827,MECHA EZETA COLA CONICA 33.50 MM,PZ,4.07,,,,,MECHA EZETA COLA CONICA 33.50 MM,450801827,PZ,4.07,,,,,,,,,,,,,,,,,,,
450812625,MECHA EZETA WIDIA BOSCH 18 x 460 MM,PZ,4.08,,,,,MECHA EZETA WIDIA BOSCH 18 x 460 MM,450812625,PZ,4.08,,,,,,,,,,,,,,,,,,,
450811648,CLAVO CAJ PULIDO 13- 40 x 30 KG,PQ,4.12,,,,,CLAVO CAJ PULIDO 13- 40 x 30 KG,450811648,PQ,4.12,,,,,,,,,,,,,,,,,,,
450905817,CLAVO ESCUADRA PUL 16 -  35,PZ,4.13,,,,,CLAVO ESCUADRA PUL 16 -  35,450905817,PZ,4.13,,,,,,,,,,,,,,,,,,,
450800823,TENDEDERO PIE PLEG 8 V ALAMB SIMPLE,PZ,4.14,,,,,TENDEDERO PIE PLEG 8 V ALAMB SIMPLE,450800823,PZ,4.14,,,,,,,,,,,,,,,,,,,
450812629,MECHA EZETA COLA CONICA  7.00 MM,PZ,4.16,,,,,MECHA EZETA COLA CONICA  7.00 MM,450812629,PZ,4.16,,,,,,,,,,,,,,,,,,,
450811256,CABLE CORDON  2.5 MM 1 x 19,HJ,4.17,,,,,CABLE CORDON  2.5 MM 1 x 19,450811256,HJ,4.17,,,,,,,,,,,,,,,,,,,
450803779,TOR P/MECHA C/FIJAD-PHIL 10 x 1,PZ,4.19,,,,,TOR P/MECHA C/FIJAD-PHIL 10 x 1,450803779,PZ,4.19,,,,,,,,,,,,,,,,,,,
450812648,MECHA EZETA COLA CONICA 10.75 MM,PZ,4.21,,,,,MECHA EZETA COLA CONICA 10.75 MM,450812648,PZ,4.21,,,,,,,,,,,,,,,,,,,
450813516,GRILLETE FORJ GALV   3/4  x   7/8,PZ,4.23,,,,,GRILLETE FORJ GALV   3/4  x   7/8,450813516,PZ,4.23,,,,,,,,,,,,,,,,,,,
424560466,CABLE ACERO  4.0 MM 6 x  7+1,PZ,4.26,,,,,CABLE ACERO  4.0 MM 6 x  7+1,424560466,PZ,4.26,,,,,,,,,,,,,,,,,,,
450805556,CORTAFRIO GHERARDI HEXAG 18-21 300,PZ,4.28,,,,,CORTAFRIO GHERARDI HEXAG 18-21 300,450805556,PZ,4.28,,,,,,,,,,,,,,,,,,,
450802775,MARTILLO 2227 CHAPISTA DIAM 27,PZ,4.31,,,,,MARTILLO 2227 CHAPISTA DIAM 27,450802775,PZ,4.31,,,,,,,,,,,,,,,,,,,
450800766,PITON S/TOPE CERRADO P/TACO  4 x100,PZ,4.33,,,,,PITON S/TOPE CERRADO P/TACO  4 x100,450800766,PZ,4.33,,,,,,,,,,,,,,,,,,,
450812342,CINTA TEFLON    1/2 x 20 MT,PZ,4.34,,,,,CINTA TEFLON    1/2 x 20 MT,450812342,PZ,4.34,,,,,,,,,,,,,,,,,,,
450813110,CLAVO ESCUADRA PUL 21 -  60,PZ,4.37,,,,,CLAVO ESCUADRA PUL 21 -  60,450813110,PZ,4.37,,,,,,,,,,,,,,,,,,,
450813688,MACHO URANGA A/RAPIDO NF     5 x 44,PZ,4.4,,,,,MACHO URANGA A/RAPIDO NF     5 x 44,450813688,PZ,4.4,,,,,,,,,,,,,,,,,,,
450804513,MECHA EZETA COLA CONICA 19.50 MM,PZ,4.42,,,,,MECHA EZETA COLA CONICA 19.50 MM,450804513,PZ,4.42,,,,,,,,,,,,,,,,,,,
450805672,LLANA VOSS 2000 PLASTICA  9 x  9,PZ,4.45,,,,,LLANA VOSS 2000 PLASTICA  9 x  9,450805672,PZ,4.45,,,,,,,,,,,,,,,,,,,
450813103,MECHA EZETA COLA CONICA 11.25 MM,PZ,4.47,,,,,MECHA EZETA COLA CONICA 11.25 MM,450813103,PZ,4.47,,,,,,,,,,,,,,,,,,,
450811930,MECHA EZETA COLA CONICA 13.75 MM,PZ,4.48,,,,,MECHA EZETA COLA CONICA 13.75 MM,450811930,PZ,4.48,,,,,,,,,,,,,,,,,,,
450804907,MECHA EZETA WIDIA BOSCH 20 x 460 MM,PZ,4.49,,,,,MECHA EZETA WIDIA BOSCH 20 x 460 MM,450804907,PZ,4.49,,,,,,,,,,,,,,,,,,,
424584835,MACHO URANGA A/ALEADO NF  9/16 x 18,PQ,4.52,,,,,MACHO URANGA A/ALEADO NF  9/16 x 18,424584835,PQ,4.52,,,,,,,,,,,,,,,,,,,
424562121,ALAMB REC NEGRO N.21 0.81 MM,PZ,4.53,,,,,ALAMB REC NEGRO N.21 0.81 MM,424562121,PZ,4.53,,,,,,,,,,,,,,,,,,,
450802206,GUARDACABO GALV   7/16,PZ,4.54,,,,,GUARDACABO GALV   7/16,450802206,PZ,4.54,,,,,,,,,,,,,,,,,,,
424560204,MECHA EZETA WIDIA BOSCH 10 x 350 MM,PZ,4.57,,,,,MECHA EZETA WIDIA BOSCH 10 x 350 MM,424560204,PZ,4.57,,,,,,,,,,,,,,,,,,,
450814785,CEPILLO ALAMBRE ACERO  C/MANGO 3x19,PZ,4.61,,,,,CEPILLO ALAMBRE ACERO  C/MANGO 3x19,450814785,PZ,4.61,,,,,,,,,,,,,,,,,,,
450905572,CUCHARA GHERARDI FORJ N. 8 ROMA,PZ,4.87,,,,,CUCHARA GHERARDI FORJ N. 8 ROMA,450905572,PZ,4.87,,,,,,,,,,,,,,,,,,,
450803783,MECHA EZETA COLA CONICA 37.25 MM,PZ,4.93,,,,,MECHA EZETA COLA CONICA 37.25 MM,450803783,PZ,4.93,,,,,,,,,,,,,,,,,,,
